month,bets,staked,profit,roi_pct
2022-03,3,3.0,-1.0,-33.33
2022-04,2,2.0,-0.27,-13.5
2022-05,5,5.0,3.52,70.4
2022-06,1,1.0,-1.0,-100.0
2022-07,2,2.0,0.04,2.0
2022-08,3,3.0,-1.03,-34.33
2022-09,5,5.0,-3.0,-60.0
2022-10,2,2.0,2.09,104.5
2023-04,4,4.0,-1.87,-46.75
2023-05,1,1.0,-1.0,-100.0
2023-06,1,1.0,-1.0,-100.0
2023-07,2,2.0,-2.0,-100.0
2023-08,1,1.0,-1.0,-100.0
2023-09,2,2.0,2.25,112.5
2023-10,1,1.0,1.11,111.0
2025-03,5,5.0,-1.79,-35.8
2025-04,5,5.0,-5.0,-100.0
2025-05,10,10.0,-4.01,-40.1
2025-06,6,6.0,-0.03,-0.5
2025-07,7,7.0,-7.0,-100.0
2025-08,4,4.0,1.99,49.75
2025-09,7,7.0,-1.12,-16.0
2025-10,5,5.0,1.31,26.2
2025-11,4,4.0,-1.19,-29.75
