outcome,probability,odds,ev,date,league,home_team,away_team,source_file,stake,actual_result,won,profit
home,0.21311628737125535,7.5,0.598372155284415,2025-04-01,E2,Bristol Rvs,Birmingham,E2.csv,1.0,away,False,-1.0
away,0.19847902119361124,7.0,0.3893531483552788,2025-04-01,E0,Arsenal,Fulham,E0.csv,1.0,home,False,-1.0
away,0.170708664341895,8.0,0.36566931473515996,2025-04-01,N1,AZ Alkmaar,Waalwijk,N1.csv,1.0,draw,False,-1.0
home,0.2528606559884335,5.25,0.32751844393927576,2025-04-01,E2,Cambridge,Wrexham,E2.csv,1.0,draw,False,-1.0
home,0.3392323012404688,3.75,0.27212112965175805,2025-04-01,P1,Boavista,Gil Vicente,P1.csv,1.0,away,False,-1.0
away,0.11743804680430525,19.0,1.2313228892817998,2025-04-02,P1,Benfica,Farense,P1.csv,1.0,home,False,-1.0
draw,0.19029665546734542,8.0,0.5223732437387634,2025-04-02,E0,Man City,Leicester,E0.csv,1.0,home,False,-1.0
home,0.23820398295973222,5.75,0.36967290201846037,2025-04-02,E0,Southampton,Crystal Palace,E0.csv,1.0,draw,False,-1.0
away,0.1877718003605896,7.0,0.31440260252412733,2025-04-02,N1,Feyenoord,Groningen,N1.csv,1.0,home,False,-1.0
away,0.15850365114588233,8.0,0.26802920916705864,2025-04-02,E0,Liverpool,Everton,E0.csv,1.0,home,False,-1.0
draw,0.2491470705028479,4.5,0.1211618172628155,2025-04-03,E0,Chelsea,Tottenham,E0.csv,1.75,home,False,-1.75
home,0.25217290761702676,7.5,0.8912968071277008,2025-04-04,D1,Augsburg,Bayern Munich,D1.csv,1.0,away,False,-1.0
home,0.26978643302905564,7.0,0.8885050312033895,2025-04-04,T1,Ad. Demirspor,Kayserispor,T1.csv,1.0,away,False,-1.0
away,0.21117470172129116,7.0,0.4782229120490382,2025-04-04,N1,Heerenveen,Willem II,N1.csv,1.0,home,False,-1.0
away,0.17529282654714723,8.0,0.40234261237717783,2025-04-04,F2,Paris FC,Clermont,F2.csv,1.0,home,False,-1.0
away,0.21449058591511488,6.25,0.340566161969468,2025-04-04,F2,Rodez,Martigues,F2.csv,1.0,home,False,-1.0
away,0.09887042318550285,19.0,0.8785380405245542,2025-04-05,F1,Paris SG,Angers,F1.csv,1.0,home,False,-1.0
home,0.25506305070300683,7.0,0.7854413549210477,2025-04-05,N1,Groningen,PSV Eindhoven,N1.csv,1.0,away,False,-1.0
home,0.2896627655065414,5.25,0.5207295189093424,2025-04-05,SP2,Cartagena,Eldense,SP2.csv,1.0,away,False,-1.0
home,0.2976193574503,5.0,0.4880967872515001,2025-04-05,I1,Monza,Como,I1.csv,1.0,away,False,-1.0
home,0.22837332424352008,6.5,0.4844266075828805,2025-04-05,D1,Heidenheim,Leverkusen,D1.csv,1.0,away,False,-1.0
home,0.16910035130945356,17.0,1.8747059722607107,2025-04-06,SC0,St Johnstone,Celtic,SC0.csv,1.0,home,True,16.0
home,0.29777583860902257,4.75,0.41443523339285715,2025-04-06,B1,Antwerp,Club Brugge,B1.csv,1.0,away,False,-1.0
away,0.13574222190848628,10.0,0.3574222190848628,2025-04-06,N1,Ajax,NAC Breda,N1.csv,1.0,home,False,-1.0
home,0.27196972809683123,4.75,0.2918562084599483,2025-04-06,SP1,Valladolid,Getafe,SP1.csv,1.0,away,False,-1.0
home,0.2782052339258182,4.5,0.2519235526661818,2025-04-06,E0,Fulham,Liverpool,E0.csv,1.0,home,True,3.5
home,0.22800740518305113,6.5,0.48204813368983235,2025-04-07,E0,Leicester,Newcastle,E0.csv,1.09,away,False,-1.09
away,0.20741483131928684,6.25,0.29634269574554284,2025-04-07,P1,Sp Lisbon,Sp Braga,P1.csv,1.07,draw,False,-1.07
away,0.2536499445803948,4.75,0.20483723675687537,2025-04-07,T1,Goztep,Gaziantep,T1.csv,1.07,draw,False,-1.07
away,0.14564125101170408,8.0,0.16513000809363265,2025-04-07,SP2,Elche,Ferrol,SP2.csv,0.9,home,False,-0.9
home,0.35649315236556955,3.25,0.15860274518810114,2025-04-07,T1,Kasimpasa,Besiktas,T1.csv,0.87,draw,False,-0.87
home,0.2907406568792078,4.5,0.3083329559564352,2025-04-08,E1,Middlesbrough,Leeds,E1.csv,1.46,away,False,-1.46
home,0.25321252140450645,4.5,0.13945634632027915,2025-04-08,E2,Peterboro,Birmingham,E2.csv,1.07,away,False,-1.07
home,0.43424159574788046,2.55,0.10731606915709513,2025-04-08,E1,Preston,Cardiff,E1.csv,0.91,draw,False,-0.91
home,0.25684204094251617,4.2,0.07873657195856798,2025-04-08,E1,Derby,Burnley,E1.csv,0.79,draw,False,-0.79
away,0.2043088541980669,5.25,0.07262148453985118,2025-04-08,E1,Sheffield United,Millwall,E1.csv,0.77,away,True,3.27
away,0.23017748203182936,5.0,0.15088741015914686,2025-04-09,E1,Swansea,Plymouth,E1.csv,1.75,home,False,-1.75
away,0.2283717146594686,4.75,0.08476564463247582,2025-04-09,E1,Coventry,Portsmouth,E1.csv,1.75,home,False,-1.75
home,0.4029892929972106,2.5,0.007473232493026449,2025-04-09,E1,Oxford,QPR,E1.csv,1.5,away,False,-1.5
away,0.22605109528961137,5.0,0.1302554764480568,2025-04-10,E3,Crewe,Cheltenham,E3.csv,1.75,away,True,7.0
home,0.24217756493799095,7.0,0.6952429545659367,2025-04-11,F2,Martigues,Metz,F2.csv,1.0,away,False,-1.0
home,0.2860188239750225,5.0,0.4300941198751125,2025-04-11,T1,Samsunspor,Galatasaray,T1.csv,1.0,away,False,-1.0
home,0.3310390082825262,4.0,0.32415603313010477,2025-04-11,I1,Udinese,Milan,I1.csv,1.0,away,False,-1.0
away,0.21120308261729356,6.25,0.32001926635808475,2025-04-11,F1,Lens,Reims,F1.csv,1.0,away,True,5.25
home,0.300589098782916,4.2,0.2624742148882473,2025-04-11,P1,Gil Vicente,Guimaraes,P1.csv,1.0,away,False,-1.0
