odds_source,profile,lookback_months,min_active_months,min_bets,min_roi,bets,profit,roi_pct,max_drawdown,active_months,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,verdict,passes_gate,fail_reasons
AVG_OPEN,default,12,6,50,0.02,1037,104.01,10.03,14.31,31,19,12,4,0,2025-26,347,36.64,research_candidate_requires_live_shadow,True,[]
AVG_OPEN,lookback18,18,6,50,0.02,1121,126.97,11.33,22.06,31,20,11,4,0,2025-26,347,36.64,research_candidate_requires_live_shadow,True,[]
AVG_OPEN,stricter_selection,12,8,80,0.04,1027,100.25,9.76,17.51,31,19,12,3,1,2025-26,347,36.64,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,default,12,6,50,0.02,996,78.65,7.9,27.89,31,19,12,3,1,2025-26,345,31.47,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,lookback18,18,6,50,0.02,1040,96.35,9.26,38.85,30,20,10,4,0,2025-26,345,33.34,research_candidate_requires_live_shadow,True,[]
AVG_CLOSE,stricter_selection,12,8,80,0.04,963,58.69,6.09,27.89,31,18,13,3,1,2025-26,345,31.47,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,default,12,6,50,0.02,1119,136.85,12.23,16.51,35,23,12,4,0,2025-26,346,48.04,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,lookback18,18,6,50,0.02,1232,202.63,16.45,16.51,35,26,9,4,0,2025-26,346,48.04,research_candidate_requires_live_shadow,True,[]
MAX_OPEN,stricter_selection,12,8,80,0.04,1035,128.03,12.37,16.51,32,20,12,4,0,2025-26,346,48.04,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,default,12,6,50,0.02,954,72.0,7.55,19.44,34,20,14,4,0,2025-26,337,28.59,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,lookback18,18,6,50,0.02,968,92.87,9.59,19.44,34,22,12,4,0,2025-26,337,28.59,research_candidate_requires_live_shadow,True,[]
MAX_CLOSE,stricter_selection,12,8,80,0.04,884,68.74,7.78,19.44,32,18,14,4,0,2025-26,337,28.59,research_candidate_requires_live_shadow,True,[]
B365_OPEN,default,12,6,50,0.02,857,76.59,8.94,20.29,32,19,13,4,0,2025-26,300,28.9,research_candidate_requires_live_shadow,True,[]
B365_OPEN,lookback18,18,6,50,0.02,1003,114.4,11.41,20.29,33,21,12,3,1,2025-26,316,41.25,research_candidate_requires_live_shadow,True,[]
B365_OPEN,stricter_selection,12,8,80,0.04,826,71.99,8.72,20.29,31,18,13,4,0,2025-26,300,28.9,research_candidate_requires_live_shadow,True,[]
B365_CLOSE,default,12,6,50,0.02,834,40.86,4.9,22.01,32,16,16,2,2,2025-26,181,-3.98,not_enough_recent_evidence,False,"['positive_months<=negative_months', 'latest_season_profit<0', 'positive_seasons<=negative_seasons']"
B365_CLOSE,lookback18,18,6,50,0.02,1071,123.11,11.49,20.55,33,20,13,4,0,2025-26,314,17.82,research_candidate_requires_live_shadow,True,[]
B365_CLOSE,stricter_selection,12,8,80,0.04,766,41.79,5.46,22.96,31,16,15,2,2,2025-26,145,-1.02,not_enough_recent_evidence,False,"['latest_season_profit<0', 'positive_seasons<=negative_seasons']"
PS_OPEN,default,12,6,50,0.02,544,70.94,13.04,14.58,27,19,8,4,0,2025-26,108,30.42,research_candidate_requires_live_shadow,True,[]
PS_OPEN,lookback18,18,6,50,0.02,508,53.91,10.61,16.63,26,16,10,4,0,2025-26,86,29.29,research_candidate_requires_live_shadow,True,[]
PS_OPEN,stricter_selection,12,8,80,0.04,534,67.19,12.58,16.63,27,18,9,4,0,2025-26,108,30.42,research_candidate_requires_live_shadow,True,[]
PS_CLOSE,default,12,6,50,0.02,625,56.6,9.06,24.68,26,15,11,3,1,2025-26,121,30.91,research_candidate_requires_live_shadow,True,[]
PS_CLOSE,lookback18,18,6,50,0.02,676,99.7,14.75,17.28,22,16,6,4,0,2025-26,113,30.18,candidate_positive_but_unstable,True,[]
PS_CLOSE,stricter_selection,12,8,80,0.04,600,52.05,8.68,24.68,24,13,11,3,1,2025-26,96,26.36,research_candidate_requires_live_shadow,True,[]
