date,league,home_team,away_team,outcome,actual_result,probability,uncertainty,lower_ev,odds,stake,won,profit,month
2023-04-01,SP2,Oviedo,Eibar,draw,draw,0.554328,0.011906,0.464541,2.7,2.92,True,4.97,2023-04
2023-04-01,SP2,Burgos,Santander,draw,home,0.373941,0.011906,0.042661,2.88,1.0,False,-1.0,2023-04
2023-04-02,SP2,Lugo,Ponferradina,draw,draw,0.376845,0.011906,0.003583,2.75,1.0,True,1.75,2023-04
2023-04-09,SP2,Ponferradina,Leganes,draw,away,0.374,0.011906,0.050073,2.9,1.0,False,-1.0,2023-04
2023-04-09,SP2,Huesca,Burgos,draw,home,0.352144,0.011906,0.020715,3.0,1.0,False,-1.0,2023-04
2023-04-15,SP2,Zaragoza,Santander,draw,home,0.343308,0.011906,-0.005794,3.0,1.0,False,-1.0,2023-04
2023-04-21,SP2,Eibar,Zaragoza,draw,draw,0.37517,0.011906,0.053466,2.9,1.0,True,1.9,2023-04
2023-04-22,SP2,Ibiza,Oviedo,draw,away,0.368371,0.011906,-0.001896,2.8,1.0,False,-1.0,2023-04
2023-04-23,SP2,Mirandes,Burgos,draw,home,0.375064,0.011906,0.045895,2.88,1.0,False,-1.0,2023-04
2023-04-29,SP2,Tenerife,Leganes,draw,home,0.374709,0.011906,0.044875,2.88,1.0,False,-1.0,2023-04
2023-04-30,SP2,Zaragoza,Las Palmas,draw,draw,0.351888,0.011906,0.019948,3.0,1.0,True,2.0,2023-04
2023-05-07,SP2,Ponferradina,Malaga,draw,home,0.373642,0.011971,0.048844,2.9,1.0,False,-1.0,2023-05
2023-05-07,SP2,Oviedo,Zaragoza,draw,home,0.372246,0.011971,0.037591,2.88,1.0,False,-1.0,2023-05
2023-05-12,SP2,Burgos,Leganes,draw,away,0.378334,0.011971,0.025814,2.8,1.0,False,-1.0,2023-05
2023-08-19,SP2,Alcorcon,Leganes,draw,away,0.357882,0.012729,-0.00596,2.88,1.0,False,-1.0,2023-08
2023-08-21,SP2,Huesca,Tenerife,draw,away,0.383167,0.012729,0.037224,2.8,1.0,False,-1.0,2023-08
2023-08-26,SP2,Burgos,Oviedo,draw,home,0.357882,0.012729,-0.00596,2.88,1.0,False,-1.0,2023-08
2024-05-04,SP2,Huesca,Oviedo,draw,away,0.371476,0.012135,0.042088,2.9,1.0,False,-1.0,2024-05
2024-05-05,SP2,Eldense,Leganes,draw,away,0.366094,0.012135,0.02648,2.9,1.0,False,-1.0,2024-05
2024-05-12,SP2,Cartagena,Tenerife,draw,home,0.376927,0.012135,0.057895,2.9,1.0,False,-1.0,2024-05
2024-05-12,SP2,Albacete,Leganes,draw,home,0.370667,0.012135,0.039742,2.9,1.0,False,-1.0,2024-05
2024-05-26,SP2,Burgos,Tenerife,draw,draw,0.322891,0.012135,-0.005583,3.2,1.0,True,2.2,2024-05
2025-01-11,SP2,Huesca,Mirandes,draw,home,0.384072,0.012481,0.040455,2.8,1.0,False,-1.0,2025-01
2025-01-11,SP2,Ferrol,Cartagena,draw,draw,0.321081,0.012481,0.002949,3.25,1.0,True,2.25,2025-01
2025-01-18,SP2,Levante,Granada,draw,home,0.325099,0.012481,0.000378,3.2,1.0,False,-1.0,2025-01
2025-02-08,SP2,Sp Gijon,Eibar,draw,draw,0.32351,0.012183,-0.003753,3.2,1.0,True,2.2,2025-02
2025-02-16,SP2,Huesca,Granada,draw,draw,0.404158,0.012183,0.097532,2.8,1.0,True,1.8,2025-02
2025-02-22,SP2,Burgos,Oviedo,draw,away,0.390542,0.012183,0.040488,2.75,1.0,False,-1.0,2025-02
2025-03-05,SP2,Ferrol,Burgos,draw,away,0.391803,0.012079,0.025254,2.7,1.0,False,-1.0,2025-03
2025-03-08,SP2,Zaragoza,Eldense,draw,away,0.324033,0.012079,-0.001746,3.2,1.0,False,-1.0,2025-03
2025-03-23,SP2,Sp Gijon,Albacete,draw,away,0.321642,0.012079,-0.009398,3.2,1.0,False,-1.0,2025-03
2025-03-29,SP2,Eldense,Burgos,draw,draw,0.399514,0.012079,0.115813,2.88,1.0,True,1.88,2025-03
2025-03-30,SP2,Huesca,Sp Gijon,draw,home,0.39932,0.012079,0.084275,2.8,1.0,False,-1.0,2025-03
2025-03-31,SP2,Cadiz,Eibar,draw,draw,0.391481,0.012079,0.043355,2.75,1.0,True,1.75,2025-03
2025-04-06,SP2,Burgos,Huesca,draw,home,0.383976,0.012018,0.022884,2.75,1.0,False,-1.0,2025-04
2025-04-12,SP2,Tenerife,Burgos,draw,draw,0.382796,0.012018,0.038178,2.8,1.0,True,1.8,2025-04
2025-04-19,SP2,Burgos,Cadiz,draw,draw,0.393944,0.012018,0.050298,2.75,1.0,True,1.75,2025-04
2025-05-03,SP2,Huesca,Oviedo,draw,away,0.391578,0.012187,0.062296,2.8,1.0,False,-1.0,2025-05
