date,bets,staked,profit,halted_by_stop_loss,month
2025-11-13,0,0.0,0.0,False,2025-11
2025-11-14,0,0.0,0.0,False,2025-11
2025-11-15,1,1.0,-1.0,False,2025-11
2025-11-16,0,0.0,0.0,False,2025-11
2025-11-17,0,0.0,0.0,False,2025-11
2025-11-18,0,0.0,0.0,False,2025-11
2025-11-19,0,0.0,0.0,False,2025-11
2026-03-26,0,0.0,0.0,False,2026-03
2026-03-27,0,0.0,0.0,False,2026-03
2026-03-28,0,0.0,0.0,False,2026-03
2026-03-29,0,0.0,0.0,False,2026-03
2026-03-30,0,0.0,0.0,False,2026-03
2026-03-31,0,0.0,0.0,False,2026-03
2026-04-01,0,0.0,0.0,False,2026-04
2026-06-11,0,0.0,0.0,False,2026-06
2026-06-12,0,0.0,0.0,False,2026-06
2026-06-13,0,0.0,0.0,False,2026-06
2026-06-14,0,0.0,0.0,False,2026-06
2026-06-15,0,0.0,0.0,False,2026-06
2026-06-16,0,0.0,0.0,False,2026-06
2026-06-17,0,0.0,0.0,False,2026-06
2026-06-18,0,0.0,0.0,False,2026-06
2026-06-19,0,0.0,0.0,False,2026-06
2026-06-20,0,0.0,0.0,False,2026-06
2026-06-21,0,0.0,0.0,False,2026-06
2026-06-22,0,0.0,0.0,False,2026-06
2026-06-23,0,0.0,0.0,False,2026-06
2026-06-24,0,0.0,0.0,False,2026-06
2026-06-25,0,0.0,0.0,False,2026-06
2026-06-26,0,0.0,0.0,False,2026-06
2026-06-27,0,0.0,0.0,False,2026-06
2026-06-28,0,0.0,0.0,False,2026-06
