candidate_id,odds_source,window_start,window_end,bets,total_staked,profit,roi_pct,max_drawdown,active_bet_days,positive_months,negative_months,walk_forward_active_months,rule_contributions,active_rules,passes_window,fail_reasons,band_low,band_high
market-bias-i2-draw-2.80-3.30-plus-sp1-home-v1,AVG_CLOSE,2024-08,2025-07,112,1120.0,135.4,12.09,115.7,41,4,1,5,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.30)', 'bets': 94, 'profit': 142.6, 'roi_pct': 15.17}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 18, 'profit': -7.2, 'roi_pct': -4.0}]",2,True,[],2.8,3.3
market-bias-i2-draw-2.80-3.30-plus-sp1-home-v1,AVG_CLOSE,2025-02,2026-01,214,2140.0,206.5,9.65,158.6,73,7,1,8,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.30)', 'bets': 202, 'profit': 207.6, 'roi_pct': 10.28}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 12, 'profit': -1.1, 'roi_pct': -0.92}]",2,True,[],2.8,3.3
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_OPEN,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.4
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_OPEN,2023-02,2024-01,28,280.0,-23.3,-8.32,95.1,12,0,1,1,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.40)', 'bets': 28, 'profit': -23.3, 'roi_pct': -8.32}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.4
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_OPEN,2023-08,2024-07,70,700.0,16.8,2.4,103.7,45,2,3,5,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 42, 'profit': 40.1, 'roi_pct': 9.55}, {'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.40)', 'bets': 28, 'profit': -23.3, 'roi_pct': -8.32}]",2,False,"['roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.4
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_OPEN,2024-02,2025-01,111,1110.0,113.6,10.23,83.7,53,3,3,6,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.40)', 'bets': 69, 'profit': 73.5, 'roi_pct': 10.65}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 42, 'profit': 40.1, 'roi_pct': 9.55}]",2,False,['positive_month_edge<minimum'],2.8,3.4
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_OPEN,2024-08,2025-07,186,1860.0,99.6,5.35,171.3,54,3,3,6,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.40)', 'bets': 186, 'profit': 99.6, 'roi_pct': 5.35}]",1,False,"['positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.4
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_OPEN,2025-02,2026-01,187,1870.0,40.1,2.14,171.3,56,3,3,6,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.40)', 'bets': 187, 'profit': 40.1, 'roi_pct': 2.14}]",1,False,"['roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.4
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_CLOSE,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.4
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_CLOSE,2023-02,2024-01,69,690.0,-103.3,-14.97,222.2,22,0,2,2,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.40)', 'bets': 69, 'profit': -103.3, 'roi_pct': -14.97}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.4
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_CLOSE,2023-08,2024-07,75,750.0,-119.3,-15.91,222.2,26,0,3,3,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 6, 'profit': -16.0, 'roi_pct': -26.67}, {'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.40)', 'bets': 69, 'profit': -103.3, 'roi_pct': -14.97}]",2,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.4
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_CLOSE,2024-02,2025-01,12,120.0,-22.1,-18.42,30.0,9,0,2,2,"[{'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 12, 'profit': -22.1, 'roi_pct': -18.42}]",1,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.4
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_CLOSE,2024-08,2025-07,126,1260.0,95.7,7.6,132.3,41,3,2,5,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.40)', 'bets': 108, 'profit': 102.9, 'roi_pct': 9.53}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 18, 'profit': -7.2, 'roi_pct': -4.0}]",2,True,[],2.8,3.4
market-bias-i2-draw-2.80-3.40-plus-sp1-home-v1,AVG_CLOSE,2025-02,2026-01,238,2380.0,166.4,6.99,162.1,75,6,2,8,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.40)', 'bets': 226, 'profit': 167.5, 'roi_pct': 7.41}, {'rule_label': 'league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]', 'bets': 12, 'profit': -1.1, 'roi_pct': -0.92}]",2,True,[],2.8,3.4
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_OPEN,2022-08,2023-07,0,0.0,0.0,0.0,0.0,0,0,0,0,[],0,False,"['bets<minimum', 'profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.5
market-bias-i2-draw-2.80-3.50-plus-sp1-home-v1,AVG_OPEN,2023-02,2024-01,72,720.0,-42.7,-5.93,197.4,22,0,2,2,"[{'rule_label': 'league|outcome|custom_i2_draw_band=I2|draw|[2.80,3.50)', 'bets': 72, 'profit': -42.7, 'roi_pct': -5.93}]",1,False,"['profit<=0', 'roi<minimum', 'positive_month_edge<minimum', 'drawdown_to_profit>maximum']",2.8,3.5
