policy,bets,staked,profit,roi_pct,active_months,positive_active_months,maximum_drawdown,profit_to_drawdown,maximum_daily_stake
existing_one_tenth_kelly,100,16.82,6.35,37.75,10,7,1.26,5.0397,1.26
quarter_kelly,100,42.05,15.72,37.38,10,7,3.15,4.9905,3.15
half_kelly,100,84.04,31.56,37.55,10,7,6.28,5.0255,6.28
flat_1,100,100.0,31.05,31.05,10,7,6.83,4.5461,4.0
flat_2,100,200.0,62.1,31.05,10,7,13.66,4.5461,8.0
flat_5,100,500.0,155.25,31.05,10,7,34.12,4.5501,20.0
