window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,92,920.0,105.4,11.46,121.5,5,5,False
2017-07,2018-06,89,890.0,-93.9,-10.55,108.6,5,5,False
2018-01,2018-12,63,630.0,17.8,2.83,101.0,5,3,False
2018-07,2019-06,65,650.0,102.9,15.83,67.1,6,2,True
2019-01,2019-12,77,770.0,0.1,0.01,85.5,5,3,False
2019-07,2020-06,35,350.0,-20.8,-5.94,85.5,3,3,False
2020-01,2020-12,44,440.0,75.4,17.14,104.1,5,3,True
2020-07,2021-06,69,690.0,59.4,8.61,104.1,5,4,False
2021-01,2021-12,84,840.0,-84.3,-10.04,143.3,2,7,False
2021-07,2022-06,92,920.0,79.4,8.63,143.8,6,5,False
2022-01,2022-12,61,610.0,99.4,16.3,141.7,6,3,True
2022-07,2023-06,46,460.0,100.5,21.85,130.0,5,4,True
2023-01,2023-12,64,640.0,134.2,20.97,102.7,6,5,True
2023-07,2024-06,82,820.0,142.2,17.34,102.7,5,6,False
2024-01,2024-12,72,720.0,149.8,20.81,143.1,4,7,False
2024-07,2025-06,82,820.0,-138.2,-16.85,164.2,2,9,False
2025-01,2025-12,88,880.0,-49.2,-5.59,164.2,5,6,False
