odds_source,max_rules,allowed_outcomes,max_odds,min_market_probability,candidate_filters,decision,decision_reasons,bets,total_staked,profit,roi_pct,max_drawdown,positive_months,negative_months,positive_years,negative_years
MAX_CLOSE,1,draw,3.5,0.28,allowed_outcomes=draw;odds<=3.5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,148,1469.99,-70.28,-4.78,169.38,3,5,0,2
MAX_CLOSE,2,draw,3.5,0.28,allowed_outcomes=draw;odds<=3.5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,148,1469.99,-70.28,-4.78,169.38,3,5,0,2
MAX_CLOSE,1,draw,5.0,0.28,allowed_outcomes=draw;odds<=5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,145,1439.99,-74.28,-5.16,209.38,3,5,0,2
MAX_CLOSE,1,draw,,0.28,allowed_outcomes=draw;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,145,1439.99,-74.28,-5.16,209.38,3,5,0,2
MAX_CLOSE,2,draw,5.0,0.28,allowed_outcomes=draw;odds<=5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,145,1439.99,-74.28,-5.16,209.38,3,5,0,2
MAX_CLOSE,2,draw,,0.28,allowed_outcomes=draw;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,145,1439.99,-74.28,-5.16,209.38,3,5,0,2
MAX_CLOSE,1,all,5.0,0.28,odds<=5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,211,2110.0,-139.3,-6.6,218.0,8,9,2,4
MAX_CLOSE,1,all,,0.28,market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,211,2110.0,-139.3,-6.6,218.0,8,9,2,4
AVG_CLOSE,2,all,5.0,0.2,odds<=5;market_probability>=0.2,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,187,1870.0,-148.7,-7.95,351.4,6,13,1,5
AVG_CLOSE,2,all,,0.2,market_probability>=0.2,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,187,1870.0,-148.7,-7.95,351.4,6,13,1,5
AVG_CLOSE,1,all,3.5,0.28,odds<=3.5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,101,1010.0,-148.9,-14.74,230.7,5,13,1,5
AVG_CLOSE,1,all,5.0,0.28,odds<=5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,101,1010.0,-148.9,-14.74,230.7,5,13,1,5
AVG_CLOSE,1,all,,0.28,market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,101,1010.0,-148.9,-14.74,230.7,5,13,1,5
AVG_CLOSE,2,all,3.5,0.28,odds<=3.5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,102,1020.0,-158.9,-15.58,240.7,5,13,1,5
AVG_CLOSE,2,all,5.0,0.28,odds<=5;market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,102,1020.0,-158.9,-15.58,240.7,5,13,1,5
AVG_CLOSE,2,all,,0.28,market_probability>=0.28,REJECT_WORLD_CUP_PORTFOLIO_WEAK,portfolio_profit<=0;portfolio_roi<threshold;positive_months<=negative_months;positive_years<=negative_years;drawdown>profit,102,1020.0,-158.9,-15.58,240.7,5,13,1,5
