date,league,home_team,away_team,outcome,actual_result,odds_bucket,fav_relation,market_shape,model_delta_bucket,pure_delta_bucket,strength_gap,goal_env,league_draw_rate_bucket,draw_market_prob_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2024-12-07,SP2,La Coruna,Zaragoza,draw,draw,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.319776,-0.008314,3.25,1.0,True,2.25,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-07,SP1,Valencia,Vallecano,draw,away,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.355683,-0.015199,2.9,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-08,I1,Venezia,Como,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.318822,-0.001461,3.3,1.0,True,2.3,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-08,SP2,Burgos,Eldense,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.323971,-0.010145,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-08,E1,West Brom,Sheffield United,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.321824,-0.013117,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-13,I1,Empoli,Torino,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.414761,0.147756,2.88,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-13,E1,Derby,Portsmouth,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.324647,-0.004083,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-14,I2,Reggiana,Modena,draw,away,"[2.8,3.5)",market_non_favorite,balanced,strong_model_edge,pure_disagrees,even_strength,normal_goal,high_draw_league,mid_draw_prob,0.406943,0.094072,2.8,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-14,E1,Swansea,Sunderland,draw,away,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.327271,0.004315,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-14,SP1,Espanol,Osasuna,draw,draw,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.324676,-0.012544,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-15,E1,Watford,West Brom,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_small_edge,moderate_gap,normal_goal,normal_draw_league,mid_draw_prob,0.321977,0.002799,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-20,E1,Luton,Derby,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,large_gap,normal_goal,normal_draw_league,mid_draw_prob,0.326178,0.000817,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-21,E1,QPR,Preston,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.331392,-0.014296,3.1,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-26,E1,Derby,West Brom,draw,home,"[2.8,3.5)",market_non_favorite,balanced,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.327842,0.006139,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-26,E1,Norwich,Millwall,draw,home,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.326122,0.000638,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-29,E1,Sheffield United,West Brom,draw,draw,"[2.8,3.5)",market_non_favorite,clear_favorite,medium_model_edge,pure_disagrees,even_strength,normal_goal,normal_draw_league,mid_draw_prob,0.319733,-0.019807,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
