window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,0,0.0,0.0,0.0,0.0,0,0,False
2017-07,2018-06,0,0.0,0.0,0.0,0.0,0,0,False
2018-01,2018-12,0,0.0,0.0,0.0,0.0,0,0,False
2018-07,2019-06,3,30.0,-30.0,-100.0,30.0,0,2,False
2019-01,2019-12,4,40.0,-40.0,-100.0,40.0,0,3,False
2019-07,2020-06,1,10.0,-10.0,-100.0,10.0,0,1,False
2020-01,2020-12,0,0.0,0.0,0.0,0.0,0,0,False
2020-07,2021-06,0,0.0,0.0,0.0,0.0,0,0,False
2021-01,2021-12,0,0.0,0.0,0.0,0.0,0,0,False
2021-07,2022-06,0,0.0,0.0,0.0,0.0,0,0,False
2022-01,2022-12,0,0.0,0.0,0.0,0.0,0,0,False
2022-07,2023-06,0,0.0,0.0,0.0,0.0,0,0,False
2023-01,2023-12,0,0.0,0.0,0.0,0.0,0,0,False
2023-07,2024-06,0,0.0,0.0,0.0,0.0,0,0,False
2024-01,2024-12,4,40.0,-18.1,-45.25,20.0,1,2,False
2024-07,2025-06,5,50.0,-14.6,-29.2,20.0,2,2,False
2025-01,2025-12,1,10.0,3.5,35.0,0.0,1,0,False
