test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2021-11,data\historical_csv\football-data\2122\SP2.csv:156,data\historical_csv\football-data\2122\SP2.csv,156,2021-11-05,SP2,Huesca,Leganes,away,0.3409449986821152,0.33577821879001535,3.646,3.7,22.424738570839597,0.0031667798920998456,5,0.0,WH,3.0-4.0,sportsbook,0.27427317608337903,1.243085465194992,0.005166779892099849,0.00928824269116919,1.2936306762564713,0.11624349212634753,0.4410569092114064,0.2,1.4810751508502529,away:3.0-4.0,away:sportsbook,sportsbook:3.0-4.0,16.513689055165035,14.542935061615879,0.55,0.3141605459726162,True,0.3410771421894977,2.9318880578764026,24.356726042290866,True,away,True,1.46
2021-11,data\historical_csv\football-data\2122\B1.csv:119,data\historical_csv\football-data\2122\B1.csv,119,2021-11-05,B1,Oud-Heverlee Leuven,Oostende,home,0.4970961823934177,0.4903947771720581,2.225,2.25,9.112837920782923,0.004701405221359606,5,0.0,WH,2.0-3.0,sportsbook,0.449438202247191,1.1060390058253544,0.006701405221359591,0.009457737532248366,0.7997569156182036,0.24710461455010999,0.3975561095965437,0.2,1.1235955056179803,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,10.496029437391048,8.525275443841892,0.7,0.48775404693861524,True,0.5421595740457542,1.844475405161078,20.630505225180308,True,home,True,0.86
2021-11,data\historical_csv\football-data\2122\SP2.csv:158,data\historical_csv\football-data\2122\SP2.csv,158,2021-11-06,SP2,Oviedo,Las Palmas,home,0.4454368932038835,0.41578383457923945,2.323,2.35,-3.4134152272426777,0.02765305862464406,5,0.0,WH,2.0-3.0,sportsbook,0.4304778303917348,1.0347499029126215,0.02965305862464407,0.062080754976860025,0.8428594537882721,0.19841402582712794,0.37544069650297013,0.2,1.162290142057687,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,3.4769322839116583,1.5061782903625023,0.11,0.4369615940179187,True,0.4447722322068942,2.248341797414257,3.3205895416615228,True,draw,False,-0.11
2021-11,data\historical_csv\football-data\2122\SP2.csv:163,data\historical_csv\football-data\2122\SP2.csv,163,2021-11-07,SP2,Almeria,Burgos,home,0.6294575586352333,0.616145259982506,1.7153999999999998,1.73,5.693557897399071,0.011312298652727289,5,0.0,WH,1.5-2.0,sportsbook,0.5829544129649062,1.0797714960828793,0.013312298652727317,0.017971503396121254,0.5396462895741839,0.3962168181230282,0.339684435961928,0.2,0.8511134429287637,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,7.738527998219061,5.767774004669905,0.81,0.6165779060549721,True,0.6733347606525323,1.4851453666685717,15.50384484233538,True,home,True,0.58
2021-11,data\historical_csv\football-data\2122\SP2.csv:186,data\historical_csv\football-data\2122\SP2.csv,186,2021-11-21,SP2,Ponferradina,Sp Gijon,home,0.37036822371143313,0.3623412473809267,2.715,2.75,-1.6243513360784,0.006026976330506398,5,0.0,WH,2.0-3.0,sportsbook,0.3683241252302026,1.0055497273765408,0.008026976330506419,0.016272930409932322,0.9987919533858987,0.13717262113516218,0.3699208016328078,0.2,1.2891344383057168,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,4.449380524905425,2.4786265313562685,0.14,0.37745350471954425,True,0.4313266066220272,2.318428737405256,17.10517369788038,True,home,True,0.24
2021-11,data\historical_csv\football-data\2122\SP2.csv:189,data\historical_csv\football-data\2122\SP2.csv,189,2021-11-26,SP2,Alcorcon,Lugo,home,0.42539013641633056,0.4139378549031113,2.4699999999999998,2.5,2.2426501610684824,0.009452281513219255,5,0.0,WH,2.0-3.0,sportsbook,0.40485829959514175,1.0507136369483363,0.011452281513219253,0.02222026489106997,0.9042181506398858,0.18095676816030432,0.38464548245082314,0.2,1.2145748987854255,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,6.71840778353171,4.747653789982554,0.32,0.42407956999992946,True,0.4067551749975636,2.4584813211189998,0.4685282243982014,True,draw,False,-0.32
2021-12,data\historical_csv\football-data\2122\B1.csv:146,data\historical_csv\football-data\2122\B1.csv,146,2021-12-03,B1,St Truiden,St. Gilloise,home,0.2491322587215617,0.23960760899493816,4.43,4.5,6.1461707847575875,0.007524649726623528,5,0.0,WH,4.0-5.0,sportsbook,0.22573363431151244,1.1036559061365183,0.009524649726623535,0.030203433972126915,1.4883995840570443,0.06206688233570715,0.3708083502563644,0.2,1.5801354401805856,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,11.23948626565217,9.432668435260233,0.28,0.2470263395829802,True,0.210824674735707,4.743277803006764,-6.604669092081794,False,away,False,-0.28
2021-12,data\historical_csv\football-data\2122\F2.csv:168,data\historical_csv\football-data\2122\F2.csv,168,2021-12-03,F2,Rodez,Nimes,home,0.42466599764592233,0.4173088211150252,2.323,2.35,-3.059160854979648,0.005357176530897117,5,0.0,WH,2.0-3.0,sportsbook,0.4304778303917348,0.9864991125314776,0.007357176530897125,0.01261503525263122,0.8428594537882721,0.1803412095566065,0.35793375081829376,0.2,1.162290142057687,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,3.2620440102154675,1.4552261798235304,0.11,0.43674225647793163,True,0.4389652231306872,2.2780847942076803,1.971621333258633,True,home,True,0.15
2021-12,data\historical_csv\football-data\2122\D2.csv:139,data\historical_csv\football-data\2122\D2.csv,139,2021-12-04,D2,Hansa Rostock,Ingolstadt,home,0.6345145420320519,0.6093168669209921,1.8134000000000001,1.83,10.493520647452703,0.023197675111059853,5,0.0,B365,1.5-2.0,sportsbook,0.5514503143266791,1.150628670520923,0.02519767511105986,0.03655972176267009,0.5952035362298188,0.4026087040501446,0.3776652992067213,0.2,0.9154075217822744,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,7.801394727482835,5.994576897090898,0.74,0.5845074274682415,True,0.6064923221779523,1.6488254895114527,9.98131770374988,True,draw,False,-0.74
2021-12,data\historical_csv\football-data\2122\G1.csv:79,data\historical_csv\football-data\2122\G1.csv,79,2021-12-04,G1,Atromitos,Apollon,away,0.23119820224791787,0.21964916130849998,4.92,5.0,8.067387363781986,0.009549040939417873,5,0.0,IW,4.0-5.0,sportsbook,0.2032520325203252,1.1374951550597558,0.011549040939417887,0.0413024013447054,1.5933085305042167,0.05345260872266914,0.36837006787884674,0.2,1.6260162601626105,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,6.12302328317392,4.316205452781983,0.11,0.21202480783085767,True,0.22778802035245413,4.390046493457865,12.071706013407436,True,home,False,-0.11
