date,league,home_team,away_team,outcome,actual_result,odds_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2026-01-17,SP1,Mallorca,Ath Bilbao,draw,home,"[2.8,3.5)",0.35183,-0.025548,2.9,1.0,False,-1.0,"SP1|draw|[2.8,3.5)|ev>=-0.05",2026-01
2026-02-02,I1,Udinese,Roma,draw,home,"[2.8,3.5)",0.297085,-0.041258,3.4,1.0,False,-1.0,"I1|draw|[2.8,3.5)|ev>=-0.05",2026-02
2026-02-14,I1,Inter,Juventus,draw,home,"[2.8,3.5)",0.294818,-0.048965,3.4,1.0,False,-1.0,"I1|draw|[2.8,3.5)|ev>=-0.05",2026-02
2026-02-21,SP1,Betis,Vallecano,draw,draw,"[2.8,3.5)",0.299522,-0.033401,3.4,1.0,True,2.4,"SP1|draw|[2.8,3.5)|ev>=-0.05",2026-02
2026-03-08,I1,Milan,Inter,draw,home,"[2.8,3.5)",0.343015,-0.015707,3.0,1.0,False,-1.0,"I1|draw|[2.8,3.5)|ev>=-0.05",2026-03
2026-03-08,SP1,Getafe,Betis,draw,home,"[2.8,3.5)",0.345601,-0.041664,2.9,1.0,False,-1.0,"SP1|draw|[2.8,3.5)|ev>=-0.05",2026-03
2026-03-20,I1,Cagliari,Napoli,draw,away,"[2.8,3.5)",0.295187,-0.047086,3.4,1.0,False,-1.0,"I1|draw|[2.8,3.5)|ev>=-0.05",2026-03
2026-03-22,SP1,Celta,Alaves,draw,away,"[2.8,3.5)",0.305682,-0.041212,3.3,1.0,False,-1.0,"SP1|draw|[2.8,3.5)|ev>=-0.05",2026-03
2026-05-02,I1,Udinese,Torino,draw,home,"[2.8,3.5)",0.312951,-0.046241,3.2,1.0,False,-1.0,"I1|draw|[2.8,3.5)|ev>=-0.05",2026-05
2026-05-09,I1,Cagliari,Udinese,draw,away,"[2.8,3.5)",0.312099,-0.048967,3.2,1.0,False,-1.0,"I1|draw|[2.8,3.5)|ev>=-0.05",2026-05
