test_month,date,league,match,outcome,probability,conservative_probability,odds,conservative_ev,execution_bookmaker,reference_bookmakers,reference_dispersion,stake,actual_outcome,profit,won,source_file,source_row
2025-10,2025-10-03,B1,Gent v Charleroi,away,0.2819476341884315,0.271268507051712,3.8,0.010203920260575483,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.005679127136719465,0.28,home,-0.28,False,data\historical_csv\football-data\2526\B1.csv,74
2025-10,2025-10-04,T1,Galatasaray v Besiktas,draw,0.21612902969342968,0.20969559190716636,5.0,0.027508400345115147,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.0014334377862633076,0.3,draw,1.2,True,data\historical_csv\football-data\2526\T1.csv,67
2025-10,2025-10-04,B1,RAAL La Louviere v Waregem,away,0.3271707400962737,0.3166718119861467,3.3,0.02411663996319846,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.005498928110127039,0.49,draw,-0.49,False,data\historical_csv\football-data\2526\B1.csv,76
2025-10,2025-10-04,SP2,La Coruna v Almeria,away,0.2693843199429171,0.2597796960519159,4.0,0.018336408523510483,B365,"['BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.004604623891001197,0.33,draw,-0.33,False,data\historical_csv\football-data\2526\SP2.csv,80
2025-10,2025-10-04,E2,Plymouth v Wigan,away,0.3528297307895257,0.3402864996363844,3.05,0.01711634741315282,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.007543231153141246,0.46,draw,-0.46,False,data\historical_csv\football-data\2526\E2.csv,127
2025-10,2025-10-04,B1,Mechelen v St Truiden,away,0.30564242310782547,0.2950442727025341,3.5,0.012001855369691894,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.005598150405291361,0.33,away,0.83,True,data\historical_csv\football-data\2526\B1.csv,75
2025-10,2025-10-05,P1,Arouca v Famalicao,home,0.26949784214764416,0.2617423018184841,4.1,0.05168056870666926,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.00275554032916002,0.59,draw,-0.59,False,data\historical_csv\football-data\2526\P1.csv,70
2025-10,2025-10-05,SP2,Santander v Malaga,away,0.24041649684399058,0.22686232663477854,4.63,0.0293651208726442,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.008554170209212045,0.35,home,-0.35,False,data\historical_csv\football-data\2526\SP2.csv,86
2025-10,2025-10-05,G1,PAOK v Olympiakos,draw,0.29799432996681363,0.29012851018075886,3.57,0.015043605718402908,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0028658197860547906,0.35,home,-0.35,False,data\historical_csv\football-data\2526\G1.csv,41
2025-10,2025-10-18,D2,Paderborn v Bielefeld,away,0.23110652182038943,0.2179985245973972,4.9,0.0468289151167014,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.008107997222992235,0.44,home,-0.44,False,data\historical_csv\football-data\2526\D2.csv,77
