validation_start,validation_end,rule_key,odds_source,rule_label,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
2019-01,2019-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",194,45.67,23.54,39,28,11,2018-12,1.7,57.7766
2019-01,2019-12,"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",AVG_CLOSE,"league|outcome|odds_bucket=SWE|away|[2.2,2.8)",295,42.64,14.45,28,21,7,2018-11,1.06,42.5988
2019-01,2019-12,"PS_CLOSE::league|outcome|odds_bucket=NOR|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=NOR|home|[2.2,2.8)",106,28.78,27.15,25,16,9,2018-11,0.5,41.4225
2020-01,2020-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",184,40.04,21.76,38,28,10,2019-12,1.66,57.9785
2020-01,2020-12,"PS_CLOSE::league|outcome|odds_bucket=USA|home|[1.8,2.2)",PS_CLOSE,"league|outcome|odds_bucket=USA|home|[1.8,2.2)",1431,76.05,5.31,37,26,11,2019-11,2.82,35.3676
2020-01,2020-12,"PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=SWE|away|[2.2,2.8)",293,34.37,11.73,29,18,11,2019-11,4.02,25.8477
2021-01,2021-12,"PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)",PS_CLOSE,"league|outcome|odds_bucket=AUT|away|[1.8,2.2)",88,17.31,19.67,32,21,11,2020-12,1.11,39.8672
2021-01,2021-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",179,27.23,15.21,38,25,13,2020-12,6.98,39.3644
2021-01,2021-12,"PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.34,0.42)",PS_CLOSE,"league|outcome|market_prob_bucket=RUS|home|[0.34,0.42)",168,15.97,9.51,35,20,15,2020-12,4.95,19.601
2022-01,2022-12,"PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)",PS_CLOSE,"league|outcome|odds_bucket=FIN|away|[2.8,3.5)",231,53.87,23.32,24,19,5,2021-10,11.84,51.5535
2022-01,2022-12,"PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)",PS_CLOSE,"league|outcome|odds_bucket=AUT|away|[1.8,2.2)",88,18.89,21.47,32,21,11,2021-12,0.65,41.6806
2022-01,2022-12,"PS_CLOSE::league|outcome|odds_bucket=BRA|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=BRA|home|[2.2,2.8)",136,20.58,15.13,28,17,11,2021-12,4.84,27.2837
2023-01,2023-12,"PS_CLOSE::league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)",190,61.96,32.61,24,19,5,2022-10,0.84,60.9366
2023-01,2023-12,"AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)",AVG_CLOSE,"league|outcome|odds_bucket=AUT|away|[1.8,2.2)",93,13.99,15.04,34,21,12,2022-10,1.78,33.1934
2023-01,2023-12,"PS_CLOSE::league|outcome|odds_bucket=BRA|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=BRA|home|[2.2,2.8)",148,17.76,12.0,29,18,11,2022-11,4.9,26.12
2024-01,2024-12,"PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)",PS_CLOSE,"league|outcome|odds_bucket=FIN|away|[2.8,3.5)",186,48.62,26.14,25,18,7,2023-11,1.82,48.4012
2024-01,2024-12,"PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",498,82.16,16.5,37,20,17,2023-12,1.92,22.663
2024-01,2024-12,"PS_CLOSE::league|outcome|odds_bucket=BRA|home|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=BRA|home|[2.2,2.8)",150,11.5,7.67,28,17,11,2023-12,2.42,19.7433
2025-01,2025-12,"PS_CLOSE::league|outcome|odds_bucket=BRA|away|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=BRA|away|[2.2,2.8)",94,23.04,24.51,25,16,9,2024-12,5.0,38.7557
2025-01,2025-12,"PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",576,119.24,20.7,41,24,17,2024-11,8.74,34.9084
2025-01,2025-12,"PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)",PS_CLOSE,"league|outcome|odds_bucket=AUT|away|[1.8,2.2)",96,8.97,9.34,33,19,14,2024-11,1.18,19.4372
