validation_start,validation_end,train_start,train_end,candidate_rule_count,selected_rules,max_pairwise_monthly_profit_corr,train_bets,train_profit,train_roi_pct,train_positive_months,train_negative_months,train_window_count,train_active_window_count,train_active_passed_windows,train_active_pass_rate,window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2019-01,2019-12,2015-01,2018-12,27,"['PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)', 'PS_CLOSE::league|outcome|odds_bucket=NOR|home|[2.2,2.8)']",0.2119,329,56.95,17.31,35,7,3,3,3,1.0,2019-01,2019-12,71,71.0,-10.4,-14.65,14.51,5,6,False
2020-01,2020-12,2016-01,2019-12,20,"['PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|odds_bucket=USA|home|[1.8,2.2)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",0.2488,735,66.68,9.07,35,9,3,3,3,1.0,2020-01,2020-12,157,157.0,-7.07,-4.5,21.89,4,6,False
2021-01,2021-12,2017-01,2020-12,14,"['PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.34,0.42)']",0.2083,357,49.02,13.73,26,15,3,3,2,0.6667,2021-01,2021-12,85,85.0,-2.91,-3.42,8.44,6,5,False
2022-01,2022-12,2018-01,2021-12,23,"['PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)', 'PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'PS_CLOSE::league|outcome|odds_bucket=BRA|home|[2.2,2.8)']",0.3113,278,55.9,20.11,30,11,3,3,2,0.6667,2022-01,2022-12,68,68.0,3.79,5.57,14.0,6,4,False
2023-01,2023-12,2019-01,2022-12,17,"['PS_CLOSE::league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)', 'AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)', 'PS_CLOSE::league|outcome|odds_bucket=BRA|home|[2.2,2.8)']",0.2808,262,53.85,20.55,31,9,3,3,3,1.0,2023-01,2023-12,75,75.0,11.65,15.53,7.19,6,5,True
2024-01,2024-12,2020-01,2023-12,12,"['PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)', 'PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'PS_CLOSE::league|outcome|odds_bucket=BRA|home|[2.2,2.8)']",0.3174,423,72.2,17.07,24,15,3,3,3,1.0,2024-01,2024-12,138,138.0,11.69,8.47,15.38,5,6,False
2025-01,2025-12,2021-01,2024-12,14,"['PS_CLOSE::league|outcome|odds_bucket=BRA|away|[2.2,2.8)', 'PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)', 'PS_CLOSE::league|outcome|odds_bucket=AUT|away|[1.8,2.2)']",0.0766,431,80.11,18.59,28,15,4,4,3,0.75,2025-01,2025-12,132,132.0,-12.79,-9.69,19.96,3,8,False
