combo_id,window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2018-10,2019-09,165,165.0,7.97,4.83,16.58,6,5,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2019-04,2020-03,152,152.0,-0.08,-0.05,18.04,6,5,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2019-10,2020-09,129,129.0,17.8,13.8,11.14,6,3,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2020-04,2021-03,149,149.0,22.69,15.23,12.0,7,3,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2020-10,2021-09,161,161.0,22.19,13.78,12.0,9,3,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2021-04,2022-03,147,147.0,2.33,1.59,16.49,6,5,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2021-10,2022-09,151,151.0,-9.15,-6.06,19.75,5,6,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2022-04,2023-03,146,146.0,21.85,14.97,15.33,6,4,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2022-10,2023-09,162,162.0,41.46,25.59,8.57,5,5,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2023-04,2024-03,179,179.0,13.32,7.44,16.08,5,6,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2023-10,2024-09,189,189.0,-0.22,-0.12,16.99,6,5,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2024-04,2025-03,199,199.0,29.47,14.81,10.67,7,4,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2024-10,2025-09,219,219.0,20.19,9.22,13.03,7,4,True
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || AVG_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2025-04,2026-03,163,163.0,5.87,3.6,12.8,7,2,False
"PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28) || PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8) || PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.28,0.34)",2013-04,2014-03,147,147.0,8.28,5.63,18.91,4,7,False
