month,bets,staked,profit,roi_pct
2017-03,7,70.0,-24.3,-34.71
2017-04,17,170.0,125.2,73.65
2017-05,17,170.0,12.3,7.24
2017-06,19,190.0,5.2,2.74
2017-07,24,240.0,-91.2,-38.0
2018-03,8,80.0,6.3,7.88
2018-04,13,130.0,-48.9,-37.62
2022-03,7,70.0,40.2,57.43
2025-06,8,80.0,14.6,18.25
2025-07,15,150.0,31.0,20.67
2025-08,13,130.0,60.6,46.62
2025-09,14,140.0,74.9,53.5
2025-10,18,180.0,-16.1,-8.94
2025-11,5,50.0,-2.0,-4.0
2025-12,4,40.0,45.0,112.5
