window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,72,720.0,35.7,4.96,121.5,3,4,False
2017-07,2018-06,56,560.0,-16.4,-2.93,88.2,3,3,False
2018-01,2018-12,10,100.0,0.7,0.7,30.0,1,0,False
2018-07,2019-06,23,230.0,7.5,3.26,42.1,1,1,False
2019-01,2019-12,35,350.0,-28.0,-8.0,65.5,1,2,False
2019-07,2020-06,12,120.0,-35.5,-29.58,35.5,0,1,False
2020-01,2020-12,7,70.0,43.6,62.29,20.0,2,0,False
2020-07,2021-06,34,340.0,36.8,10.82,90.3,3,2,False
2021-01,2021-12,27,270.0,-6.8,-2.52,90.3,1,2,False
2021-07,2022-06,0,0.0,0.0,0.0,0.0,0,0,False
2022-01,2022-12,8,80.0,-49.0,-61.25,70.0,0,1,False
2022-07,2023-06,28,280.0,109.0,38.93,70.0,4,2,True
2023-01,2023-12,64,640.0,134.2,20.97,102.7,6,5,True
2023-07,2024-06,59,590.0,130.8,22.17,102.7,4,4,False
2024-01,2024-12,15,150.0,154.6,103.07,30.0,2,0,False
2024-07,2025-06,24,240.0,11.3,4.71,63.3,1,1,False
2025-01,2025-12,62,620.0,-36.2,-5.84,116.1,2,6,False
