source,columns,key,label,rule_id,rule_description,odds_source,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,discovery_bets,discovery_profit,discovery_roi_pct,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision_reasons,decision
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"P1|[0.55,1.00]",AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p02_top1_ridge35_cap0.08,ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,208,30,80,0.02,35.0,606,22.11,3.65,208,133.4,6.41,57.5,26,11,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|odds_bucket|market_prob_bucket,"P1|[1.0,1.8)|[0.55,1.00]",AVG_OPEN_rulesrcd870bda_train30_n80_ev0p02_top1_ridge35_cap0.08,rcd870bda,rule_league_P1_market_prob_bucket_0p55_1p00_odds_bucket_1p0_1p8,AVG_OPEN,595,208,30,80,0.02,35.0,606,22.11,3.65,208,133.4,6.41,57.5,26,11,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket|favorite_relation,"P1|[0.55,1.00]|market_favorite",AVG_OPEN_rulesr4107da4f_train30_n80_ev0p02_top1_ridge35_cap0.08,r4107da4f,rule_favorite_relation_market_favorite_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,208,30,80,0.02,35.0,606,22.11,3.65,208,133.4,6.41,57.5,26,11,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"P1|[0.55,1.00]",AVG_OPEN_rulesra9aa4c57_train30_n120_ev0p02_top1_ridge35_cap0.08,ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,203,30,120,0.02,35.0,606,22.11,3.65,203,113.9,5.61,57.5,25,11,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|odds_bucket|market_prob_bucket,"P1|[1.0,1.8)|[0.55,1.00]",AVG_OPEN_rulesrcd870bda_train30_n120_ev0p02_top1_ridge35_cap0.08,rcd870bda,rule_league_P1_market_prob_bucket_0p55_1p00_odds_bucket_1p0_1p8,AVG_OPEN,595,203,30,120,0.02,35.0,606,22.11,3.65,203,113.9,5.61,57.5,25,11,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket|favorite_relation,"P1|[0.55,1.00]|market_favorite",AVG_OPEN_rulesr4107da4f_train30_n120_ev0p02_top1_ridge35_cap0.08,r4107da4f,rule_favorite_relation_market_favorite_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,203,30,120,0.02,35.0,606,22.11,3.65,203,113.9,5.61,57.5,25,11,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"P1|[0.55,1.00]",AVG_OPEN_rulesra9aa4c57_train18_n80_ev0p02_top1_ridge35_cap0.08,ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,209,18,80,0.02,35.0,606,22.11,3.65,209,91.9,4.4,99.6,22,14,6,2,6,2,0.3333,"['max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|odds_bucket|market_prob_bucket,"P1|[1.0,1.8)|[0.55,1.00]",AVG_OPEN_rulesrcd870bda_train18_n80_ev0p02_top1_ridge35_cap0.08,rcd870bda,rule_league_P1_market_prob_bucket_0p55_1p00_odds_bucket_1p0_1p8,AVG_OPEN,595,209,18,80,0.02,35.0,606,22.11,3.65,209,91.9,4.4,99.6,22,14,6,2,6,2,0.3333,"['max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket|favorite_relation,"P1|[0.55,1.00]|market_favorite",AVG_OPEN_rulesr4107da4f_train18_n80_ev0p02_top1_ridge35_cap0.08,r4107da4f,rule_favorite_relation_market_favorite_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,209,18,80,0.02,35.0,606,22.11,3.65,209,91.9,4.4,99.6,22,14,6,2,6,2,0.3333,"['max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"P1|[0.55,1.00]",AVG_OPEN_rulesra9aa4c57_train18_n80_ev0p02_top1_ridge10_cap0.08,ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,208,18,80,0.02,10.0,606,22.11,3.65,208,89.3,4.29,82.3,23,14,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|odds_bucket|market_prob_bucket,"P1|[1.0,1.8)|[0.55,1.00]",AVG_OPEN_rulesrcd870bda_train18_n80_ev0p02_top1_ridge10_cap0.08,rcd870bda,rule_league_P1_market_prob_bucket_0p55_1p00_odds_bucket_1p0_1p8,AVG_OPEN,595,208,18,80,0.02,10.0,606,22.11,3.65,208,89.3,4.29,82.3,23,14,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket|favorite_relation,"P1|[0.55,1.00]|market_favorite",AVG_OPEN_rulesr4107da4f_train18_n80_ev0p02_top1_ridge10_cap0.08,r4107da4f,rule_favorite_relation_market_favorite_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,208,18,80,0.02,10.0,606,22.11,3.65,208,89.3,4.29,82.3,23,14,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"P1|[0.55,1.00]",AVG_OPEN_rulesra9aa4c57_train18_n120_ev0p02_top1_ridge10_cap0.08,ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,203,18,120,0.02,10.0,606,22.11,3.65,203,83.5,4.11,82.3,22,14,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|odds_bucket|market_prob_bucket,"P1|[1.0,1.8)|[0.55,1.00]",AVG_OPEN_rulesrcd870bda_train18_n120_ev0p02_top1_ridge10_cap0.08,rcd870bda,rule_league_P1_market_prob_bucket_0p55_1p00_odds_bucket_1p0_1p8,AVG_OPEN,595,203,18,120,0.02,10.0,606,22.11,3.65,203,83.5,4.11,82.3,22,14,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket|favorite_relation,"P1|[0.55,1.00]|market_favorite",AVG_OPEN_rulesr4107da4f_train18_n120_ev0p02_top1_ridge10_cap0.08,r4107da4f,rule_favorite_relation_market_favorite_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,203,18,120,0.02,10.0,606,22.11,3.65,203,83.5,4.11,82.3,22,14,6,2,6,2,0.3333,['active_pass_rate<0.6'],REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"P1|[0.55,1.00]",AVG_OPEN_rulesra9aa4c57_train18_n120_ev0p02_top1_ridge35_cap0.08,ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,204,18,120,0.02,35.0,606,22.11,3.65,204,72.4,3.55,99.6,21,14,6,2,6,2,0.3333,"['max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|odds_bucket|market_prob_bucket,"P1|[1.0,1.8)|[0.55,1.00]",AVG_OPEN_rulesrcd870bda_train18_n120_ev0p02_top1_ridge35_cap0.08,rcd870bda,rule_league_P1_market_prob_bucket_0p55_1p00_odds_bucket_1p0_1p8,AVG_OPEN,595,204,18,120,0.02,35.0,606,22.11,3.65,204,72.4,3.55,99.6,21,14,6,2,6,2,0.3333,"['max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket|favorite_relation,"P1|[0.55,1.00]|market_favorite",AVG_OPEN_rulesr4107da4f_train18_n120_ev0p02_top1_ridge35_cap0.08,r4107da4f,rule_favorite_relation_market_favorite_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,204,18,120,0.02,35.0,606,22.11,3.65,204,72.4,3.55,99.6,21,14,6,2,6,2,0.3333,"['max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
reports\market_bias_diagnostics_v1\market_bias.csv,league|market_prob_bucket,"P1|[0.55,1.00]",AVG_OPEN_rulesra9aa4c57_train30_n80_ev0p0_top1_ridge35_cap0.08,ra9aa4c57,rule_league_P1_market_prob_bucket_0p55_1p00,AVG_OPEN,595,239,30,80,0.0,35.0,606,22.11,3.65,239,78.8,3.3,89.3,24,14,6,2,6,2,0.3333,"['max_drawdown>profit', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
