test_month,date,league,match,outcome,probability,conservative_probability,odds,raw_odds,execution_cost_rate,conservative_ev,execution_bookmaker,reference_bookmakers,reference_dispersion,stake,actual_outcome,profit,won,source_file,source_row
2025-10,2025-10-19,D2,Darmstadt v Magdeburg,away,0.24051483502637558,0.22450827714627458,4.5534799999999995,4.7,0.02,0.02229394982001831,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.011006557880101004,0.16,draw,-0.16,False,data\historical_csv\football-data\2526\D2.csv,80
2025-10,2025-10-19,T1,Gaziantep v Antalyaspor,away,0.2405111522911209,0.2277342085992281,4.45744,4.6,0.02,0.015111570778543415,BFE,"['B365', 'BFD', 'BMGM', 'BW', 'CL', 'LB', 'PS']",0.007776943691892812,0.11,home,-0.11,False,data\historical_csv\football-data\2526\T1.csv,78
2025-10,2025-10-19,SP1,Celta v Sociedad,away,0.27643810473219926,0.2673125115354306,3.78516,3.9,0.02,0.011820626163450587,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.004125593196768617,0.11,draw,-0.11,False,data\historical_csv\football-data\2526\SP1.csv,88
2025-10,2025-10-20,B1,Standard v Antwerp,away,0.2555302070719659,0.24074740038825782,4.265360000000001,4.4,0.02,0.026874331720059708,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.009782806683708066,0.21,home,-0.21,False,data\historical_csv\football-data\2526\B1.csv,89
2025-10,2025-10-24,B1,Charleroi v Anderlecht,home,0.3578391636981348,0.3446635315695135,3.0873999999999997,3.13,0.0,0.06411418736771601,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.008175632128621275,0.77,home,1.61,True,data\historical_csv\football-data\2526\B1.csv,90
2025-10,2025-10-24,SP2,Huesca v Las Palmas,home,0.32322095836039993,0.3143512333075558,3.2834,3.33,0.0,0.032140839442028835,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0038697250528441176,0.35,draw,-0.35,False,data\historical_csv\football-data\2526\SP2.csv,111
2025-10,2025-10-24,T1,Karagumruk v Kayserispor,away,0.2992674596942841,0.28933059271958783,3.49704,3.6,0.02,0.01180065596410751,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.004936866974696274,0.12,draw,-0.12,False,data\historical_csv\football-data\2526\T1.csv,83
2025-10,2025-10-25,F2,Annecy v St Etienne,home,0.27113676132105435,0.25471439556229947,4.0478000000000005,4.11,0.0,0.031032930357075994,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.01142236575875488,0.25,home,0.76,True,data\historical_csv\football-data\2526\F2.csv,99
2025-10,2025-10-25,T1,Kocaelispor v Alanyaspor,away,0.32169394615266306,0.3070436026550287,3.35298,3.45,0.02,0.029511058830258285,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.009650343497634346,0.31,home,-0.31,False,data\historical_csv\football-data\2526\T1.csv,84
2025-10,2025-10-25,SC0,Livingston v Motherwell,away,0.4537804212390502,0.44337469864811974,2.2935999999999996,2.32,0.0,0.016924208819327324,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.005405722590930451,0.33,away,0.43,True,data\historical_csv\football-data\2526\SC0.csv,53
2025-10,2025-10-26,SP2,Malaga v Andorra,away,0.3006769352956935,0.29112970211070516,3.6557999999999997,3.71,0.0,0.06431196497631575,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0045472331849883176,0.61,home,-0.61,False,data\historical_csv\football-data\2526\SP2.csv,118
2025-10,2025-10-26,SP2,Almeria v Castellon,away,0.2682081161683699,0.257297829288861,4.087,4.15,0.0,0.051576228303575,PS,"['B365', 'BFD', 'BFE', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.005910286879508872,0.42,home,-0.42,False,data\historical_csv\football-data\2526\SP2.csv,119
2025-10,2025-10-26,B1,Cercle Brugge v Waregem,away,0.23695068698475075,0.2248776260830548,4.5534799999999995,4.7,0.02,0.023975772816668295,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.007073060901695927,0.17,draw,-0.17,False,data\historical_csv\football-data\2526\B1.csv,95
2025-10,2025-10-26,P1,Famalicao v Guimaraes,away,0.23500273536610783,0.22480558127878647,4.5534799999999995,4.7,0.02,0.023647718241328608,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.005197154087321366,0.17,home,-0.17,False,data\historical_csv\football-data\2526\P1.csv,79
2025-10,2025-10-26,E0,Wolves v Burnley,away,0.2330429934673496,0.22241903135579802,4.5534799999999995,4.7,0.02,0.01278061089799909,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.005623962111551595,0.09,away,0.32,True,data\historical_csv\football-data\2526\E0.csv,90
2025-10,2025-10-27,T1,Samsunspor v Rizespor,away,0.24361228438114552,0.236091889228562,4.5534799999999995,4.7,0.02,0.07503969576447234,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB', 'PS']",0.002520395152583516,0.53,draw,-0.53,False,data\historical_csv\football-data\2526\T1.csv,91
2025-10,2025-10-28,I2,Empoli v Sampdoria,away,0.2987605772504019,0.28930678665341814,3.49704,3.6,0.02,0.011717405198469422,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.004453790596983766,0.12,draw,-0.12,False,data\historical_csv\football-data\2526\I2.csv,93
2025-10,2025-10-31,F2,Guingamp v Laval,away,0.2391304347826087,0.22223892862392947,4.745559999999999,4.9,0.02,0.054648170120574546,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.011891506158679246,0.36,home,-0.36,False,data\historical_csv\football-data\2526\F2.csv,111
2025-10,2025-10-31,T1,Buyuksehyr v Kocaelispor,away,0.22111544769312239,0.21228341116845953,4.93764,5.1,0.02,0.048179062321832555,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0038320365246628445,0.31,home,-0.31,False,data\historical_csv\football-data\2526\T1.csv,92
2026-02,2026-02-20,F2,Annecy v Red Star,away,0.3063524590163934,0.29005198811812094,3.49704,3.6,0.02,0.014323404528593597,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.011300470898272479,0.14,home,-0.14,False,data\historical_csv\football-data\2526\F2.csv,209
2026-02,2026-02-20,F2,Boulogne v Clermont,away,0.3191575416599651,0.31134999545009034,3.2569399999999997,3.35,0.02,0.014048254181217246,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.002807546209874751,0.16,away,0.36,True,data\historical_csv\football-data\2526\F2.csv,210
2026-03,2026-03-01,T1,Samsunspor v Gaziantep,away,0.20453523072718297,0.1961328961978371,5.3218,5.5,0.02,0.04378004698564952,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0034023345293458496,0.25,draw,-0.25,False,data\historical_csv\football-data\2526\T1.csv,217
2026-03,2026-03-01,B1,Cercle Brugge v Dender,away,0.20823451749345984,0.20123846223105982,5.12972,5.3,0.02,0.03229696447591213,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0019960552624000197,0.2,draw,-0.2,False,data\historical_csv\football-data\2526\B1.csv,217
2026-03,2026-03-01,SP2,Eibar v Cadiz,away,0.2027881754754308,0.19181538273537918,5.3218,5.5,0.02,0.020803103841140924,BFE,"['B365', 'BFD', 'BMGM', 'BV', 'BW', 'CL', 'LB']",0.0059727927400516,0.12,home,-0.12,False,data\historical_csv\football-data\2526\SP2.csv,307
