validation_start,validation_end,rule_key,odds_source,rule_label,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
2019-01,2019-12,"AVG_CLOSE::league|outcome|odds_bucket=BRA|home|[1.8,2.2)",AVG_CLOSE,"league|outcome|odds_bucket=BRA|home|[1.8,2.2)",417,8.56,2.05,32,17,15,2018-12,0.16,6.0733
2022-01,2022-12,"AVG_CLOSE::league|outcome|market_prob_bucket=BRA|home|[0.42,0.55)",AVG_CLOSE,"league|outcome|market_prob_bucket=BRA|home|[0.42,0.55)",434,17.26,3.98,33,20,13,2021-12,4.66,18.0167
