date,bets,staked,profit,halted_by_stop_loss,month
2024-11-01,1,1.0,-1.0,False,2024-11
2024-11-02,0,0.0,0.0,False,2024-11
2024-11-03,1,1.0,1.8,False,2024-11
2024-11-04,0,0.0,0.0,False,2024-11
2024-11-05,0,0.0,0.0,False,2024-11
2024-11-06,0,0.0,0.0,False,2024-11
2024-11-07,0,0.0,0.0,False,2024-11
2024-11-08,1,1.0,2.0,False,2024-11
2024-11-09,0,0.0,0.0,False,2024-11
2024-11-10,0,0.0,0.0,False,2024-11
2024-11-11,0,0.0,0.0,False,2024-11
2024-11-12,0,0.0,0.0,False,2024-11
2024-11-13,0,0.0,0.0,False,2024-11
2024-11-14,0,0.0,0.0,False,2024-11
2024-11-15,0,0.0,0.0,False,2024-11
2024-11-16,0,0.0,0.0,False,2024-11
2024-11-17,1,1.0,-1.0,False,2024-11
2024-11-18,0,0.0,0.0,False,2024-11
2024-11-19,0,0.0,0.0,False,2024-11
2024-11-20,0,0.0,0.0,False,2024-11
2024-11-21,0,0.0,0.0,False,2024-11
2024-11-22,0,0.0,0.0,False,2024-11
2024-11-23,1,1.0,-1.0,False,2024-11
2024-11-24,1,1.0,-1.0,False,2024-11
2024-11-25,1,1.0,1.9,False,2024-11
2024-11-26,0,0.0,0.0,False,2024-11
2024-11-27,0,0.0,0.0,False,2024-11
2024-11-28,0,0.0,0.0,False,2024-11
2024-11-29,0,0.0,0.0,False,2024-11
2024-11-30,1,1.0,1.88,False,2024-11
2024-12-01,0,0.0,0.0,False,2024-12
2024-12-02,0,0.0,0.0,False,2024-12
2024-12-03,0,0.0,0.0,False,2024-12
2024-12-04,0,0.0,0.0,False,2024-12
2024-12-05,0,0.0,0.0,False,2024-12
2024-12-06,0,0.0,0.0,False,2024-12
2024-12-07,1,1.0,-1.0,False,2024-12
2024-12-08,0,0.0,0.0,False,2024-12
2024-12-09,0,0.0,0.0,False,2024-12
2024-12-10,0,0.0,0.0,False,2024-12
2024-12-11,0,0.0,0.0,False,2024-12
2024-12-12,0,0.0,0.0,False,2024-12
2024-12-13,1,1.0,-1.0,False,2024-12
2024-12-14,0,0.0,0.0,False,2024-12
2024-12-15,0,0.0,0.0,False,2024-12
2024-12-16,0,0.0,0.0,False,2024-12
2024-12-17,0,0.0,0.0,False,2024-12
2024-12-18,0,0.0,0.0,False,2024-12
2024-12-19,0,0.0,0.0,False,2024-12
2024-12-20,0,0.0,0.0,False,2024-12
2024-12-21,1,1.0,-1.0,False,2024-12
2024-12-22,0,0.0,0.0,False,2024-12
2024-12-23,0,0.0,0.0,False,2024-12
2024-12-24,0,0.0,0.0,False,2024-12
2024-12-25,0,0.0,0.0,False,2024-12
2024-12-26,0,0.0,0.0,False,2024-12
2024-12-27,0,0.0,0.0,False,2024-12
2024-12-28,0,0.0,0.0,False,2024-12
2024-12-29,1,1.0,-1.0,False,2024-12
2024-12-30,0,0.0,0.0,False,2024-12
2025-02-01,0,0.0,0.0,False,2025-02
2025-02-02,1,1.0,-1.0,False,2025-02
2025-02-03,0,0.0,0.0,False,2025-02
2025-02-04,0,0.0,0.0,False,2025-02
2025-02-05,0,0.0,0.0,False,2025-02
2025-02-06,0,0.0,0.0,False,2025-02
2025-02-07,0,0.0,0.0,False,2025-02
2025-02-08,0,0.0,0.0,False,2025-02
2025-02-09,0,0.0,0.0,False,2025-02
2025-02-10,0,0.0,0.0,False,2025-02
2025-02-11,0,0.0,0.0,False,2025-02
2025-02-12,0,0.0,0.0,False,2025-02
2025-02-13,0,0.0,0.0,False,2025-02
2025-02-14,0,0.0,0.0,False,2025-02
2025-02-15,0,0.0,0.0,False,2025-02
2025-02-16,1,1.0,1.88,False,2025-02
2025-02-17,0,0.0,0.0,False,2025-02
2025-02-18,0,0.0,0.0,False,2025-02
2025-02-19,0,0.0,0.0,False,2025-02
2025-02-20,0,0.0,0.0,False,2025-02
2025-02-21,0,0.0,0.0,False,2025-02
2025-02-22,1,1.0,-1.0,False,2025-02
2025-02-23,0,0.0,0.0,False,2025-02
2025-02-24,0,0.0,0.0,False,2025-02
2025-02-25,0,0.0,0.0,False,2025-02
2025-02-26,0,0.0,0.0,False,2025-02
2025-02-27,0,0.0,0.0,False,2025-02
2025-02-28,0,0.0,0.0,False,2025-02
