label,bets,wins,hit_rate,wilson_hit_rate_lower_95,avg_odds,avg_implied_probability,edge_vs_implied_probability,conservative_edge_vs_implied,staked,profit,roi_pct,decision,decision_reasons
"[2.8,3.3)",114,38,0.3333,0.2535,3.0942,0.3236,0.0097,-0.0701,1055.5,18.8,1.78,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['wilson_lower<=average_implied_probability']
"[3.3,3.5)",77,24,0.3117,0.2193,3.3896,0.2951,0.0166,-0.0758,764.35,36.28,4.75,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['wilson_lower<=average_implied_probability']
"[1.0,1.8)",48,35,0.7292,0.59,1.4498,0.698,0.0312,-0.108,480.0,21.5,4.48,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['wilson_lower<=average_implied_probability']
