columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
outcome|market_prob_bucket,"away|[0.55,1.00]",247,26.53,10.74,49,36,13,2026-05,-1.46,47.1815
league|outcome|market_prob_bucket,"P1|away|[0.55,1.00]",247,26.53,10.74,49,36,13,2026-05,-1.46,47.1815
outcome|odds_bucket|market_prob_bucket,"away|[1.0,1.8)|[0.55,1.00]",247,26.53,10.74,49,36,13,2026-05,-1.46,47.1815
outcome|market_prob_bucket|favorite_relation,"away|[0.55,1.00]|market_favorite",247,26.53,10.74,49,36,13,2026-05,-1.46,47.1815
outcome|odds_bucket,"away|[1.0,1.8)",259,23.37,9.02,50,34,16,2026-05,-1.46,36.9925
league|outcome|odds_bucket,"P1|away|[1.0,1.8)",259,23.37,9.02,50,34,16,2026-05,-1.46,36.9925
outcome|odds_bucket|favorite_relation,"away|[1.0,1.8)|market_favorite",259,23.37,9.02,50,34,16,2026-05,-1.46,36.9925
market_prob_bucket,"[0.55,1.00]",595,33.27,5.59,50,34,16,2026-05,-3.89,36.6151
league|market_prob_bucket,"P1|[0.55,1.00]",595,33.27,5.59,50,34,16,2026-05,-3.89,36.6151
odds_bucket|market_prob_bucket,"[1.0,1.8)|[0.55,1.00]",595,33.27,5.59,50,34,16,2026-05,-3.89,36.6151
market_prob_bucket|favorite_relation,"[0.55,1.00]|market_favorite",595,33.27,5.59,50,34,16,2026-05,-3.89,36.6151
league|odds_bucket|market_prob_bucket,"P1|[1.0,1.8)|[0.55,1.00]",595,33.27,5.59,50,34,16,2026-05,-3.89,36.6151
league|market_prob_bucket|favorite_relation,"P1|[0.55,1.00]|market_favorite",595,33.27,5.59,50,34,16,2026-05,-3.89,36.6151
odds_bucket|market_prob_bucket|favorite_relation,"[1.0,1.8)|[0.55,1.00]|market_favorite",595,33.27,5.59,50,34,16,2026-05,-3.89,36.6151
odds_bucket,"[1.0,1.8)",655,17.29,2.64,50,33,17,2026-05,-7.89,32.2904
league|odds_bucket,"P1|[1.0,1.8)",655,17.29,2.64,50,33,17,2026-05,-7.89,32.2904
odds_bucket|favorite_relation,"[1.0,1.8)|market_favorite",655,17.29,2.64,50,33,17,2026-05,-7.89,32.2904
league|odds_bucket|favorite_relation,"P1|[1.0,1.8)|market_favorite",655,17.29,2.64,50,33,17,2026-05,-7.89,32.2904
outcome|market_prob_bucket,"home|[0.55,1.00]",348,6.74,1.94,50,30,19,2026-05,-2.43,22.213
league|outcome|market_prob_bucket,"P1|home|[0.55,1.00]",348,6.74,1.94,50,30,19,2026-05,-2.43,22.213
outcome|odds_bucket|market_prob_bucket,"home|[1.0,1.8)|[0.55,1.00]",348,6.74,1.94,50,30,19,2026-05,-2.43,22.213
outcome|market_prob_bucket|favorite_relation,"home|[0.55,1.00]|market_favorite",348,6.74,1.94,50,30,19,2026-05,-2.43,22.213
outcome|odds_bucket|market_prob_bucket,"draw|[2.8,3.5)|[0.20,0.28)",165,29.84,18.08,46,27,19,2026-05,4.28,17.9893
market_prob_bucket|favorite_relation,"[0.34,0.42)|market_favorite",447,18.55,4.15,50,29,21,2026-05,-1.57,16.4565
league|market_prob_bucket|favorite_relation,"P1|[0.34,0.42)|market_favorite",447,18.55,4.15,50,29,21,2026-05,-1.57,16.4565
odds_bucket|market_prob_bucket|favorite_relation,"[2.2,2.8)|[0.34,0.42)|market_favorite",447,18.55,4.15,50,29,21,2026-05,-1.57,16.4565
odds_bucket|favorite_relation,"[2.2,2.8)|market_favorite",500,25.58,5.12,50,28,22,2026-05,-1.57,12.5628
league|odds_bucket|favorite_relation,"P1|[2.2,2.8)|market_favorite",500,25.58,5.12,50,28,22,2026-05,-1.57,12.5628
outcome|favorite_relation,away|market_favorite,484,23.66,4.89,50,28,22,2026-05,-5.46,12.5377
league|outcome|favorite_relation,P1|away|market_favorite,484,23.66,4.89,50,28,22,2026-05,-5.46,12.5377
odds_bucket|market_prob_bucket,"[2.8,3.5)|[0.20,0.28)",225,24.46,10.87,48,26,22,2026-05,3.28,9.1958
league|odds_bucket|market_prob_bucket,"P1|[2.8,3.5)|[0.20,0.28)",225,24.46,10.87,48,26,22,2026-05,3.28,9.1958
odds_bucket|market_prob_bucket|favorite_relation,"[2.8,3.5)|[0.20,0.28)|market_non_favorite",225,24.46,10.87,48,26,22,2026-05,3.28,9.1958
outcome|odds_bucket|favorite_relation,"away|[2.2,2.8)|market_favorite",150,15.25,10.17,45,24,21,2026-05,-1.0,7.1183
outcome|odds_bucket,"draw|[2.8,3.5)",819,39.86,4.87,50,26,24,2026-05,3.33,4.5354
league|outcome|odds_bucket,"P1|draw|[2.8,3.5)",819,39.86,4.87,50,26,24,2026-05,3.33,4.5354
outcome|odds_bucket|favorite_relation,"draw|[2.8,3.5)|market_non_favorite",819,39.86,4.87,50,26,24,2026-05,3.33,4.5354
outcome|odds_bucket|market_prob_bucket,"draw|[2.8,3.5)|[0.28,0.34)",654,10.02,1.53,50,26,24,2026-05,-0.95,4.1685
outcome|market_prob_bucket,"draw|[0.28,0.34)",655,9.02,1.38,50,26,24,2026-05,-0.95,4.1515
league|outcome|market_prob_bucket,"P1|draw|[0.28,0.34)",655,9.02,1.38,50,26,24,2026-05,-0.95,4.1515
outcome|market_prob_bucket|favorite_relation,"draw|[0.28,0.34)|market_non_favorite",655,9.02,1.38,50,26,24,2026-05,-0.95,4.1515
