label,bets,wins,hit_rate,wilson_hit_rate_lower_95,avg_odds,avg_implied_probability,edge_vs_implied_probability,conservative_edge_vs_implied,staked,profit,roi_pct,decision,decision_reasons
"[2.2,2.8)",31,16,0.5161,0.3484,2.529,0.3971,0.1191,-0.0487,310.0,94.4,30.45,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
"[2.8,3.3)",25,8,0.32,0.172,3.0476,0.3287,-0.0087,-0.1566,250.0,-7.1,-2.84,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
"[4.0,+)",24,4,0.1667,0.0668,5.2742,0.194,-0.0274,-0.1273,240.0,-59.4,-24.75,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
"[3.5,4.0)",19,9,0.4737,0.2733,3.7242,0.2688,0.2049,0.0045,190.0,144.8,76.21,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['bets<minimum']
"[3.3,3.5)",14,5,0.3571,0.1634,3.3879,0.2953,0.0619,-0.1318,140.0,28.5,20.36,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
"[1.8,2.2)",1,0,0.0,0.0,2.14,0.4673,-0.4673,-0.4673,10.0,-10.0,-100.0,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
