date,league,home_team,away_team,outcome,actual_result,odds_bucket,probability,lower_ev,odds,stake,won,profit,rule_label,month
2024-12-14,I2,Reggiana,Modena,draw,away,"[2.8,3.5)",0.406943,0.094072,2.8,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-14,E1,Swansea,Sunderland,draw,away,"[2.8,3.5)",0.327271,0.004315,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-14,SP1,Espanol,Osasuna,draw,draw,"[2.8,3.5)",0.324676,-0.012544,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-15,E1,Watford,West Brom,draw,home,"[2.8,3.5)",0.321977,0.002799,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-20,E1,Luton,Derby,draw,home,"[2.8,3.5)",0.326178,0.000817,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-21,E1,QPR,Preston,draw,home,"[2.8,3.5)",0.331392,-0.014296,3.1,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-26,E1,Derby,West Brom,draw,home,"[2.8,3.5)",0.327842,0.006139,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-26,E1,Norwich,Millwall,draw,home,"[2.8,3.5)",0.326122,0.000638,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2024-12-29,E1,Sheffield United,West Brom,draw,draw,"[2.8,3.5)",0.319733,-0.019807,3.2,1.0,True,2.2,"ALL|draw|[2.8,3.5)|ev>=-0.02",2024-12
2025-01-11,SP2,Huesca,Mirandes,draw,home,"[2.8,3.5)",0.384744,0.037677,2.8,1.0,False,-1.0,"SP2|draw|[2.8,3.5)|ev>=-0.01",2025-01
2025-01-11,SP2,Ferrol,Cartagena,draw,draw,"[2.8,3.5)",0.321436,-0.001306,3.25,1.0,True,2.25,"SP2|draw|[2.8,3.5)|ev>=-0.01",2025-01
2025-01-12,I2,Reggiana,Bari,draw,draw,"[2.8,3.5)",0.390301,0.049573,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-18,SP2,Levante,Granada,draw,home,"[2.8,3.5)",0.325557,-0.003484,3.2,1.0,False,-1.0,"SP2|draw|[2.8,3.5)|ev>=-0.01",2025-01
2025-01-18,E1,Cardiff,Swansea,draw,home,"[2.8,3.5)",0.31928,-0.004135,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-18,E2,Northampton,Lincoln,draw,away,"[2.8,3.5)",0.315983,-0.015362,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-18,E1,Millwall,Hull,draw,away,"[2.8,3.5)",0.319686,-0.018159,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-21,E1,Hull,QPR,draw,away,"[2.8,3.5)",0.316727,-0.012432,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-25,E3,Milton Keynes Dons,AFC Wimbledon,draw,draw,"[2.8,3.5)",0.319148,-0.005021,3.25,1.0,True,2.25,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-25,E3,Bradford,Walsall,draw,home,"[2.8,3.5)",0.322547,-0.009454,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-25,E1,QPR,Sheffield Weds,draw,away,"[2.8,3.5)",0.322189,-0.010149,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-25,E3,Barrow,Grimsby,draw,home,"[2.8,3.5)",0.315794,-0.015922,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-25,E1,Norwich,Swansea,draw,home,"[2.8,3.5)",0.320306,-0.016174,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-26,T1,Bodrumspor,Eyupspor,draw,away,"[2.8,3.5)",0.320179,-0.011762,3.25,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-26,SP2,Malaga,Zaragoza,draw,away,"[2.8,3.5)",0.321152,-0.017579,3.2,1.0,False,-1.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-27,SP1,Alaves,Celta,draw,draw,"[2.8,3.5)",0.3496,0.001703,3.0,1.0,True,2.0,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
2025-01-28,E3,Crewe,AFC Wimbledon,draw,draw,"[2.8,3.5)",0.40189,0.088889,2.8,1.0,True,1.8,"ALL|draw|[2.8,3.5)|ev>=-0.02",2025-01
