window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,0,0.0,0.0,0.0,0.0,0,0,False
2017-07,2018-06,8,80.0,-80.0,-100.0,80.0,0,2,False
2018-01,2018-12,11,110.0,-110.0,-100.0,110.0,0,3,False
2018-07,2019-06,22,220.0,-35.5,-16.14,80.0,1,3,False
2019-01,2019-12,42,420.0,-31.3,-7.45,133.2,3,4,False
2019-07,2020-06,23,230.0,-25.8,-11.22,116.9,2,2,False
2020-01,2020-12,0,0.0,0.0,0.0,0.0,0,0,False
2020-07,2021-06,14,140.0,-1.9,-1.36,60.0,1,1,False
2021-01,2021-12,33,330.0,15.9,4.82,70.0,4,2,False
2021-07,2022-06,25,250.0,24.6,9.84,70.0,4,1,False
2022-01,2022-12,6,60.0,6.8,11.33,40.0,1,0,False
2022-07,2023-06,9,90.0,15.3,17.0,40.0,1,1,False
2023-01,2023-12,9,90.0,15.3,17.0,40.0,1,1,False
2023-07,2024-06,14,140.0,-41.1,-29.36,50.0,0,2,False
2024-01,2024-12,24,240.0,-25.3,-10.54,76.1,1,2,False
2024-07,2025-06,33,330.0,167.2,50.67,75.2,3,1,True
2025-01,2025-12,48,480.0,-58.1,-12.1,219.5,2,5,False
