month,decision,reason,prior_candidates,candidate_count,probability_validation,selected,mean_predicted_ev
2018-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,1932.0,93.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1452, 'validation_rows': 480, 'market': {'matches': 160, 'log_loss': 1.01285, 'brier': 0.606074}, 'model': {'matches': 160, 'log_loss': 1.013798, 'brier': 0.607002}, 'log_loss_improvement': -0.000948, 'brier_improvement': -0.000928}",,
2018-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,1977.0,75.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1440, 'validation_rows': 537, 'market': {'matches': 179, 'log_loss': 1.010781, 'brier': 0.604018}, 'model': {'matches': 179, 'log_loss': 1.012235, 'brier': 0.604843}, 'log_loss_improvement': -0.001454, 'brier_improvement': -0.000825}",,
2018-11,INVEST,,1926.0,72.0,"{'passed': True, 'reason': None, 'fit_rows': 1446, 'validation_rows': 480, 'market': {'matches': 160, 'log_loss': 1.016204, 'brier': 0.609138}, 'model': {'matches': 160, 'log_loss': 1.013801, 'brier': 0.607492}, 'log_loss_improvement': 0.002403, 'brier_improvement': 0.001646}",3.0,0.0825
2018-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,1860.0,3.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1428, 'validation_rows': 432, 'market': {'matches': 144, 'log_loss': 1.030651, 'brier': 0.61993}, 'model': {'matches': 144, 'log_loss': 1.032353, 'brier': 0.620385}, 'log_loss_improvement': -0.001702, 'brier_improvement': -0.000455}",,
2019-01,ABSTAIN,no_candidates,,,,,
2019-02,ABSTAIN,no_candidates,,,,,
2019-03,ABSTAIN,model_did_not_beat_market_on_prior_validation,1647.0,21.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1404, 'validation_rows': 243, 'market': {'matches': 81, 'log_loss': 1.029045, 'brier': 0.619499}, 'model': {'matches': 81, 'log_loss': 1.030972, 'brier': 0.620445}, 'log_loss_improvement': -0.001927, 'brier_improvement': -0.000946}",,
2019-04,INVEST,,1593.0,105.0,"{'passed': True, 'reason': None, 'fit_rows': 1422, 'validation_rows': 171, 'market': {'matches': 57, 'log_loss': 1.023205, 'brier': 0.615791}, 'model': {'matches': 57, 'log_loss': 1.02165, 'brier': 0.615068}, 'log_loss_improvement': 0.001555, 'brier_improvement': 0.000723}",7.0,0.0413
2019-05,INVEST,,1605.0,108.0,"{'passed': True, 'reason': None, 'fit_rows': 1404, 'validation_rows': 201, 'market': {'matches': 67, 'log_loss': 0.998099, 'brier': 0.59876}, 'model': {'matches': 67, 'log_loss': 0.994533, 'brier': 0.597697}, 'log_loss_improvement': 0.003566, 'brier_improvement': 0.001063}",7.0,0.0551
2019-06,INVEST,,1686.0,69.0,"{'passed': True, 'reason': None, 'fit_rows': 1449, 'validation_rows': 237, 'market': {'matches': 79, 'log_loss': 1.028718, 'brier': 0.613812}, 'model': {'matches': 79, 'log_loss': 1.026614, 'brier': 0.6124}, 'log_loss_improvement': 0.002104, 'brier_improvement': 0.001412}",5.0,0.0424
2019-07,INVEST,,1752.0,54.0,"{'passed': True, 'reason': None, 'fit_rows': 1449, 'validation_rows': 303, 'market': {'matches': 101, 'log_loss': 1.019813, 'brier': 0.607209}, 'model': {'matches': 101, 'log_loss': 1.018632, 'brier': 0.606508}, 'log_loss_improvement': 0.001181, 'brier_improvement': 0.000701}",4.0,0.0463
2019-08,INVEST,,1806.0,105.0,"{'passed': True, 'reason': None, 'fit_rows': 1449, 'validation_rows': 357, 'market': {'matches': 119, 'log_loss': 1.006558, 'brier': 0.598683}, 'model': {'matches': 119, 'log_loss': 1.003033, 'brier': 0.596565}, 'log_loss_improvement': 0.003525, 'brier_improvement': 0.002118}",7.0,0.0451
2019-09,INVEST,,1911.0,90.0,"{'passed': True, 'reason': None, 'fit_rows': 1449, 'validation_rows': 462, 'market': {'matches': 154, 'log_loss': 1.018878, 'brier': 0.606948}, 'model': {'matches': 154, 'log_loss': 1.016275, 'brier': 0.605249}, 'log_loss_improvement': 0.002603, 'brier_improvement': 0.001699}",5.0,0.0449
2019-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,2001.0,72.0,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 1470, 'validation_rows': 531, 'market': {'matches': 177, 'log_loss': 1.025574, 'brier': 0.613297}, 'model': {'matches': 177, 'log_loss': 1.026483, 'brier': 0.614446}, 'log_loss_improvement': -0.000909, 'brier_improvement': -0.001149}",,
2019-11,INVEST,,1932.0,72.0,"{'passed': True, 'reason': None, 'fit_rows': 1434, 'validation_rows': 498, 'market': {'matches': 166, 'log_loss': 1.044005, 'brier': 0.625004}, 'model': {'matches': 166, 'log_loss': 1.043157, 'brier': 0.624488}, 'log_loss_improvement': 0.000848, 'brier_improvement': 0.000516}",7.0,0.037
