label,bets,wins,hit_rate,wilson_hit_rate_lower_95,avg_odds,avg_implied_probability,edge_vs_implied_probability,conservative_edge_vs_implied,staked,profit,roi_pct,decision,decision_reasons
"[2.8,3.3)",47,12,0.2553,0.1525,2.9926,0.3348,-0.0794,-0.1822,47.0,-10.84,-23.06,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
"[1.8,2.2)",30,13,0.4333,0.2738,2.0547,0.4879,-0.0545,-0.2141,30.0,-3.11,-10.37,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
"[3.3,3.5)",6,0,0.0,0.0,3.4233,0.2922,-0.2922,-0.2922,6.0,-6.0,-100.0,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
"[2.2,2.8)",3,1,0.3333,0.0615,2.2267,0.4491,-0.1158,-0.3876,3.0,-0.78,-26.0,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
"[1.0,1.8)",2,1,0.5,0.0945,1.76,0.5683,-0.0683,-0.4738,2.0,-0.27,-13.5,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
