test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,direct_predicted_clv_pct,direct_lower_clv_pct,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,stake_multiplier,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2026-05,data\historical_csv\football-data\2526\P1.csv:287,data\historical_csv\football-data\2526\P1.csv,287,2026-05-03,P1,Sp Braga,Estoril,away,0.2177126254285637,0.2123188746557822,4.822,4.9,2.380161359018196,0.0033937507727814,6,0.0,BMGM,4.0-5.0,sportsbook,0.2073828287017834,1.0498102798165343,0.0053937507727815,0.0155882129761696,1.5731887797589794,0.0473987872709981,0.3425030595360859,0.1666666666666666,1.6175860638739217,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,4.55429715077972,4.55429715077972,True,5.203046649339727,5.203046649339727,4.878671900059723,0.6487494985600071,4.55429715077972,0.5,0.3,model_agreement_half_kelly,draw,-13.799715343011664,False,0.1787645886706518,5.593949044585987,False,-0.3
2026-05,data\historical_csv\football-data\2526\SC0.csv:210,data\historical_csv\football-data\2526\SC0.csv,210,2026-05-03,SC0,Hibernian,Celtic,home,0.2315777856023862,0.2260054622512315,4.528,4.6,2.335273307357655,0.0035723233511546,6,0.0,BMGM,4.0-5.0,sportsbook,0.2208480565371025,1.0485842132076046,0.0055723233511546,0.0154260191315941,1.5102803409008818,0.0536282707845047,0.3497473769846431,0.1666666666666666,1.590106007067149,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,3.587077320298026,3.587077320298026,True,4.043279690701929,4.043279690701929,3.8151785054999774,0.45620237040390244,3.587077320298026,0.5,0.25,model_agreement_half_kelly,away,-15.027626714984743,False,0.1876598349934082,5.328790788050762,False,-0.25
2026-05,data\historical_csv\football-data\2526\T1.csv:297,data\historical_csv\football-data\2526\T1.csv,297,2026-05-09,T1,Kocaelispor,Karagumruk,away,0.2545203848075617,0.250273020932567,4.038,4.1,1.0602458525705627,0.0022473638749947,7,0.0,BMGM,4.0-5.0,sportsbook,0.2476473501733531,1.0277533138529342,0.0042473638749947,0.0088297991404261,1.3957495198906458,0.0647806262825893,0.3552467048975367,0.1428571428571428,1.535413571074784,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,3.448734671589727,3.448734671589727,True,3.579465849690955,3.579465849690955,3.514100260640341,0.13073117810122792,3.448734671589727,1.0,0.57,model_agreement_half_kelly,away,6.824753629788716,True,0.2645486716933846,3.780022759513278,True,1.73
2026-05,data\historical_csv\football-data\2526\G1.csv:225,data\historical_csv\football-data\2526\G1.csv,225,2026-05-13,G1,Volos NFC,Aris,home,0.2624762514124746,0.2533154704705338,4.2634,4.33,7.99851768040738,0.0071607809419407,6,0.0,B365,4.0-5.0,sportsbook,0.234554580850964,1.1190412502719442,0.0091607809419407,0.0272816336845949,1.450066964016957,0.0688937825555445,0.3806081410122385,0.1666666666666666,1.5621335084674337,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,6.264852588157369,6.264852588157369,True,6.893373531261315,6.893373531261315,6.579113059709343,0.628520943103946,6.264852588157369,0.5,0.48,model_agreement_half_kelly,away,24.09874934711278,True,0.2910793013724088,3.435489900123792,False,-0.48
2026-05,data\historical_csv\football-data\2526\SP1.csv:366,data\historical_csv\football-data\2526\SP1.csv,366,2026-05-17,SP1,Osasuna,Espanol,away,0.251450285289587,0.2462747431757152,4.2487,4.4,4.634750133066157,0.0031755421138717,7,0.025,BFE,4.0-5.0,exchange,0.235366111987196,1.0683368271098683,0.0051755421138717,0.0126289063868612,1.4466130537918354,0.0632272459722147,0.3637512650795977,0.1428571428571428,3.561089274366269,away:4.0-5.0,away:exchange,exchange:4.0-5.0,4.0295903302621126,4.0295903302621126,True,4.245869351502374,4.245869351502374,4.137729840882243,0.21627902124026122,4.0295903302621126,1.0,0.62,model_agreement_half_kelly,away,-0.9992661150267756,False,0.233014178183852,4.291584348189248,True,2.01
