config_id,lookback_months,min_history_bets,min_history_roi,min_positive_month_edge,cold_start,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
lb3_bets20_roineg0p02_edge0_enabled,3,20,-0.02,0,enabled,585,187.45,3.53,245.08,7,7,6,0,5,0,0.0
lb3_bets20_roineg0p02_edge1_enabled,3,20,-0.02,1,enabled,585,187.45,3.53,245.08,7,7,6,0,5,0,0.0
lb3_bets20_roi0p0_edge0_enabled,3,20,0.0,0,enabled,585,187.45,3.53,245.08,7,7,6,0,5,0,0.0
lb3_bets20_roi0p0_edge1_enabled,3,20,0.0,1,enabled,585,187.45,3.53,245.08,7,7,6,0,5,0,0.0
lb3_bets20_roi0p02_edge0_enabled,3,20,0.02,0,enabled,585,187.45,3.53,245.08,7,7,6,0,5,0,0.0
lb3_bets20_roi0p02_edge1_enabled,3,20,0.02,1,enabled,585,187.45,3.53,245.08,7,7,6,0,5,0,0.0
lb9_bets20_roineg0p02_edge1_enabled,9,20,-0.02,1,enabled,447,114.77,2.88,245.08,4,6,6,0,5,0,0.0
lb9_bets20_roi0p0_edge1_enabled,9,20,0.0,1,enabled,447,114.77,2.88,245.08,4,6,6,0,5,0,0.0
lb9_bets20_roi0p02_edge1_enabled,9,20,0.02,1,enabled,447,114.77,2.88,245.08,4,6,6,0,5,0,0.0
lb9_bets40_roineg0p02_edge1_enabled,9,40,-0.02,1,enabled,447,114.77,2.88,245.08,4,6,6,0,5,0,0.0
lb9_bets40_roi0p0_edge1_enabled,9,40,0.0,1,enabled,447,114.77,2.88,245.08,4,6,6,0,5,0,0.0
lb9_bets40_roi0p02_edge1_enabled,9,40,0.02,1,enabled,447,114.77,2.88,245.08,4,6,6,0,5,0,0.0
lb9_bets60_roineg0p02_edge1_enabled,9,60,-0.02,1,enabled,465,107.57,2.59,245.08,4,8,6,0,5,0,0.0
lb9_bets60_roi0p0_edge1_enabled,9,60,0.0,1,enabled,465,107.57,2.59,245.08,4,8,6,0,5,0,0.0
lb9_bets60_roi0p02_edge1_enabled,9,60,0.02,1,enabled,465,107.57,2.59,245.08,4,8,6,0,5,0,0.0
lb9_bets20_roi0p02_edge0_enabled,9,20,0.02,0,enabled,509,100.75,2.21,245.08,5,8,6,0,5,0,0.0
lb9_bets40_roi0p02_edge0_enabled,9,40,0.02,0,enabled,509,100.75,2.21,245.08,5,8,6,0,5,0,0.0
lb9_bets60_roi0p02_edge0_enabled,9,60,0.02,0,enabled,521,99.65,2.13,245.08,5,9,6,0,5,0,0.0
