month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity
2021-10,2021-01-01..2021-09-30,ABSTAIN_INNER_VALIDATION,3699,0,0,0.0,0.0,0.0,3100.0
2021-11,2021-02-01..2021-10-31,ABSTAIN_INNER_VALIDATION,5889,0,0,0.0,0.0,0.0,3000.0
2021-12,2021-03-01..2021-11-30,ABSTAIN_INNER_VALIDATION,7579,0,0,0.0,0.0,0.0,3100.0
2022-01,2021-04-01..2021-12-31,ABSTAIN_INNER_VALIDATION,9382,0,0,0.0,0.0,0.0,3100.0
2022-02,2021-05-01..2022-01-31,ABSTAIN_INNER_VALIDATION,11073,0,0,0.0,0.0,0.0,2800.0
2022-03,2021-06-01..2022-02-28,ABSTAIN_INNER_VALIDATION,13363,0,0,0.0,0.0,0.0,3100.0
2022-04,2021-07-01..2022-03-31,ABSTAIN_INNER_VALIDATION,15171,0,0,0.0,0.0,0.0,3000.0
2022-05,2021-08-01..2022-04-30,ABSTAIN_INNER_VALIDATION,17446,0,0,0.0,0.0,0.0,3100.0
2022-08,2021-11-01..2022-07-31,ABSTAIN_INNER_VALIDATION,13123,0,0,0.0,0.0,0.0,3100.0
2022-09,2021-12-01..2022-08-31,ABSTAIN_INNER_VALIDATION,13396,0,0,0.0,0.0,0.0,3000.0
2022-10,2022-01-01..2022-09-30,ABSTAIN_INNER_VALIDATION,13138,0,0,0.0,0.0,0.0,3100.0
2022-11,2022-02-01..2022-10-31,ABSTAIN_INNER_VALIDATION,14083,0,0,0.0,0.0,0.0,3000.0
2022-12,2022-03-01..2022-11-30,ABSTAIN_INNER_VALIDATION,13049,0,0,0.0,0.0,0.0,3100.0
2023-01,2022-04-01..2022-12-31,ABSTAIN_INNER_VALIDATION,12266,0,0,0.0,0.0,0.0,3100.0
2023-02,2022-05-01..2023-01-31,ABSTAIN_INNER_VALIDATION,11729,0,0,0.0,0.0,0.0,2800.0
2023-03,2022-06-01..2023-02-28,ABSTAIN_INNER_VALIDATION,12653,0,0,0.0,0.0,0.0,3100.0
2023-04,2022-07-01..2023-03-31,ABSTAIN_INNER_VALIDATION,14311,0,0,0.0,0.0,0.0,3000.0
2023-05,2022-08-01..2023-04-30,ABSTAIN_INNER_VALIDATION,16549,0,0,0.0,0.0,0.0,3100.0
2023-08,2022-11-01..2023-07-31,ABSTAIN_INNER_VALIDATION,12137,0,0,0.0,0.0,0.0,3100.0
2023-09,2022-12-01..2023-08-31,ABSTAIN_INNER_VALIDATION,12340,0,0,0.0,0.0,0.0,3000.0
2023-10,2023-01-01..2023-09-30,ABSTAIN_INNER_VALIDATION,13317,0,0,0.0,0.0,0.0,3100.0
2023-11,2023-02-01..2023-10-31,ABSTAIN_INNER_VALIDATION,13317,0,0,0.0,0.0,0.0,3000.0
2023-12,2023-03-01..2023-11-30,ABSTAIN_INNER_VALIDATION,12771,0,0,0.0,0.0,0.0,3100.0
2024-01,2023-04-01..2023-12-31,ABSTAIN_INNER_VALIDATION,13284,0,0,0.0,0.0,0.0,3100.0
2024-02,2023-05-01..2024-01-31,ABSTAIN_INNER_VALIDATION,12366,0,0,0.0,0.0,0.0,2900.0
2024-03,2023-06-01..2024-02-29,ABSTAIN_INNER_VALIDATION,12829,0,0,0.0,0.0,0.0,3100.0
2024-04,2023-07-01..2024-03-31,ABSTAIN_INNER_VALIDATION,14370,0,0,0.0,0.0,0.0,3000.0
2024-05,2023-08-01..2024-04-30,ABSTAIN_INNER_VALIDATION,16391,0,0,0.0,0.0,0.0,3100.0
2024-08,2023-11-01..2024-07-31,ABSTAIN_INNER_VALIDATION,12248,0,0,0.0,0.0,0.0,3100.0
2024-09,2023-12-01..2024-08-31,ABSTAIN_INNER_VALIDATION,12210,0,0,0.0,0.0,0.0,3000.0
2024-10,2024-01-01..2024-09-30,ABSTAIN_INNER_VALIDATION,11737,0,0,0.0,0.0,0.0,3100.0
2024-11,2024-02-01..2024-10-31,ABSTAIN_INNER_VALIDATION,11975,0,0,0.0,0.0,0.0,3000.0
2024-12,2024-03-01..2024-11-30,ABSTAIN_INNER_VALIDATION,11677,0,0,0.0,0.0,0.0,3100.0
