month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity,test_candidates,alpha,safety_margin,validation_rmse_pct,average_closing_edge_pct,positive_clv_rate,outcome_counts
2024-08,2024-02-01..2024-07-31,ABSTAIN_INNER_VALIDATION,6,0,0,0.0,0.0,0.0,3100.0,,,,,,,
2024-09,2024-03-01..2024-08-31,ABSTAIN_INNER_VALIDATION,405,0,0,0.0,0.0,0.0,3000.0,,,,,,,
2024-10,2024-04-01..2024-09-30,ABSTAIN_INNER_VALIDATION,888,0,0,0.0,0.0,0.0,3100.0,,,,,,,
2024-11,2024-05-01..2024-10-31,FROZEN_MODEL_EVALUATED,1369,3,2,0.39,0.17,43.59,3000.0,463.0,100.0,0.25,8.4529,7.8897,1.0,"{'draw': 2, 'away': 1}"
2025-01,2024-07-01..2024-12-31,FROZEN_MODEL_EVALUATED,2372,7,6,0.91,-0.4,-43.96,3100.0,499.0,100.0,0.25,8.489,12.9771,0.8571,"{'draw': 4, 'away': 3}"
2025-02,2024-08-01..2025-01-31,FROZEN_MODEL_EVALUATED,2865,9,7,1.33,2.2,165.41,2800.0,519.0,100.0,0.25,8.3328,5.6642,0.8889,"{'away': 3, 'draw': 4, 'home': 2}"
2025-03,2024-09-01..2025-02-28,FROZEN_MODEL_EVALUATED,2985,22,10,2.96,-2.06,-69.59,3100.0,499.0,100.0,0.0,7.9189,6.7331,0.8182,"{'away': 9, 'draw': 13}"
2025-04,2024-10-01..2025-03-31,FROZEN_MODEL_EVALUATED,3001,2,2,0.32,-0.32,-100.0,3000.0,524.0,100.0,0.25,7.7048,6.381,0.5,{'draw': 2}
2025-05,2024-11-01..2025-04-30,FROZEN_MODEL_EVALUATED,3044,4,2,1.28,0.23,17.97,3100.0,353.0,10.0,0.5,7.8103,32.9774,1.0,"{'away': 2, 'home': 1, 'draw': 1}"
2025-08,2025-02-01..2025-07-31,ABSTAIN_INNER_VALIDATION,1907,0,0,0.0,0.0,0.0,3100.0,,,,,,,
2025-09,2025-03-01..2025-08-31,FROZEN_MODEL_EVALUATED,1877,6,4,0.88,1.68,190.91,3000.0,477.0,10.0,0.25,9.4122,12.4433,1.0,"{'away': 4, 'home': 1, 'draw': 1}"
2025-10,2025-04-01..2025-09-30,FROZEN_MODEL_EVALUATED,1855,11,9,1.89,-0.21,-11.11,3100.0,482.0,100.0,0.25,9.0222,5.8492,0.7273,"{'away': 9, 'home': 2}"
2025-11,2025-05-01..2025-10-31,FROZEN_MODEL_EVALUATED,1813,46,11,7.83,-1.28,-16.35,3000.0,525.0,100.0,0.0,8.1915,6.1944,0.6957,"{'draw': 3, 'home': 10, 'away': 33}"
2026-01,2025-07-01..2025-12-31,FROZEN_MODEL_EVALUATED,2458,13,10,1.97,-1.01,-51.27,3100.0,541.0,10.0,0.25,8.1311,10.9645,0.8462,"{'draw': 2, 'away': 10, 'home': 1}"
2026-02,2025-08-01..2026-01-31,FROZEN_MODEL_EVALUATED,2994,25,12,3.43,0.69,20.12,2800.0,527.0,10.0,0.0,8.1867,4.6278,0.6,"{'away': 17, 'draw': 5, 'home': 3}"
2026-03,2025-09-01..2026-02-28,FROZEN_MODEL_EVALUATED,3032,10,6,1.3,0.3,23.08,3100.0,471.0,100.0,0.25,8.0328,5.575,0.7,"{'home': 2, 'away': 7, 'draw': 1}"
