rule,odds_source,walk_forward_bets,walk_forward_profit,walk_forward_roi_pct,portfolio_bets,portfolio_staked,portfolio_profit,portfolio_roi_pct,portfolio_max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,passes_screen,fail_reasons
"league|odds_bucket|market_prob_bucket=B1|[1.0,1.8)|[0.55,1.00]",AVG_OPEN,9,-0.13,-1.44,9,90.0,-1.3,-1.44,16.3,0,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|market_prob_bucket=B1|home|[0.55,1.00]",MAX_CLOSE,37,-0.92,-2.49,37,370.0,-9.2,-2.49,35.9,3,2,1,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|odds_bucket=B1|home|[1.0,1.8)",MAX_CLOSE,50,-1.81,-3.62,50,500.0,-18.1,-3.62,35.9,3,4,1,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket=B1|[0.55,1.00]",B365_OPEN,17,-0.63,-3.71,17,170.0,-6.3,-3.71,16.8,0,2,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket|favorite_relation=B1|[0.55,1.00]|market_favorite",B365_OPEN,17,-0.63,-3.71,17,170.0,-6.3,-3.71,16.8,0,2,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|odds_bucket|market_prob_bucket=B1|[1.0,1.8)|[0.55,1.00]",B365_OPEN,17,-0.63,-3.71,17,170.0,-6.3,-3.71,16.8,0,2,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket=B1|[0.55,1.00]",MAX_CLOSE,30,-2.75,-9.17,30,300.0,-27.5,-9.17,34.1,1,3,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket|favorite_relation=B1|[0.55,1.00]|market_favorite",MAX_CLOSE,30,-2.75,-9.17,30,300.0,-27.5,-9.17,34.1,1,3,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|odds_bucket|market_prob_bucket=B1|[1.0,1.8)|[0.55,1.00]",MAX_CLOSE,30,-2.75,-9.17,30,300.0,-27.5,-9.17,34.1,1,3,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket=B1|[0.55,1.00]",MAX_OPEN,20,-2.06,-10.3,20,200.0,-20.6,-10.3,36.6,2,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket|favorite_relation=B1|[0.55,1.00]|market_favorite",MAX_OPEN,20,-2.06,-10.3,20,200.0,-20.6,-10.3,36.6,2,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|odds_bucket|market_prob_bucket=B1|[1.0,1.8)|[0.55,1.00]",MAX_OPEN,20,-2.06,-10.3,20,200.0,-20.6,-10.3,36.6,2,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|market_prob_bucket=B1|home|[0.55,1.00]",AVG_CLOSE,13,-1.41,-10.85,13,130.0,-14.1,-10.85,20.9,1,1,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
