month,bets,staked,profit,roi_pct
2017-04,4,40.0,39.7,99.25
2017-05,3,30.0,52.7,175.67
2017-06,6,60.0,-6.0,-10.0
2017-07,8,80.0,-5.9,-7.38
2017-08,6,60.0,-6.8,-11.33
2017-09,6,60.0,23.2,38.67
2017-10,7,70.0,-9.6,-13.71
2017-11,1,10.0,-10.0,-100.0
2018-03,3,30.0,-2.2,-7.33
2020-12,1,10.0,17.5,175.0
2021-04,4,40.0,72.8,182.0
2021-05,11,110.0,-42.0,-38.18
2021-06,5,50.0,8.9,17.8
2022-07,4,40.0,-10.0,-25.0
2023-03,1,10.0,19.9,199.0
2023-04,3,30.0,36.9,123.0
2023-06,3,30.0,1.5,5.0
2023-07,3,30.0,21.0,70.0
2023-08,3,30.0,5.7,19.0
2023-09,3,30.0,-30.0,-100.0
2023-10,7,70.0,-25.1,-35.86
2024-04,3,30.0,5.7,19.0
2024-05,8,80.0,36.1,45.12
2025-05,9,90.0,-17.0,-18.89
2025-06,2,20.0,14.2,71.0
