test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,direct_predicted_clv_pct,direct_lower_clv_pct,direct_staking_probability,direct_unshrunk_market_staking_probability,direct_market_staking_probability,direct_market_calibration_weight,direct_market_logistic_staking_probability,direct_validated_market_residual_staking_probability,outcome_probability_weight,staking_probability_profile,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,movement_staking_probability,movement_market_staking_probability,movement_market_logistic_staking_probability,movement_validated_market_residual_staking_probability,movement_unshrunk_market_staking_probability,movement_market_calibration_weight,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,staking_probability,minimum_lower_clv_staking_probability,stake_multiplier,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2021-11,data\historical_csv\football-data\2122\B1.csv:119,data\historical_csv\football-data\2122\B1.csv,119,2021-11-05,B1,Oud-Heverlee Leuven,Oostende,home,0.4970961823934177,0.4903947771720581,2.225,2.25,9.112837920782924,0.0047014052213596,5,0.0,WH,2.0-3.0,sportsbook,0.449438202247191,1.1060390058253544,0.0067014052213595,0.0094577375322483,0.7997569156182036,0.2471046145501099,0.3975561095965437,0.2,1.1235955056179805,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,10.289528567927986,8.337561567453331,0.4869103890672059,0.5235544374972976,0.4940954817856741,0.1960780270273827,,,0.0,lower_clv,True,12.682660738793915,11.523063840998304,0.5012272532179699,0.5056928412229139,,,0.5235544374972976,0.2000067697330992,11.48609465336095,2.393132170865929,8.337561567453331,0.4940954817856741,0.4869103890672059,1.0,6.08,model_agreement_0.75_kelly,home,20.630505225180308,True,0.5421595740457542,1.844475405161078,True,7.45
2021-11,data\historical_csv\football-data\2122\SP2.csv:163,data\historical_csv\football-data\2122\SP2.csv,163,2021-11-07,SP2,Almeria,Burgos,home,0.6294575586352333,0.616145259982506,1.7153999999999998,1.73,5.693557897399071,0.0113122986527272,5,0.0,WH,1.5-2.0,sportsbook,0.5829544129649062,1.0797714960828793,0.0133122986527273,0.0179715033961212,0.5396462895741839,0.3962168181230282,0.339684435961928,0.2,0.8511134429287637,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,7.929269118244655,5.977302117770001,0.6177993594366913,0.6734315510258351,0.6287076098026999,0.1960780270273827,,,0.0,lower_clv,True,9.571158285750258,8.677148165085736,0.6335382311127769,0.6415171651625167,,,0.6734315510258351,0.2000067697330992,8.750213701997456,1.641889167505603,5.977302117770001,0.6287076098026999,0.6177993594366913,1.0,8.23,model_agreement_0.75_kelly,home,15.50384484233538,True,0.6733347606525323,1.4851453666685717,True,5.89
2021-11,data\historical_csv\football-data\2122\SP2.csv:189,data\historical_csv\football-data\2122\SP2.csv,189,2021-11-26,SP2,Alcorcon,Lugo,home,0.4253901364163305,0.4139378549031113,2.47,2.5,2.2426501610684824,0.0094522815132192,5,0.0,WH,2.0-3.0,sportsbook,0.4048582995951417,1.0507136369483363,0.0114522815132192,0.0222202648910699,0.9042181506398858,0.1809567681603043,0.3846454824508231,0.2,1.2145748987854257,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,6.186410254889156,4.234443254414502,0.4220017945522855,0.4398592367842644,0.4255032465928874,0.1960780270273827,,,0.0,lower_clv,True,7.036297878354891,5.749015030015481,0.4281336640891315,0.4304788580071557,,,0.4398592367842644,0.2000067697330992,6.611354066622024,0.8498876234657349,4.234443254414502,0.4255032465928874,0.4220017945522855,1.0,2.6,model_agreement_0.75_kelly,draw,0.4685282243982014,True,0.4067551749975636,2.458481321119,False,-2.6
2022-01,data\historical_csv\football-data\2122\SP2.csv:239,data\historical_csv\football-data\2122\SP2.csv,239,2022-01-02,SP2,Mirandes,Zaragoza,away,0.4296060844392185,0.4144572229411089,2.568,2.6,6.432614851276775,0.0131488614981095,5,0.0,B365,2.0-3.0,sportsbook,0.3894080996884735,1.1032284248399131,0.0151488614981095,0.0306067860171796,0.9431273858277148,0.1845613877871969,0.4051732633528406,0.2,1.2461059190031154,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,3.7889921633668218,3.7889921633668218,0.4041627420691854,0.4132638881822199,0.4041627420691854,0.0,,,0.0,lower_clv,True,5.765714610987294,5.765714610987294,0.4118602593885798,0.4118602593885798,,,0.4132638881822199,0.0,4.777353387177058,1.976722447620472,3.7889921633668218,0.4041627420691854,0.4041627420691854,1.0,1.81,model_agreement_0.75_kelly,home,1.890369612557774,True,0.3967693520738231,2.520355956863169,False,-1.81
2022-01,data\historical_csv\football-data\2122\SP2.csv:245,data\historical_csv\football-data\2122\SP2.csv,245,2022-01-08,SP2,Ibiza,Alcorcon,draw,0.2835878530442809,0.2747715925552088,3.744,3.8,2.874484252670162,0.0068162604890721,5,0.0,B365,3.0-4.0,sportsbook,0.2670940170940171,1.061752921797788,0.0088162604890721,0.0240357984867845,1.3201545586153456,0.0804220703942647,0.3743797969643462,0.2,1.4957264957264904,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,2.866501199874552,2.866501199874552,0.2747502702988102,0.2662984227918165,0.2747502702988102,0.0,,,0.0,lower_clv,True,3.587144487894922,3.587144487894922,0.2766750654057022,0.2766750654057022,,,0.2662984227918165,0.0,3.226822843884737,0.7206432880203701,2.866501199874552,0.2747502702988102,0.2747502702988102,1.0,0.78,model_agreement_0.75_kelly,home,10.224272398691369,True,0.2944024369623167,3.396711013394224,False,-0.78
2022-01,data\historical_csv\football-data\2122\P1.csv:154,data\historical_csv\football-data\2122\P1.csv,154,2022-01-13,P1,Famalicao,Belenenses,home,0.5626507100116103,0.545669470012285,1.882,1.9,2.6949942563120333,0.0149812399993252,5,0.0,B365,1.5-2.0,sportsbook,0.5313496280552604,1.0589086362418505,0.0169812399993252,0.0266261816305467,0.6323350411631878,0.3165758214765691,0.3557837598756884,0.2,0.9564293304994642,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,3.597939163785763,3.597939163785763,0.5504672644196906,0.5501581697683156,0.5504672644196906,0.0,,,0.0,lower_clv,True,5.135910227050644,5.135910227050644,0.558639267943946,0.558639267943946,,,0.5501581697683156,0.0,4.366924695418204,1.537971063264881,3.597939163785763,0.5504672644196906,0.5504672644196906,1.0,3.06,model_agreement_0.75_kelly,home,18.53231315825139,True,0.6298210050916653,1.5877526978549377,True,2.7
2022-01,data\historical_csv\football-data\2122\N1.csv:164,data\historical_csv\football-data\2122\N1.csv,164,2022-01-14,N1,Zwolle,Willem II,home,0.3123726560091148,0.3085295519898937,3.45,3.5,6.442695436513324,0.001843104019221,5,0.0,BW,3.0-4.0,sportsbook,0.2898550724637681,1.077685663231446,0.0038431040192211,0.0059003372534864,1.2383742310432684,0.0975766762221887,0.3868342476842309,0.2,1.4492753623188248,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,6.356956639909291,6.356956639909291,0.3082810337388675,0.2949255707955616,0.3082810337388675,0.0,,,0.0,lower_clv,True,7.011467514879333,7.011467514879333,0.3101781667097951,0.3101781667097951,,,0.2949255707955616,0.0,6.684212077394312,0.6545108749700415,6.356956639909291,0.3082810337388675,0.3082810337388675,1.0,1.95,model_agreement_0.75_kelly,home,35.082187773320705,True,0.391542573256002,2.554000684227436,True,4.78
2022-01,data\historical_csv\football-data\2122\F1.csv:205,data\historical_csv\football-data\2122\F1.csv,205,2022-01-16,F1,Troyes,Lyon,away,0.5746722238604532,0.5628220181541508,1.784,1.8,0.4074480387004975,0.0098502057063024,5,0.0,BW,1.5-2.0,sportsbook,0.5605381165919282,1.0252152473670486,0.0118502057063024,0.0171405634330681,0.5788580341578177,0.3302481648767189,0.3326536337889633,0.2,0.8968609865470878,away:1.5-2.0,away:sportsbook,sportsbook:1.5-2.0,3.484117466250616,3.484117466250616,0.5800679230170999,0.5626257011262819,0.5800679230170999,0.0,,,0.0,lower_clv,True,3.0406999854383665,3.0406999854383665,0.5775823990215155,0.5775823990215155,,,0.5626257011262819,0.0,3.262408725844491,0.4434174808122493,3.0406999854383665,0.5775823990215155,0.5775823990215155,1.0,2.91,model_agreement_0.75_kelly,away,-3.816208819824951,False,0.5391468115480664,1.8547823683287183,True,2.28
2022-01,data\historical_csv\football-data\2122\SC0.csv:128,data\historical_csv\football-data\2122\SC0.csv,128,2022-01-25,SC0,St Mirren,Aberdeen,home,0.2920934043424826,0.2894484831197964,3.548,3.6,2.696321810903779,0.0006449212226861,5,0.0,BW,3.0-4.0,sportsbook,0.2818489289740699,1.0363473986071283,0.0026449212226861,0.0022079280569102,1.266384064447333,0.085318556860381,0.3699024325894913,0.2,1.4656144306651742,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,3.4922949499935507,3.4922949499935507,0.2916919248872422,0.2747375005367178,0.2916919248872422,0.0,,,0.0,lower_clv,True,3.8446539616443287,3.8446539616443287,0.2926850449877236,0.2926850449877236,,,0.2747375005367178,0.0,3.6684744558189397,0.352359011650778,3.4922949499935507,0.2916919248872422,0.2916919248872422,1.0,1.03,model_agreement_0.75_kelly,home,4.06027472933328,True,0.2932927698121005,3.409562399511774,True,2.62
2022-02,data\historical_csv\football-data\2122\T1.csv:234,data\historical_csv\football-data\2122\T1.csv,234,2022-02-05,T1,Trabzonspor,Kasimpasa,draw,0.2656433253386424,0.259801151610176,3.9498,4.01,2.6162588629873307,0.0038421737284663,5,0.0,PS,3.0-4.0,sportsbook,0.2531773760696744,1.04923800642257,0.0058421737284664,0.0144636561960229,1.3736649447197489,0.0705663762969718,0.3649049238164765,0.2,1.5241278039394457,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,3.3633647101149924,3.3633647101149924,0.261692654590397,0.2520451481377589,0.2547645859289414,0.7181201376197172,,,0.0,lower_clv,True,3.9128667484877866,3.9128667484877866,0.2630838694325986,0.2555687958107678,,,0.2520451481377589,0.6807920429464855,3.6381157293013895,0.5495020383727942,3.3633647101149924,0.2547645859289414,0.261692654590397,1.0,0.16,model_agreement_0.75_kelly,home,0.5284899030463697,True,0.2545153929390004,3.9290354443892896,False,-0.16
