month,date,league,home_team,away_team,outcome,actual_result,probability,uncertainty,lower_ev,odds,stake,won,profit
2024-10,2024-10-04,SP1,Leganes,Valencia,draw,draw,0.363235,0.013539,0.007126,2.88,1.0,True,1.88
2024-10,2024-10-05,SP2,Mirandes,Granada,draw,away,0.376048,0.012908,0.053105,2.9,1.0,False,-1.0
2024-10,2024-10-05,SP1,Getafe,Osasuna,draw,draw,0.367421,0.013539,0.026258,2.9,1.0,True,1.9
2024-10,2024-10-05,F1,Rennes,Monaco,draw,away,0.306481,0.015206,0.019464,3.5,1.0,False,-1.0
2024-10,2024-10-05,SP2,Ferrol,Elche,draw,home,0.3609,0.012908,0.009177,2.9,1.0,False,-1.0
2024-10,2024-10-12,SP2,Cartagena,Ferrol,draw,away,0.361868,0.012908,0.005006,2.88,1.0,False,-1.0
2024-10,2024-10-13,SP2,Huesca,Albacete,draw,draw,0.368182,0.012908,0.030296,2.9,1.0,True,1.9
2024-10,2024-10-17,E2,Shrewsbury,Exeter,away,away,0.455833,0.011783,0.021317,2.3,1.0,True,1.3
2024-10,2024-10-19,I2,Sudtirol,Pisa,draw,away,0.464352,0.014151,0.18403,2.63,1.36,False,-1.36
2024-10,2024-10-19,SP2,Malaga,Oviedo,draw,draw,0.346837,0.012908,0.001789,3.0,1.0,True,2.0
2024-10,2024-10-20,I1,Venezia,Atalanta,away,away,0.63239,0.013685,0.002302,1.62,1.0,True,0.62
2024-10,2024-10-25,T1,Ad. Demirspor,Sivasspor,draw,away,0.34734,0.014178,0.132753,3.4,1.0,False,-1.0
2024-10,2024-10-29,I2,Modena,Cremonese,draw,draw,0.37608,0.014151,0.013401,2.8,1.0,True,1.8
2024-10,2024-10-30,I2,Cittadella,Sampdoria,draw,draw,0.349678,0.014151,0.006582,3.0,1.0,True,2.0
2024-11,2024-11-01,SP1,Alaves,Mallorca,draw,home,0.353459,0.013909,0.018649,3.0,1.0,False,-1.0
2024-11,2024-11-02,E0,Nott'm Forest,West Ham,draw,home,0.301516,0.014358,0.00505,3.5,1.0,False,-1.0
2024-11,2024-11-03,T1,Bodrumspor,Alanyaspor,draw,draw,0.380335,0.014428,0.024539,2.8,1.0,True,1.8
2024-11,2024-11-03,SP1,Sevilla,Sociedad,draw,away,0.348502,0.013909,0.003779,3.0,1.0,False,-1.0
2024-11,2024-11-06,E1,Millwall,Leeds,away,home,0.543855,0.012011,0.010503,1.9,1.0,False,-1.0
2024-11,2024-11-08,I1,Lecce,Empoli,draw,draw,0.357345,0.014076,0.029807,3.0,1.0,True,2.0
