test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,predicted_closing_edge_pct,lower_closing_edge_pct,predicted_closing_probability,stake,estimated_probability_from_lower_clv,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2021-12,data\historical_csv\football-data\2122\B1.csv:146,data\historical_csv\football-data\2122\B1.csv,146,2021-12-03,B1,St Truiden,St. Gilloise,home,0.2491322587215617,0.23960760899493816,4.43,4.5,6.1461707847575875,0.007524649726623528,5,0.0,WH,4.0-5.0,sportsbook,0.22573363431151244,1.1036559061365183,0.009524649726623535,0.030203433972126915,1.4883995840570443,0.06206688233570715,0.3708083502563644,0.2,1.5801354401805856,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,13.18371567876493,10.868710598297348,0.25549371485048517,0.32,0.25026796974784954,True,0.210824674735707,4.743277803006764,-6.604669092081794,False,away,False,-0.32
2021-12,data\historical_csv\football-data\2122\I2.csv:152,data\historical_csv\football-data\2122\I2.csv,152,2021-12-03,I2,Perugia,Vicenza,draw,0.3056384926809314,0.29601322776900135,3.254,3.3,-3.6772956839669635,0.007625264911930047,5,0.0,WH,3.0-4.0,sportsbook,0.3073140749846343,0.9945476551837508,0.009625264911930054,0.024948640614748663,1.179885008796846,0.09341488820827176,0.3606182756254955,0.2,1.41364474492931,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,3.9347281932734512,2.2342707368758097,0.3194060485349522,0.1,0.31418030343231657,True,0.2906657323190039,3.4403780315682555,-5.417370703396129,False,home,False,-0.1
2021-12,data\historical_csv\football-data\2122\SP2.csv:200,data\historical_csv\football-data\2122\SP2.csv,200,2021-12-03,SP2,Huesca,Valladolid,home,0.34551331283634235,0.33925184885376264,2.8423999999999996,2.88,-3.5710544818065237,0.004261463982579722,5,0.0,WH,2.0-3.0,sportsbook,0.3518153672952435,0.9820870404060194,0.006261463982579707,0.01233371862750258,1.0446487657246801,0.11937944934714417,0.3609400557959303,0.2,1.3228257810301347,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,3.435869362198307,1.9505035742251486,0.3639032837116462,0.11,0.3586775386090106,True,0.3386455346528686,2.952940162122788,-3.7433932302686324,False,home,True,0.2
2021-12,data\historical_csv\football-data\2122\D2.csv:139,data\historical_csv\football-data\2122\D2.csv,139,2021-12-04,D2,Hansa Rostock,Ingolstadt,home,0.6345145420320519,0.6093168669209921,1.8134000000000001,1.83,10.493520647452703,0.023197675111059853,5,0.0,B365,1.5-2.0,sportsbook,0.5514503143266791,1.150628670520923,0.02519767511105986,0.03655972176267009,0.5952035362298188,0.4026087040501446,0.3776652992067213,0.2,0.9154075217822744,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,11.701954687620407,10.754318070708457,0.6159807802339274,1.32,0.6107550351312918,True,0.6064923221779523,1.6488254895114527,9.98131770374988,True,draw,False,-1.32
2021-12,data\historical_csv\football-data\2122\B1.csv:148,data\historical_csv\football-data\2122\B1.csv,148,2021-12-04,B1,Kortrijk,Cercle Brugge,away,0.3589948694366981,0.3533606531910575,2.862,2.9,1.1318189432806713,0.003634216245640575,5,0.0,WH,2.0-3.0,sportsbook,0.3494060097833683,1.02744331632783,0.005634216245640589,0.010123309704517656,1.0515206811342592,0.12887731628187193,0.37749052963378127,0.2,1.3277428371767819,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,3.6074267770253687,2.111818528651055,0.36201057574082934,0.11,0.3567848306381938,True,0.38355788215624054,2.6071684262576427,9.77426587311605,True,away,True,0.2
2021-12,data\historical_csv\football-data\2122\B1.csv:153,data\historical_csv\football-data\2122\B1.csv,153,2021-12-05,B1,Standard,Charleroi,draw,0.2705801500737049,0.25399791538039773,4.038,4.1,2.564358230604613,0.014582234693307154,5,0.0,BW,4.0-5.0,sportsbook,0.24764735017335313,1.0926026459976204,0.016582234693307163,0.05389247766081516,1.3957495198906458,0.07321361761390867,0.37766211455731247,0.2,1.535413571074784,draw:4.0-5.0,draw:sportsbook,sportsbook:4.0-5.0,6.233281431676052,4.1231255592317995,0.26308390646774654,0.14,0.2578581613651109,True,0.27815894427708326,3.595066851432493,12.32058169908623,True,away,False,-0.14
2021-12,data\historical_csv\football-data\2122\I2.csv:162,data\historical_csv\football-data\2122\I2.csv,162,2021-12-10,I2,Cremonese,Crotone,home,0.5471061763299465,0.5330356378786342,1.9604,1.98,4.49630644972745,0.012070538451312295,5,0.0,BW,1.5-2.0,sportsbook,0.5100999795960008,1.0725469480772272,0.014070538451312342,0.022062515419370526,0.6731485340532554,0.2993251681783745,0.36828372056798536,0.2,0.9997959600081652,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,7.239613297265479,6.215158227344797,0.5470292455481814,0.65,0.5418035004455458,True,0.5471942588407068,1.8275045540839803,7.271962503132157,True,home,True,0.62
2021-12,data\historical_csv\football-data\2122\D2.csv:147,data\historical_csv\football-data\2122\D2.csv,147,2021-12-10,D2,Schalke 04,Nurnberg,away,0.30219022088253183,0.28789405526619943,3.842,3.9,10.608896033273819,0.012296165616332415,5,0.0,BW,3.0-4.0,sportsbook,0.2602811035918792,1.1610148286306874,0.014296165616332401,0.040690150662129505,1.345993064346365,0.09131892959703337,0.4067459414211839,0.2,1.5096304008328953,away:3.0-4.0,away:sportsbook,sportsbook:3.0-4.0,7.943904944814006,5.9361736763813955,0.280957587050531,0.21,0.27573184194789535,True,0.2724408326726931,3.6705217429774453,4.67176791284869,True,home,False,-0.21
2021-12,data\historical_csv\football-data\2122\B1.csv:158,data\historical_csv\football-data\2122\B1.csv,158,2021-12-11,B1,St Truiden,Cercle Brugge,away,0.37422919281401823,0.3680812060592269,2.862,2.9,5.3448411741507496,0.004147986754791359,5,0.0,WH,2.0-3.0,sportsbook,0.3494060097833683,1.0710439498337203,0.006147986754791335,0.011084081184582508,1.0515206811342592,0.14004748875423165,0.3935097357281205,0.2,1.3277428371767819,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,6.901741507057513,5.406133258683199,0.37352110938874045,0.29,0.3682953642861048,True,0.3747345547526432,2.668555614413742,7.2490295702065,True,away,True,0.54
2021-12,data\historical_csv\football-data\2122\SC0.csv:102,data\historical_csv\football-data\2122\SC0.csv,102,2021-12-11,SC0,St Johnstone,Aberdeen,home,0.30027624441006406,0.2940077717883871,3.352,3.4,-1.4485948965326512,0.004268472621676973,5,0.0,WH,3.0-4.0,sportsbook,0.2983293556085919,1.0065259712625347,0.006268472621676957,0.014215152550822,1.2095571826198366,0.09016582295701253,0.36320128819630254,0.2,1.4319809069212486,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,5.046255121697829,3.2945853632943667,0.31338381599551857,0.14,0.30815807089288294,True,0.25693870397409235,3.891978843719987,-13.874146427884249,False,away,False,-0.14
2021-12,data\historical_csv\football-data\2122\N1.csv:140,data\historical_csv\football-data\2122\N1.csv,140,2021-12-11,N1,Zwolle,For Sittard,home,0.5228425503533685,0.5068772830637751,1.98,2.0,0.36170204662746563,0.013965267289593318,5,0.0,BW,1.5-2.0,sportsbook,0.5050505050505051,1.0352282496996696,0.015965267289593355,0.026710273064337917,0.6830968447064438,0.2733643324600146,0.35715209642465595,0.2,1.0101010101010166,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,3.840675800904547,2.8059782705826875,0.524447857580326,0.29,0.5192221124776903,True,0.45512896497501243,2.1971794303509165,-9.884464934947534,False,away,False,-0.29
2021-12,data\historical_csv\football-data\2122\B1.csv:162,data\historical_csv\football-data\2122\B1.csv,162,2021-12-12,B1,Gent,Genk,home,0.5207001905742764,0.5087468653108813,2.029,2.05,3.224738971577823,0.009953325263395072,5,0.0,WH,2.0-3.0,sportsbook,0.49285362247412523,1.0565006866752067,0.011953325263395098,0.019115271020772286,0.7075430608436777,0.2711286884640878,0.3684178066208098,0.2,1.0349926071956617,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,7.015756625260927,5.955452943936179,0.5274310331456922,0.58,0.5222052880430565,True,0.5960204915290852,1.6777946634594878,20.93255773125138,True,home,True,0.6
