date,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_prob_bucket,favorite_relation,stake,won,profit,rule_label,month,candidate_id,odds_source,rule_key,combo_rules,validation_start,validation_end,train_start,train_end
2022-04-03,NOR,Jerv,Stromsgodset,home,home,3.26,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,True,2.26,"league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-04,rolling-low-correlation-selector,AVG_CLOSE,"AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)","AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-01,2022-12,2018-01,2021-12
2022-04-18,NOR,Jerv,Kristiansund,home,home,2.82,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,True,1.82,"league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-04,rolling-low-correlation-selector,AVG_CLOSE,"AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)","AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-01,2022-12,2018-01,2021-12
2022-05-08,NOR,Stromsgodset,Rosenborg,home,home,2.82,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,True,1.82,"league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-05,rolling-low-correlation-selector,AVG_CLOSE,"AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)","AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-01,2022-12,2018-01,2021-12
2022-05-08,NOR,Jerv,Tromso,home,draw,3.31,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,False,-1.0,"league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-05,rolling-low-correlation-selector,AVG_CLOSE,"AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)","AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-01,2022-12,2018-01,2021-12
2022-05-16,NOR,Aalesund,Molde,home,away,2.96,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,False,-1.0,"league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-05,rolling-low-correlation-selector,AVG_CLOSE,"AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)","AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-01,2022-12,2018-01,2021-12
2022-05-22,NOR,Ham-Kam,Rosenborg,home,draw,2.89,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,False,-1.0,"league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-05,rolling-low-correlation-selector,AVG_CLOSE,"AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)","AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-01,2022-12,2018-01,2021-12
2022-05-26,NOR,Sarpsborg 08,Molde,home,away,2.78,"[2.2,2.8)","[0.28,0.34)",market_non_favorite,1.0,False,-1.0,"league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-05,rolling-low-correlation-selector,AVG_CLOSE,"AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)","AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-01,2022-12,2018-01,2021-12
2022-05-28,NOR,Stromsgodset,Viking,home,home,3.04,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,True,2.04,"league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-05,rolling-low-correlation-selector,AVG_CLOSE,"AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)","AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-01,2022-12,2018-01,2021-12
2022-06-19,NOR,Odd,Molde,home,away,3.19,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,False,-1.0,"league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-06,rolling-low-correlation-selector,AVG_CLOSE,"AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)","AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-01,2022-12,2018-01,2021-12
2022-06-25,NOR,Haugesund,Viking,home,home,3.32,"[2.8,3.5)","[0.28,0.34)",market_non_favorite,1.0,True,2.32,"league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-06,rolling-low-correlation-selector,AVG_CLOSE,"AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)","AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",2022-01,2022-12,2018-01,2021-12
