validation_start,validation_end,rule_key,odds_source,rule_label,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
2022-01,2022-12,"AVG_CLOSE::league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",AVG_CLOSE,"league|outcome|market_prob_bucket=NOR|home|[0.28,0.34)",123,15.56,12.65,32,21,11,2021-12,0.87,32.7769
2023-01,2023-12,"AVG_CLOSE::league|outcome|odds_bucket=NOR|draw|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=NOR|draw|[2.8,3.5)",298,16.32,5.48,33,17,16,2022-11,0.47,7.5313
2025-01,2025-12,"AVG_CLOSE::league|outcome|odds_bucket=NOR|away|[2.2,2.8)",AVG_CLOSE,"league|outcome|odds_bucket=NOR|away|[2.2,2.8)",148,6.57,4.44,32,19,13,2024-12,1.24,16.4836
