test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,direct_predicted_clv_pct,direct_lower_clv_pct,direct_staking_probability,direct_market_staking_probability,staking_probability_profile,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,movement_staking_probability,movement_market_staking_probability,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,staking_probability,minimum_lower_clv_staking_probability,stake_multiplier,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2022-02,data\historical_csv\football-data\2122\B1.csv:236,data\historical_csv\football-data\2122\B1.csv,236,2022-02-12,B1,Mechelen,Oostende,home,0.5235819655100769,0.5080483258930739,1.931,1.95,-1.8958682700474287,0.0135336396170029,5,0.0,WH,1.5-2.0,sportsbook,0.5178663904712584,1.0110367753999585,0.0155336396170029,0.0258481775700933,0.6580380034463774,0.2741380746073953,0.344536831224781,0.2,0.9839461418953864,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,1.3419003267281877,1.3419003267281877,0.5248156412570076,0.5253223428167229,lower_clv,True,1.442469142721503,1.442469142721503,0.525336453354332,0.5253223428167229,1.3921847347248453,0.1005688159933153,1.3419003267281877,0.5253223428167229,0.5248156412570076,0.5,0.58,model_agreement_0.75_kelly,home,0.5142363785761939,True,0.5205294478434811,1.921120897468786,True,0.54
2022-02,data\historical_csv\football-data\2122\E0.csv:250,data\historical_csv\football-data\2122\E0.csv,250,2022-02-25,E0,Southampton,Norwich,home,0.6211318326460751,0.6161250322819855,1.6174,1.63,-0.3479372787116741,0.0030068003640896,5,0.0,IW,1.5-2.0,sportsbook,0.6182762458266353,1.0046186261217618,0.0050068003640896,0.004840840874763,0.4808199216795847,0.3858047535262718,0.2986525591255827,0.2,0.7790280697415497,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,1.7689650405927282,1.7689650405927282,0.6292133364695977,0.6283818173551109,lower_clv,True,1.6044511064859712,1.6044511064859712,0.6281961858939408,0.6283818173551109,1.6867080735393496,0.1645139341067569,1.6044511064859712,0.6283818173551109,0.6281961858939408,0.5,0.99,model_agreement_0.75_kelly,home,3.2086268157363262,True,0.6381144232455567,1.5671170617235586,True,0.61
2022-03,data\historical_csv\football-data\2122\SP2.csv:333,data\historical_csv\football-data\2122\SP2.csv,333,2022-03-12,SP2,Ibiza,Leganes,home,0.439010889282371,0.4235636528070371,2.372,2.4,0.4692984458291915,0.0134472364753338,5,0.0,WH,2.0-3.0,sportsbook,0.4215851602023609,1.0413338293777838,0.0154472364753338,0.0306307583789444,0.863733481135479,0.1927305609084982,0.3791884036562446,0.2,1.180438448566612,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,3.874738043099757,1.7838292751756288,0.4291055197098466,0.4380407695740082,lower_clv,True,3.318084094457663,2.0077688177513986,0.4300496155891711,0.4380407695740082,3.5964110687787096,0.556653948642094,1.7838292751756288,0.4380407695740082,0.4291055197098466,0.5,1.07,model_agreement_0.75_kelly,draw,-2.1893330698674607,False,0.4123552568723969,2.425093371149745,False,-1.07
2022-10,data\historical_csv\football-data\2223\I2.csv:72,data\historical_csv\football-data\2223\I2.csv,72,2022-10-07,I2,Genoa,Cagliari,home,0.5392195506503745,0.5291989829196576,1.8918,1.91,0.1138635887408145,0.0080205677307168,5,0.0,WH,1.5-2.0,sportsbook,0.528597103287874,1.0200955459203784,0.0100205677307169,0.0148744008280912,0.637528756796933,0.2907577238035918,0.3437679697667341,0.2,0.9620467279839228,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,2.093702799649945,2.093702799649945,0.5396643556382807,0.5720657028969047,lower_clv,True,1.6990541334356069,1.6990541334356069,0.5375782542205075,0.5720657028969047,1.896378466542776,0.394648666214338,1.6990541334356069,0.5720657028969047,0.5375782542205075,0.5,3.46,model_agreement_0.75_kelly,draw,4.215892161043455,True,0.5508821871288903,1.8152701673144305,False,-3.46
2022-11,data\historical_csv\football-data\2223\G1.csv:77,data\historical_csv\football-data\2223\G1.csv,77,2022-11-06,G1,Panathinaikos,Olympiakos,home,0.4259662630646156,0.4170147100713783,2.4210000000000003,2.45,0.9592613082807012,0.0069515529932373,5,0.0,IW,2.0-3.0,sportsbook,0.413052457662123,1.0312643228794347,0.0089515529932373,0.0163194919316482,0.8841806779559216,0.1814472572692333,0.3766311392628223,0.2,1.1978521272201448,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,1.8271273843386704,1.8271273843386704,0.4205994522277516,0.4432187747338857,lower_clv,True,2.352705622924911,2.352705622924911,0.4227703660591693,0.4432187747338857,2.0899165036317906,0.5255782385862406,1.8271273843386704,0.4432187747338857,0.4205994522277516,0.5,1.93,model_agreement_0.75_kelly,draw,3.266293038382217,True,0.4265439613316076,2.3444242344403303,False,-1.93
2023-02,data\historical_csv\football-data\2223\E3.csv:373,data\historical_csv\football-data\2223\E3.csv,373,2023-02-21,E3,Grimsby,Harrogate,home,0.5385975187269482,0.5244919841641833,1.931,1.95,1.2794021421038029,0.0121055345627648,5,0.0,IW,1.5-2.0,sportsbook,0.5178663904712584,1.0400318086617368,0.0141055345627648,0.0224760310656053,0.6580380034463774,0.2900872871788252,0.3544176358842538,0.2,0.9839461418953864,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,1.1005521902374875,1.1005521902374875,0.5235657803740936,0.5678663171525608,lower_clv,True,1.5914322562607277,1.5914322562607277,0.5261078832535512,0.5678663171525608,1.3459922232491075,0.4908800660232402,1.1005521902374875,0.5678663171525608,0.5235657803740936,0.5,3.89,model_agreement_0.75_kelly,draw,2.436911214306847,True,0.5304863346157785,1.8850626957700645,False,-3.89
2023-04,data\historical_csv\football-data\2223\N1.csv:263,data\historical_csv\football-data\2223\N1.csv,263,2023-04-21,N1,Volendam,Cambuur,home,0.5574158469416841,0.5513886469346645,1.882,1.9,3.771343353103851,0.0040272000070196,5,0.0,IW,1.5-2.0,sportsbook,0.5313496280552604,1.0490566239442494,0.0060272000070196,0.0072247677010176,0.6323350411631878,0.310712426421715,0.352473572520883,0.2,0.9564293304994642,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,1.2577685941061456,1.2577685941061456,0.5380327768018394,0.5998806175531073,lower_clv,True,2.258669626797261,2.258669626797261,0.5433510607162447,0.5998806175531073,1.758219110451703,1.0009010326911154,1.2577685941061456,0.5998806175531073,0.5380327768018394,0.5,5.48,model_agreement_0.75_kelly,home,2.344849032548524,True,0.5438089746681644,1.8388810162800389,True,4.83
2023-04,data\historical_csv\football-data\2223\E2.csv:525,data\historical_csv\football-data\2223\E2.csv,525,2023-04-25,E2,Lincoln,Burton,home,0.4610379126664662,0.44217558656864,2.274,2.3,0.550728385708732,0.0168623260978262,5,0.0,BW,2.0-3.0,sportsbook,0.4397537379067722,1.0484002134035444,0.0188623260978262,0.0365747059722291,0.8215403953283443,0.2125559569158521,0.3787612690333634,0.2,1.1433597185575906,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,1.7536045641997275,1.7536045641997275,0.4474652795259443,0.4871687435804361,lower_clv,True,1.7704786806637118,1.7704786806637118,0.4475394840838333,0.4871687435804361,1.7620416224317197,0.0168741164639842,1.7536045641997275,0.4871687435804361,0.4474652795259443,0.5,3.17,model_agreement_0.75_kelly,away,-0.0275368721855406,False,0.4396326434820337,2.2746263609537145,False,-3.17
2025-03,data\historical_csv\football-data\2425\SP2.csv:343,data\historical_csv\football-data\2425\SP2.csv,343,2025-03-21,SP2,Burgos,Almeria,away,0.4160940914651803,0.4132216093781555,2.47,2.5,2.065737516404398,0.0008724820870247,5,0.0,WH,2.0-3.0,sportsbook,0.4048582995951417,1.0277524059189953,0.0028724820870247,0.0020968384433255,0.9042181506398858,0.1731342929522338,0.3762398298768288,0.2,1.2145748987854257,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,1.8879341256670243,1.8879341256670243,0.4125017575937937,0.4090066071246449,lower_clv,True,2.58282714716882,2.58282714716882,0.4153150896646511,0.4090066071246449,2.235380636417922,0.6948930215017954,1.8879341256670243,0.4090066071246449,0.4125017575937937,0.5,0.26,model_agreement_0.75_kelly,home,-6.431378197403726,False,0.3788203311846003,2.639773839151988,False,-0.26
2026-01,data\historical_csv\football-data\2526\E2.csv:336,data\historical_csv\football-data\2526\E2.csv,336,2026-01-31,E2,Luton,Blackpool,home,0.565474135442819,0.560315811964039,1.833,1.85,2.705888333008355,0.00315832347878,5,0.0,BMGM,1.5-2.0,sportsbook,0.5455537370430987,1.0365140902666874,0.0051583234787799,0.0055852660286694,0.605953968857568,0.3197609978548036,0.3426512966578781,0.2,0.9274413529732684,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,2.899748164415896,2.899748164415896,0.5613734215189082,0.5823163111196343,lower_clv,True,2.390694250027204,1.4129481216401674,0.5532621283231869,0.5823163111196343,2.645221207221549,0.5090539143886921,1.4129481216401674,0.5823163111196343,0.5532621283231869,0.5,3.03,model_agreement_0.75_kelly,home,3.969125813161223,True,0.567207451244742,1.7630233837822311,True,2.52
