month,bets,staked,profit,roi_pct
2021-09,0,0.0,0.0,0.0
2021-10,0,0.0,0.0,0.0
2021-11,0,0.0,0.0,0.0
2021-12,6,12.97,7.43,57.29
2022-01,1,1.36,3.33,244.85
2022-02,14,44.44,20.24,45.54
2022-03,11,47.88,-12.69,-26.5
2022-04,8,47.12,32.76,69.52
2022-05,5,25.51,1.64,6.43
2022-08,2,2.58,4.2,162.79
2022-09,2,1.65,-1.65,-100.0
2022-10,4,12.39,9.86,79.58
2022-11,3,1.7,-0.3,-17.65
2022-12,0,0.0,0.0,0.0
2023-01,0,0.0,0.0,0.0
2023-02,7,4.96,-2.9,-58.47
2023-03,5,23.14,-0.62,-2.68
2023-04,10,36.47,18.87,51.74
2023-05,3,13.69,5.73,41.86
2023-08,1,0.36,0.88,244.44
2023-09,0,0.0,0.0,0.0
2023-10,0,0.0,0.0,0.0
2023-11,0,0.0,0.0,0.0
2023-12,1,1.17,-1.17,-100.0
2024-01,0,0.0,0.0,0.0
2024-02,2,0.52,1.59,305.77
2024-03,1,0.18,0.56,311.11
2024-04,2,0.44,0.11,25.0
2024-05,2,0.8,0.97,121.25
2024-08,28,21.38,3.95,18.48
2024-09,5,2.23,0.41,18.39
2024-10,0,0.0,0.0,0.0
2024-11,0,0.0,0.0,0.0
2024-12,1,0.98,2.9,295.92
2025-01,1,0.34,0.9,264.71
2025-02,15,19.32,10.85,56.16
2025-03,6,4.0,0.76,19.0
2025-04,7,3.42,-0.98,-28.65
2025-05,5,1.98,-0.44,-22.22
2025-08,0,0.0,0.0,0.0
2025-09,5,2.46,2.45,99.59
2025-10,6,5.76,4.08,70.83
2025-11,2,1.03,-1.03,-100.0
2025-12,2,2.14,3.48,162.62
2026-01,5,9.91,8.34,84.16
2026-02,0,0.0,0.0,0.0
2026-03,0,0.0,0.0,0.0
2026-04,2,3.61,2.61,72.3
