label,bets,wins,hit_rate,wilson_hit_rate_lower_95,avg_odds,avg_implied_probability,edge_vs_implied_probability,conservative_edge_vs_implied,staked,profit,roi_pct,decision,decision_reasons
2021-22,92,30,0.3261,0.2389,3.502,0.3126,0.0135,-0.0736,920.0,79.4,8.63,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['wilson_lower<=average_implied_probability']
2017-18,89,32,0.3596,0.2676,2.8601,0.3858,-0.0262,-0.1182,890.0,-93.9,-10.55,NO_CALIBRATED_EDGE,"['hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
2023-24,82,25,0.3049,0.2158,4.165,0.2472,0.0577,-0.0313,820.0,142.2,17.34,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['wilson_lower<=average_implied_probability']
2024-25,82,21,0.2561,0.174,3.3349,0.3128,-0.0567,-0.1388,820.0,-138.2,-16.85,NO_CALIBRATED_EDGE,"['hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
2020-21,69,21,0.3043,0.2085,4.4788,0.2566,0.0478,-0.0481,690.0,59.4,8.61,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['wilson_lower<=average_implied_probability']
2018-19,65,27,0.4154,0.3036,2.9386,0.3683,0.0471,-0.0647,650.0,102.9,15.83,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
2022-23,46,17,0.3696,0.2452,3.7907,0.2833,0.0862,-0.0381,460.0,100.5,21.85,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
2016-17,45,24,0.5333,0.3908,2.5933,0.4111,0.1222,-0.0204,450.0,144.3,32.07,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
2025-26,40,19,0.475,0.3294,2.5385,0.4126,0.0624,-0.0833,400.0,72.8,18.2,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,"['bets<minimum', 'wilson_lower<=average_implied_probability']"
2019-20,35,12,0.3429,0.2083,3.042,0.3636,-0.0207,-0.1552,350.0,-20.8,-5.94,NO_CALIBRATED_EDGE,"['bets<minimum', 'hit_rate<=average_implied_probability', 'wilson_lower<=average_implied_probability', 'roi<=0']"
