columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
outcome|odds_bucket|market_prob_bucket,"draw|[2.8,3.5)|[0.28,0.34)",552,18.69,3.39,49,33,16,2026-05,3.43,34.3724
outcome|market_prob_bucket,"draw|[0.28,0.34)",554,16.69,3.01,49,33,16,2026-05,3.43,34.3314
league|outcome|market_prob_bucket,"G1|draw|[0.28,0.34)",554,16.69,3.01,49,33,16,2026-05,3.43,34.3314
outcome|market_prob_bucket|favorite_relation,"draw|[0.28,0.34)|market_non_favorite",554,16.69,3.01,49,33,16,2026-05,3.43,34.3314
odds_bucket|market_prob_bucket,"[2.8,3.5)|[0.20,0.28)",188,18.6,9.89,49,30,19,2026-05,-1.62,23.0883
league|odds_bucket|market_prob_bucket,"G1|[2.8,3.5)|[0.20,0.28)",188,18.6,9.89,49,30,19,2026-05,-1.62,23.0883
odds_bucket|market_prob_bucket|favorite_relation,"[2.8,3.5)|[0.20,0.28)|market_non_favorite",188,18.6,9.89,49,30,19,2026-05,-1.62,23.0883
outcome|odds_bucket,"draw|[2.8,3.5)",672,34.06,5.07,49,28,21,2026-05,1.81,14.5575
league|outcome|odds_bucket,"G1|draw|[2.8,3.5)",672,34.06,5.07,49,28,21,2026-05,1.81,14.5575
outcome|odds_bucket|favorite_relation,"draw|[2.8,3.5)|market_non_favorite",672,34.06,5.07,49,28,21,2026-05,1.81,14.5575
outcome|market_prob_bucket,"away|[0.20,0.28)",279,12.27,4.4,49,25,24,2026-05,-6.0,2.4838
league|outcome|market_prob_bucket,"G1|away|[0.20,0.28)",279,12.27,4.4,49,25,24,2026-05,-6.0,2.4838
outcome|market_prob_bucket|favorite_relation,"away|[0.20,0.28)|market_non_favorite",279,12.27,4.4,49,25,24,2026-05,-6.0,2.4838
