candidate_id,outcome
data\historical_csv\football-data\2122\I2.csv:274,home
data\historical_csv\football-data\2122\SP2.csv:342,away
data\historical_csv\football-data\2122\I2.csv:292,home
data\historical_csv\football-data\2122\I2.csv:295,home
data\historical_csv\football-data\2122\E1.csv:450,away
data\historical_csv\football-data\2122\I1.csv:293,home
data\historical_csv\football-data\2122\SP2.csv:356,home
data\historical_csv\football-data\2122\SP2.csv:355,home
data\historical_csv\football-data\2122\SP2.csv:359,home
data\historical_csv\football-data\2122\I2.csv:339,home
data\historical_csv\football-data\2122\I2.csv:338,home
data\historical_csv\football-data\2122\SP2.csv:409,home
data\historical_csv\football-data\2122\SP2.csv:410,home
data\historical_csv\football-data\2122\SP2.csv:412,away
data\historical_csv\football-data\2122\SP2.csv:413,home
data\historical_csv\football-data\2122\SP2.csv:422,away
data\historical_csv\football-data\2122\SP2.csv:452,home
data\historical_csv\football-data\2122\SP2.csv:443,away
data\historical_csv\football-data\2122\SP2.csv:448,home
data\historical_csv\football-data\2223\I2.csv:11,away
data\historical_csv\football-data\2223\E3.csv:102,home
data\historical_csv\football-data\2223\SP2.csv:71,home
data\historical_csv\football-data\2223\SP2.csv:73,away
data\historical_csv\football-data\2223\T1.csv:92,home
data\historical_csv\football-data\2223\F2.csv:139,draw
data\historical_csv\football-data\2223\F2.csv:140,draw
data\historical_csv\football-data\2223\I2.csv:122,home
data\historical_csv\football-data\2223\I2.csv:199,home
data\historical_csv\football-data\2223\I2.csv:242,away
data\historical_csv\football-data\2223\F2.csv:250,draw
data\historical_csv\football-data\2223\B1.csv:265,draw
data\historical_csv\football-data\2223\SP2.csv:362,away
data\historical_csv\football-data\2223\SP2.csv:359,home
data\historical_csv\football-data\2223\SP2.csv:364,away
data\historical_csv\football-data\2223\B1.csv:272,away
data\historical_csv\football-data\2223\G1.csv:229,draw
data\historical_csv\football-data\2223\E3.csv:544,home
data\historical_csv\football-data\2223\F2.csv:345,home
data\historical_csv\football-data\2324\G1.csv:52,home
data\historical_csv\football-data\2324\G1.csv:96,home
data\historical_csv\football-data\2324\E3.csv:348,home
data\historical_csv\football-data\2324\E2.csv:387,away
data\historical_csv\football-data\2324\E3.csv:441,home
data\historical_csv\football-data\2425\I2.csv:52,home
data\historical_csv\football-data\2425\SP1.csv:55,draw
data\historical_csv\football-data\2425\F1.csv:45,draw
data\historical_csv\football-data\2425\SP1.csv:59,draw
data\historical_csv\football-data\2425\F2.csv:63,away
data\historical_csv\football-data\2425\I2.csv:72,draw
data\historical_csv\football-data\2425\I2.csv:87,away
data\historical_csv\football-data\2425\I2.csv:103,away
data\historical_csv\football-data\2425\I2.csv:107,draw
data\historical_csv\football-data\2425\I2.csv:199,home
data\historical_csv\football-data\2425\D1.csv:211,draw
data\historical_csv\football-data\2425\N1.csv:216,draw
data\historical_csv\football-data\2425\D1.csv:223,draw
data\historical_csv\football-data\2425\I1.csv:300,draw
data\historical_csv\football-data\2425\B1.csv:283,draw
data\historical_csv\football-data\2425\I2.csv:349,draw
data\historical_csv\football-data\2425\SP1.csv:335,away
data\historical_csv\football-data\2425\I2.csv:357,draw
data\historical_csv\football-data\2425\F1.csv:285,draw
data\historical_csv\football-data\2425\SP1.csv:341,draw
data\historical_csv\football-data\2425\I2.csv:365,away
data\historical_csv\football-data\2425\B1.csv:294,home
data\historical_csv\football-data\2425\SP1.csv:370,draw
data\historical_csv\football-data\2526\B1.csv:90,home
data\historical_csv\football-data\2526\SP2.csv:133,away
data\historical_csv\football-data\2526\E3.csv:216,home
data\historical_csv\football-data\2526\E1.csv:227,away
data\historical_csv\football-data\2526\I2.csv:147,away
data\historical_csv\football-data\2526\F2.csv:157,away
data\historical_csv\football-data\2526\E2.csv:340,away
data\historical_csv\football-data\2526\E2.csv:411,away
data\historical_csv\football-data\2526\B1.csv:224,away
data\historical_csv\football-data\2526\T1.csv:244,away
data\historical_csv\football-data\2526\E1.csv:483,home
