columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
odds_bucket,"[1.8,2.2)",2063,11.31,0.55,135,74,61,2025-12,1.01,26.0603
league|odds_bucket,"USA|[1.8,2.2)",2063,11.31,0.55,135,74,61,2025-12,1.01,26.0603
odds_bucket|market_prob_bucket,"[1.8,2.2)|[0.42,0.55)",2063,11.31,0.55,135,74,61,2025-12,1.01,26.0603
odds_bucket|favorite_relation,"[1.8,2.2)|market_favorite",2063,11.31,0.55,135,74,61,2025-12,1.01,26.0603
league|odds_bucket|market_prob_bucket,"USA|[1.8,2.2)|[0.42,0.55)",2063,11.31,0.55,135,74,61,2025-12,1.01,26.0603
league|odds_bucket|favorite_relation,"USA|[1.8,2.2)|market_favorite",2063,11.31,0.55,135,74,61,2025-12,1.01,26.0603
odds_bucket|market_prob_bucket|favorite_relation,"[1.8,2.2)|[0.42,0.55)|market_favorite",2063,11.31,0.55,135,74,61,2025-12,1.01,26.0603
outcome|odds_bucket,"home|[1.8,2.2)",1880,11.54,0.61,135,73,62,2025-12,1.01,22.0675
league|outcome|odds_bucket,"USA|home|[1.8,2.2)",1880,11.54,0.61,135,73,62,2025-12,1.01,22.0675
outcome|odds_bucket|market_prob_bucket,"home|[1.8,2.2)|[0.42,0.55)",1880,11.54,0.61,135,73,62,2025-12,1.01,22.0675
outcome|odds_bucket|favorite_relation,"home|[1.8,2.2)|market_favorite",1880,11.54,0.61,135,73,62,2025-12,1.01,22.0675
outcome|market_prob_bucket,"home|[0.28,0.34)",353,33.29,9.43,110,59,50,2025-11,-1.0,19.0374
league|outcome|market_prob_bucket,"USA|home|[0.28,0.34)",353,33.29,9.43,110,59,50,2025-11,-1.0,19.0374
outcome|odds_bucket|market_prob_bucket,"home|[2.8,3.5)|[0.28,0.34)",353,33.29,9.43,110,59,50,2025-11,-1.0,19.0374
outcome|market_prob_bucket|favorite_relation,"home|[0.28,0.34)|market_non_favorite",353,33.29,9.43,110,59,50,2025-11,-1.0,19.0374
outcome|odds_bucket,"home|[2.8,3.5)",439,30.6,6.97,115,60,53,2025-11,-1.0,14.7667
league|outcome|odds_bucket,"USA|home|[2.8,3.5)",439,30.6,6.97,115,60,53,2025-11,-1.0,14.7667
outcome|odds_bucket|favorite_relation,"home|[2.8,3.5)|market_non_favorite",437,29.77,6.81,115,59,54,2025-11,-1.0,10.7494
outcome|favorite_relation,home|market_non_favorite,749,28.96,3.87,123,64,59,2025-11,-2.0,10.4253
league|outcome|favorite_relation,USA|home|market_non_favorite,749,28.96,3.87,123,64,59,2025-11,-2.0,10.4253
outcome|odds_bucket|market_prob_bucket,"away|[2.2,2.8)|[0.42,0.55)",105,2.86,2.72,63,34,29,2025-10,-2.0,10.2996
