month,train_window,selected_strategy,selection_reason,matches,bets,active_days,staked,profit,roi_pct,max_drawdown,outcome_counts,available_capacity,clv_bucket_gate,clv_positions,average_closing_edge_pct,positive_clv_rate
2024-08,2024-02-01..2024-07-31,ABSTAIN,no candidate passed clv_bucket_stability in both training halves,552,0,0,0.0,0.0,0.0,0.0,{},3100.0,,,,
2024-09,2024-03-01..2024-08-31,ABSTAIN,no candidate passed clv_bucket_stability in both training halves,618,0,0,0.0,0.0,0.0,0.0,{},3000.0,,,,
2024-10,2024-04-01..2024-09-30,ABSTAIN,no candidate passed clv_bucket_stability in both training halves,645,0,0,0.0,0.0,0.0,0.0,{},3100.0,,,,
2024-11,2024-05-01..2024-10-31,ABSTAIN,no candidate passed clv_bucket_stability in both training halves,615,0,0,0.0,0.0,0.0,0.0,{},3000.0,,,,
2025-01,2024-07-01..2024-12-31,RC-A-balanced,fixed prior-six-month two-half rule,672,1,1,0.17,0.58,341.18,0.0,{'away': 1},3100.0,"{'rule': 'all outcome, odds-band and source-type buckets need n>=12, each half n>=4 and positive mean CLV; full positive CLV rate>=55%', 'allowed_buckets': ['odds:4.0-5.0', 'outcome:away', 'outcome:draw', 'source:exchange', 'source:sportsbook'], 'buckets': [{'bucket': 'odds:1.5-2.0', 'eligible': False, 'observations': 1, 'first_half_observations': 1, 'second_half_observations': 0, 'average_closing_edge_pct': 7.8432, 'first_half_closing_edge_pct': 7.8432, 'second_half_closing_edge_pct': None, 'positive_clv_rate': 1.0}, {'bucket': 'odds:2.0-3.0', 'eligible': False, 'observations': 6, 'first_half_observations': 3, 'second_half_observations': 3, 'average_closing_edge_pct': 12.0707, 'first_half_closing_edge_pct': 10.8323, 'second_half_closing_edge_pct': 13.3091, 'positive_clv_rate': 1.0}, {'bucket': 'odds:3.0-4.0', 'eligible': False, 'observations': 8, 'first_half_observations': 6, 'second_half_observations': 2, 'average_closing_edge_pct': 6.8818, 'first_half_closing_edge_pct': 4.8096, 'second_half_closing_edge_pct': 13.0981, 'positive_clv_rate': 0.875}, {'bucket': 'odds:4.0-5.0', 'eligible': True, 'observations': 13, 'first_half_observations': 4, 'second_half_observations': 9, 'average_closing_edge_pct': 9.7482, 'first_half_closing_edge_pct': 6.8222, 'second_half_closing_edge_pct': 11.0487, 'positive_clv_rate': 0.8462}, {'bucket': 'odds:5.0+', 'eligible': False, 'observations': 10, 'first_half_observations': 3, 'second_half_observations': 7, 'average_closing_edge_pct': 12.9425, 'first_half_closing_edge_pct': 11.9065, 'second_half_closing_edge_pct': 13.3865, 'positive_clv_rate': 0.9}, {'bucket': 'outcome:away', 'eligible': True, 'observations': 20, 'first_half_observations': 8, 'second_half_observations': 12, 'average_closing_edge_pct': 13.4403, 'first_half_closing_edge_pct': 13.3017, 'second_half_closing_edge_pct': 13.5327, 'positive_clv_rate': 0.85}, {'bucket': 'outcome:draw', 'eligible': True, 'observations': 13, 'first_half_observations': 5, 'second_half_observations': 8, 'average_closing_edge_pct': 7.1416, 'first_half_closing_edge_pct': 3.4435, 'second_half_closing_edge_pct': 9.4529, 'positive_clv_rate': 1.0}, {'bucket': 'outcome:home', 'eligible': False, 'observations': 5, 'first_half_observations': 4, 'second_half_observations': 1, 'average_closing_edge_pct': 5.9652, 'first_half_closing_edge_pct': 2.1437, 'second_half_closing_edge_pct': 21.2515, 'positive_clv_rate': 0.8}, {'bucket': 'source:exchange', 'eligible': True, 'observations': 22, 'first_half_observations': 7, 'second_half_observations': 15, 'average_closing_edge_pct': 8.7449, 'first_half_closing_edge_pct': 7.9762, 'second_half_closing_edge_pct': 9.1035, 'positive_clv_rate': 0.8636}, {'bucket': 'source:sportsbook', 'eligible': True, 'observations': 16, 'first_half_observations': 10, 'second_half_observations': 6, 'average_closing_edge_pct': 12.4429, 'first_half_closing_edge_pct': 7.6372, 'second_half_closing_edge_pct': 20.4524, 'positive_clv_rate': 0.9375}]}",1.0,5.3229,1.0
2025-02,2024-08-01..2025-01-31,RC-A-balanced,fixed prior-six-month two-half rule,719,5,4,1.45,1.2,82.76,0.62,"{'away': 3, 'draw': 2}",2800.0,"{'rule': 'all outcome, odds-band and source-type buckets need n>=12, each half n>=4 and positive mean CLV; full positive CLV rate>=55%', 'allowed_buckets': ['odds:4.0-5.0', 'odds:5.0+', 'outcome:away', 'outcome:draw', 'source:exchange'], 'buckets': [{'bucket': 'odds:1.5-2.0', 'eligible': False, 'observations': 1, 'first_half_observations': 1, 'second_half_observations': 0, 'average_closing_edge_pct': 7.8432, 'first_half_closing_edge_pct': 7.8432, 'second_half_closing_edge_pct': None, 'positive_clv_rate': 1.0}, {'bucket': 'odds:2.0-3.0', 'eligible': False, 'observations': 6, 'first_half_observations': 5, 'second_half_observations': 1, 'average_closing_edge_pct': 12.0707, 'first_half_closing_edge_pct': 13.7982, 'second_half_closing_edge_pct': 3.4335, 'positive_clv_rate': 1.0}, {'bucket': 'odds:3.0-4.0', 'eligible': False, 'observations': 8, 'first_half_observations': 7, 'second_half_observations': 1, 'average_closing_edge_pct': 6.8818, 'first_half_closing_edge_pct': 4.8289, 'second_half_closing_edge_pct': 21.2515, 'positive_clv_rate': 0.875}, {'bucket': 'odds:4.0-5.0', 'eligible': True, 'observations': 14, 'first_half_observations': 7, 'second_half_observations': 7, 'average_closing_edge_pct': 9.4321, 'first_half_closing_edge_pct': 4.4212, 'second_half_closing_edge_pct': 14.4431, 'positive_clv_rate': 0.8571}, {'bucket': 'odds:5.0+', 'eligible': True, 'observations': 12, 'first_half_observations': 6, 'second_half_observations': 6, 'average_closing_edge_pct': 10.6867, 'first_half_closing_edge_pct': 10.0111, 'second_half_closing_edge_pct': 11.3624, 'positive_clv_rate': 0.8333}, {'bucket': 'outcome:away', 'eligible': True, 'observations': 22, 'first_half_observations': 15, 'second_half_observations': 7, 'average_closing_edge_pct': 12.8101, 'first_half_closing_edge_pct': 9.7509, 'second_half_closing_edge_pct': 19.3656, 'positive_clv_rate': 0.8636}, {'bucket': 'outcome:draw', 'eligible': True, 'observations': 14, 'first_half_observations': 7, 'second_half_observations': 7, 'average_closing_edge_pct': 5.9974, 'first_half_closing_edge_pct': 6.6876, 'second_half_closing_edge_pct': 5.3073, 'positive_clv_rate': 0.9286}, {'bucket': 'outcome:home', 'eligible': False, 'observations': 5, 'first_half_observations': 4, 'second_half_observations': 1, 'average_closing_edge_pct': 5.9652, 'first_half_closing_edge_pct': 2.1437, 'second_half_closing_edge_pct': 21.2515, 'positive_clv_rate': 0.8}, {'bucket': 'source:exchange', 'eligible': True, 'observations': 25, 'first_half_observations': 13, 'second_half_observations': 12, 'average_closing_edge_pct': 7.861, 'first_half_closing_edge_pct': 8.4338, 'second_half_closing_edge_pct': 7.2405, 'positive_clv_rate': 0.84}, {'bucket': 'source:sportsbook', 'eligible': False, 'observations': 16, 'first_half_observations': 13, 'second_half_observations': 3, 'average_closing_edge_pct': 12.4429, 'first_half_closing_edge_pct': 7.0778, 'second_half_closing_edge_pct': 35.6916, 'positive_clv_rate': 0.9375}]}",5.0,2.614,0.8
2025-03,2024-09-01..2025-02-28,RC-A-balanced,fixed prior-six-month two-half rule,704,3,2,0.78,-0.78,-100.0,0.78,"{'away': 2, 'draw': 1}",3100.0,"{'rule': 'all outcome, odds-band and source-type buckets need n>=12, each half n>=4 and positive mean CLV; full positive CLV rate>=55%', 'allowed_buckets': ['odds:4.0-5.0', 'odds:5.0+', 'outcome:away', 'outcome:draw', 'source:exchange', 'source:sportsbook'], 'buckets': [{'bucket': 'odds:1.5-2.0', 'eligible': False, 'observations': 1, 'first_half_observations': 0, 'second_half_observations': 1, 'average_closing_edge_pct': 2.7993, 'first_half_closing_edge_pct': None, 'second_half_closing_edge_pct': 2.7993, 'positive_clv_rate': 1.0}, {'bucket': 'odds:2.0-3.0', 'eligible': False, 'observations': 4, 'first_half_observations': 4, 'second_half_observations': 0, 'average_closing_edge_pct': 13.9321, 'first_half_closing_edge_pct': 13.9321, 'second_half_closing_edge_pct': None, 'positive_clv_rate': 1.0}, {'bucket': 'odds:3.0-4.0', 'eligible': False, 'observations': 5, 'first_half_observations': 4, 'second_half_observations': 1, 'average_closing_edge_pct': 9.4908, 'first_half_closing_edge_pct': 6.5506, 'second_half_closing_edge_pct': 21.2515, 'positive_clv_rate': 1.0}, {'bucket': 'odds:4.0-5.0', 'eligible': True, 'observations': 18, 'first_half_observations': 9, 'second_half_observations': 9, 'average_closing_edge_pct': 9.3952, 'first_half_closing_edge_pct': 5.2923, 'second_half_closing_edge_pct': 13.4982, 'positive_clv_rate': 0.8889}, {'bucket': 'odds:5.0+', 'eligible': True, 'observations': 13, 'first_half_observations': 7, 'second_half_observations': 6, 'average_closing_edge_pct': 8.4407, 'first_half_closing_edge_pct': 9.4887, 'second_half_closing_edge_pct': 7.218, 'positive_clv_rate': 0.7692}, {'bucket': 'outcome:away', 'eligible': True, 'observations': 22, 'first_half_observations': 13, 'second_half_observations': 9, 'average_closing_edge_pct': 10.7331, 'first_half_closing_edge_pct': 8.9236, 'second_half_closing_edge_pct': 13.3469, 'positive_clv_rate': 0.8182}, {'bucket': 'outcome:draw', 'eligible': True, 'observations': 16, 'first_half_observations': 10, 'second_half_observations': 6, 'average_closing_edge_pct': 7.4196, 'first_half_closing_edge_pct': 7.4044, 'second_half_closing_edge_pct': 7.445, 'positive_clv_rate': 0.9375}, {'bucket': 'outcome:home', 'eligible': False, 'observations': 3, 'first_half_observations': 1, 'second_half_observations': 2, 'average_closing_edge_pct': 9.9942, 'first_half_closing_edge_pct': 5.9318, 'second_half_closing_edge_pct': 12.0254, 'positive_clv_rate': 1.0}, {'bucket': 'source:exchange', 'eligible': True, 'observations': 27, 'first_half_observations': 15, 'second_half_observations': 12, 'average_closing_edge_pct': 7.7142, 'first_half_closing_edge_pct': 9.1809, 'second_half_closing_edge_pct': 5.8807, 'positive_clv_rate': 0.8519}, {'bucket': 'source:sportsbook', 'eligible': True, 'observations': 14, 'first_half_observations': 9, 'second_half_observations': 5, 'average_closing_edge_pct': 12.6102, 'first_half_closing_edge_pct': 6.4744, 'second_half_closing_edge_pct': 23.6548, 'positive_clv_rate': 0.9286}]}",3.0,15.5783,1.0
2025-04,2024-10-01..2025-03-31,RC-A-balanced,fixed prior-six-month two-half rule,753,0,0,0.0,0.0,0.0,0.0,{},3000.0,"{'rule': 'all outcome, odds-band and source-type buckets need n>=12, each half n>=4 and positive mean CLV; full positive CLV rate>=55%', 'allowed_buckets': ['odds:4.0-5.0', 'outcome:away', 'outcome:draw', 'source:exchange'], 'buckets': [{'bucket': 'odds:1.5-2.0', 'eligible': False, 'observations': 1, 'first_half_observations': 0, 'second_half_observations': 1, 'average_closing_edge_pct': 2.7993, 'first_half_closing_edge_pct': None, 'second_half_closing_edge_pct': 2.7993, 'positive_clv_rate': 1.0}, {'bucket': 'odds:2.0-3.0', 'eligible': False, 'observations': 4, 'first_half_observations': 3, 'second_half_observations': 1, 'average_closing_edge_pct': 8.3768, 'first_half_closing_edge_pct': 13.3091, 'second_half_closing_edge_pct': -6.4203, 'positive_clv_rate': 0.75}, {'bucket': 'odds:3.0-4.0', 'eligible': False, 'observations': 2, 'first_half_observations': 2, 'second_half_observations': 0, 'average_closing_edge_pct': 13.0981, 'first_half_closing_edge_pct': 13.0981, 'second_half_closing_edge_pct': None, 'positive_clv_rate': 1.0}, {'bucket': 'odds:4.0-5.0', 'eligible': True, 'observations': 18, 'first_half_observations': 9, 'second_half_observations': 9, 'average_closing_edge_pct': 10.51, 'first_half_closing_edge_pct': 11.0487, 'second_half_closing_edge_pct': 9.9712, 'positive_clv_rate': 0.8889}, {'bucket': 'odds:5.0+', 'eligible': False, 'observations': 11, 'first_half_observations': 7, 'second_half_observations': 4, 'average_closing_edge_pct': 7.2492, 'first_half_closing_edge_pct': 13.3865, 'second_half_closing_edge_pct': -3.491, 'positive_clv_rate': 0.7273}, {'bucket': 'outcome:away', 'eligible': True, 'observations': 21, 'first_half_observations': 12, 'second_half_observations': 9, 'average_closing_edge_pct': 9.5091, 'first_half_closing_edge_pct': 13.5327, 'second_half_closing_edge_pct': 4.1443, 'positive_clv_rate': 0.7619}, {'bucket': 'outcome:draw', 'eligible': True, 'observations': 13, 'first_half_observations': 8, 'second_half_observations': 5, 'average_closing_edge_pct': 8.2832, 'first_half_closing_edge_pct': 9.4529, 'second_half_closing_edge_pct': 6.4116, 'positive_clv_rate': 0.9231}, {'bucket': 'outcome:home', 'eligible': False, 'observations': 2, 'first_half_observations': 1, 'second_half_observations': 1, 'average_closing_edge_pct': 12.0254, 'first_half_closing_edge_pct': 21.2515, 'second_half_closing_edge_pct': 2.7993, 'positive_clv_rate': 1.0}, {'bucket': 'source:exchange', 'eligible': True, 'observations': 26, 'first_half_observations': 15, 'second_half_observations': 11, 'average_closing_edge_pct': 7.7114, 'first_half_closing_edge_pct': 9.1035, 'second_half_closing_edge_pct': 5.813, 'positive_clv_rate': 0.8462}, {'bucket': 'source:sportsbook', 'eligible': False, 'observations': 10, 'first_half_observations': 6, 'second_half_observations': 4, 'average_closing_edge_pct': 13.0927, 'first_half_closing_edge_pct': 20.4524, 'second_half_closing_edge_pct': 2.0532, 'positive_clv_rate': 0.8}]}",0.0,,
2025-05,2024-11-01..2025-04-30,ABSTAIN,no candidate passed clv_bucket_stability in both training halves,516,0,0,0.0,0.0,0.0,0.0,{},3100.0,,,,
2025-08,2025-02-01..2025-07-31,ABSTAIN,no candidate passed clv_bucket_stability in both training halves,608,0,0,0.0,0.0,0.0,0.0,{},3100.0,,,,
