date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit
2012-05-19,2012-05,BRA,Palmeiras,Portuguesa,home,draw,1.69,"[1.0,1.8)",0.547119249665029,"[0.42,0.55)",market_favorite,AVG_CLOSE,False,-1.0
2012-05-19,2012-05,BRA,Palmeiras,Portuguesa,draw,draw,3.5,"[3.5,4.0)",0.26418043769539973,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,True,2.5
2012-05-19,2012-05,BRA,Palmeiras,Portuguesa,away,draw,4.9,"[4.0,5.0)",0.1887003126395712,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-19,2012-05,BRA,Sport Recife,Flamengo RJ,home,draw,2.59,"[2.2,2.8)",0.3564130309264241,"[0.34,0.42)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-19,2012-05,BRA,Sport Recife,Flamengo RJ,draw,draw,3.23,"[2.8,3.5)",0.28579249229084785,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.23
2012-05-19,2012-05,BRA,Sport Recife,Flamengo RJ,away,draw,2.58,"[2.2,2.8)",0.3577944767827281,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Bahia,Santos,home,draw,2.3,"[2.2,2.8)",0.4018167761886356,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Bahia,Santos,draw,draw,3.22,"[2.8,3.5)",0.2870119829918825,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.22
2012-05-20,2012-05,BRA,Bahia,Santos,away,draw,2.97,"[2.8,3.5)",0.31117124081948205,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Botafogo RJ,Sao Paulo,home,home,2.35,"[2.2,2.8)",0.3924148278755923,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.35
2012-05-20,2012-05,BRA,Botafogo RJ,Sao Paulo,draw,home,3.26,"[2.8,3.5)",0.28287571948087176,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Botafogo RJ,Sao Paulo,away,home,2.84,"[2.8,3.5)",0.3247094526435359,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Corinthians,Fluminense,home,away,1.89,"[1.8,2.2)",0.4869903569615971,"[0.42,0.55)",market_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Corinthians,Fluminense,draw,away,3.33,"[2.8,3.5)",0.27639993232955506,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Corinthians,Fluminense,away,away,3.89,"[3.5,4.0)",0.2366097107088479,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,True,2.89
2012-05-20,2012-05,BRA,Cruzeiro,Atletico GO,home,draw,1.78,"[1.0,1.8)",0.5189624229608092,"[0.42,0.55)",market_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Cruzeiro,Atletico GO,draw,draw,3.47,"[2.8,3.5)",0.26621127172053033,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,True,2.47
2012-05-20,2012-05,BRA,Cruzeiro,Atletico GO,away,draw,4.3,"[4.0,5.0)",0.21482630531866054,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Figueirense,Nautico,home,home,1.59,"[1.0,1.8)",0.5830368686569939,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.5900000000000001
2012-05-20,2012-05,BRA,Figueirense,Nautico,draw,home,3.67,"[3.5,4.0)",0.2525963545407685,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Figueirense,Nautico,away,home,5.64,"[5.0,7.0)",0.16436677680223763,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Internacional,Coritiba,home,home,1.66,"[1.0,1.8)",0.5576946771808772,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.6599999999999999
2012-05-20,2012-05,BRA,Internacional,Coritiba,draw,home,3.55,"[3.5,4.0)",0.26078117299162146,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Internacional,Coritiba,away,home,5.1,"[5.0,7.0)",0.18152414982750123,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Ponte Preta,Atletico-MG,home,away,2.74,"[2.2,2.8)",0.33707889098553034,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Ponte Preta,Atletico-MG,draw,away,3.23,"[2.8,3.5)",0.2859430839939174,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Ponte Preta,Atletico-MG,away,away,2.45,"[2.2,2.8)",0.3769780250205522,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.4500000000000002
2012-05-20,2012-05,BRA,Vasco,Gremio,home,home,2.08,"[1.8,2.2)",0.4444502372139095,"[0.42,0.55)",market_favorite,AVG_CLOSE,True,1.08
2012-05-20,2012-05,BRA,Vasco,Gremio,draw,home,3.25,"[2.8,3.5)",0.28444815181690214,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-20,2012-05,BRA,Vasco,Gremio,away,home,3.41,"[2.8,3.5)",0.2711016109691882,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Flamengo RJ,Internacional,home,draw,1.99,"[1.8,2.2)",0.46550933508024894,"[0.42,0.55)",market_favorite,AVG_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Flamengo RJ,Internacional,draw,draw,3.23,"[2.8,3.5)",0.28679986898132986,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.23
2012-05-26,2012-05,BRA,Flamengo RJ,Internacional,away,draw,3.74,"[3.5,4.0)",0.2476907959384212,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Portuguesa,Vasco,home,away,2.62,"[2.2,2.8)",0.3514740008594757,"[0.34,0.42)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Portuguesa,Vasco,draw,away,3.22,"[2.8,3.5)",0.285981951009884,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Portuguesa,Vasco,away,away,2.54,"[2.2,2.8)",0.36254404813064034,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.54
2012-05-26,2012-05,BRA,Atletico GO,Ponte Preta,home,draw,1.66,"[1.0,1.8)",0.5581102673090803,"[0.55,1.00]",market_favorite,AVG_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Atletico GO,Ponte Preta,draw,draw,3.59,"[3.5,4.0)",0.2580677002041987,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,True,2.59
2012-05-26,2012-05,BRA,Atletico GO,Ponte Preta,away,draw,5.04,"[5.0,7.0)",0.18382203248672088,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Atletico-MG,Corinthians,home,home,2.08,"[1.8,2.2)",0.4463169253229236,"[0.42,0.55)",market_favorite,AVG_CLOSE,True,1.08
2012-05-27,2012-05,BRA,Atletico-MG,Corinthians,draw,home,3.28,"[2.8,3.5)",0.28303024532673204,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Atletico-MG,Corinthians,away,home,3.43,"[2.8,3.5)",0.2706528293503443,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Coritiba,Botafogo RJ,home,away,1.77,"[1.0,1.8)",0.521329494896624,"[0.42,0.55)",market_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Coritiba,Botafogo RJ,draw,away,3.6,"[3.5,4.0)",0.2563203349908401,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Coritiba,Botafogo RJ,away,away,4.15,"[4.0,5.0)",0.22235017011253597,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,True,3.1500000000000004
2012-05-27,2012-05,BRA,Fluminense,Figueirense,home,draw,1.65,"[1.0,1.8)",0.5612091574273272,"[0.55,1.00]",market_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Fluminense,Figueirense,draw,draw,3.61,"[3.5,4.0)",0.2565083406523795,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,True,2.61
2012-05-27,2012-05,BRA,Fluminense,Figueirense,away,draw,5.08,"[5.0,7.0)",0.18228250192029327,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Gremio,Palmeiras,home,home,1.97,"[1.8,2.2)",0.46951818507517884,"[0.42,0.55)",market_favorite,AVG_CLOSE,True,0.97
2012-05-27,2012-05,BRA,Gremio,Palmeiras,draw,home,3.33,"[2.8,3.5)",0.27776301038982054,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Gremio,Palmeiras,away,home,3.66,"[3.5,4.0)",0.2527188045350006,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Nautico,Cruzeiro,home,draw,2.67,"[2.2,2.8)",0.346418547425891,"[0.34,0.42)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Nautico,Cruzeiro,draw,draw,3.18,"[2.8,3.5)",0.2908608558575877,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.18
2012-05-27,2012-05,BRA,Nautico,Cruzeiro,away,draw,2.55,"[2.2,2.8)",0.36272059671652124,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Santos,Sport Recife,home,draw,1.41,"[1.0,1.8)",0.6548198667550756,"[0.55,1.00]",market_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Santos,Sport Recife,draw,draw,4.17,"[4.0,5.0)",0.2214139117804932,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,True,3.17
2012-05-27,2012-05,BRA,Santos,Sport Recife,away,draw,7.46,"[7.0,inf)",0.12376622146443118,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Sao Paulo,Bahia,home,home,1.44,"[1.0,1.8)",0.6421342401424986,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.43999999999999995
2012-05-27,2012-05,BRA,Sao Paulo,Bahia,draw,home,4.12,"[4.0,5.0)",0.2244352683993199,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Sao Paulo,Bahia,away,home,6.93,"[5.0,7.0)",0.13343049145818156,"[0.00,0.20)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-06-06,2012-06,BRA,Atletico GO,Gremio,home,away,2.28,"[2.2,2.8)",0.40491456577931456,"[0.34,0.42)",market_favorite,AVG_CLOSE,False,-1.0
2012-06-06,2012-06,BRA,Atletico GO,Gremio,draw,away,3.26,"[2.8,3.5)",0.2831917822014838,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-06-06,2012-06,BRA,Atletico GO,Gremio,away,away,2.96,"[2.8,3.5)",0.3118936520192017,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,1.96
2012-06-06,2012-06,BRA,Sport Recife,Palmeiras,home,home,2.46,"[2.2,2.8)",0.37535961151269803,"[0.34,0.42)",market_favorite,AVG_CLOSE,True,1.46
2012-06-06,2012-06,BRA,Sport Recife,Palmeiras,draw,home,3.17,"[2.8,3.5)",0.2912885313316206,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-06-06,2012-06,BRA,Sport Recife,Palmeiras,away,home,2.77,"[2.2,2.8)",0.33335185715568133,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Santos,Fluminense,home,draw,2.02,"[1.8,2.2)",0.4583243752467545,"[0.42,0.55)",market_favorite,AVG_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Santos,Fluminense,draw,draw,3.23,"[2.8,3.5)",0.28663010464348115,"[0.28,0.34)",market_non_favorite,AVG_CLOSE,True,2.23
2012-06-07,2012-06,BRA,Santos,Fluminense,away,draw,3.63,"[3.5,4.0)",0.2550455201097642,"[0.20,0.28)",market_non_favorite,AVG_CLOSE,False,-1.0
2012-06-07,2012-06,BRA,Vasco,Nautico,home,home,1.37,"[1.0,1.8)",0.6762967703432343,"[0.55,1.00]",market_favorite,AVG_CLOSE,True,0.3700000000000001
