month,decision,reason,prior_candidates,candidate_count,selected,mean_predicted_ev,probability_validation
2017-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,8250.0,276.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 5940, 'validation_rows': 2310, 'market': {'matches': 770, 'log_loss': 1.026485, 'brier': 0.613396}, 'model': {'matches': 770, 'log_loss': 1.034171, 'brier': 0.616474}, 'log_loss_improvement': -0.007686, 'brier_improvement': -0.003078, 'selected_tail': {'bets': 115, 'profit_units': -11.31, 'hit_rate': 0.330435, 'average_market_probability': 0.374699, 'edge_vs_market_probability': -0.044264, 'passed': False}}"
2017-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,8100.0,39.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 5883, 'validation_rows': 2217, 'market': {'matches': 739, 'log_loss': 1.027074, 'brier': 0.613434}, 'model': {'matches': 739, 'log_loss': 1.033704, 'brier': 0.616167}, 'log_loss_improvement': -0.00663, 'brier_improvement': -0.002733, 'selected_tail': {'bets': 114, 'profit_units': -1.49, 'hit_rate': 0.359649, 'average_market_probability': 0.374986, 'edge_vs_market_probability': -0.015337, 'passed': False}}"
2018-01,ABSTAIN,no_candidates,,,,,
2018-02,ABSTAIN,no_candidates,,,,,
2018-03,INVEST,,6963.0,153.0,8.0,0.0386,"{'passed': True, 'reason': None, 'fit_rows': 5916, 'validation_rows': 1047, 'market': {'matches': 349, 'log_loss': 1.021912, 'brier': 0.611416}, 'model': {'matches': 349, 'log_loss': 1.021451, 'brier': 0.611358}, 'log_loss_improvement': 0.000461, 'brier_improvement': 5.8e-05, 'selected_tail': {'bets': 36, 'profit_units': 20.38, 'hit_rate': 0.5, 'average_market_probability': 0.322904, 'edge_vs_market_probability': 0.177096, 'passed': True}}"
2018-04,INVEST,,6708.0,360.0,13.0,0.0623,"{'passed': True, 'reason': None, 'fit_rows': 5844, 'validation_rows': 864, 'market': {'matches': 288, 'log_loss': 1.019349, 'brier': 0.610386}, 'model': {'matches': 288, 'log_loss': 1.018035, 'brier': 0.609661}, 'log_loss_improvement': 0.001314, 'brier_improvement': 0.000725, 'selected_tail': {'bets': 36, 'profit_units': 13.59, 'hit_rate': 0.444444, 'average_market_probability': 0.328685, 'edge_vs_market_probability': 0.11576, 'passed': True}}"
2018-05,ABSTAIN,selected_tail_did_not_show_prior_edge,6744.0,432.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 5916, 'validation_rows': 828, 'market': {'matches': 276, 'log_loss': 1.003627, 'brier': 0.599263}, 'model': {'matches': 276, 'log_loss': 1.002818, 'brier': 0.598386}, 'log_loss_improvement': 0.000809, 'brier_improvement': 0.000877, 'selected_tail': {'bets': 27, 'profit_units': 8.99, 'hit_rate': 0.444444, 'average_market_probability': 0.314539, 'edge_vs_market_probability': 0.129906, 'passed': False}}"
2018-06,ABSTAIN,model_did_not_beat_market_on_prior_validation,6948.0,294.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 5964, 'validation_rows': 984, 'market': {'matches': 328, 'log_loss': 0.978094, 'brier': 0.582471}, 'model': {'matches': 328, 'log_loss': 0.979571, 'brier': 0.583236}, 'log_loss_improvement': -0.001477, 'brier_improvement': -0.000765, 'selected_tail': {'bets': 28, 'profit_units': -5.62, 'hit_rate': 0.285714, 'average_market_probability': 0.309736, 'edge_vs_market_probability': -0.024022, 'passed': False}}"
2018-07,ABSTAIN,model_did_not_beat_market_on_prior_validation,7209.0,354.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 5970, 'validation_rows': 1239, 'market': {'matches': 413, 'log_loss': 0.980051, 'brier': 0.585254}, 'model': {'matches': 413, 'log_loss': 0.981337, 'brier': 0.58604}, 'log_loss_improvement': -0.001286, 'brier_improvement': -0.000786, 'selected_tail': {'bets': 40, 'profit_units': -5.65, 'hit_rate': 0.3, 'average_market_probability': 0.318233, 'edge_vs_market_probability': -0.018233, 'passed': False}}"
2018-08,ABSTAIN,model_did_not_beat_market_on_prior_validation,7563.0,405.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 5970, 'validation_rows': 1593, 'market': {'matches': 531, 'log_loss': 0.968186, 'brier': 0.575687}, 'model': {'matches': 531, 'log_loss': 0.968577, 'brier': 0.575912}, 'log_loss_improvement': -0.000391, 'brier_improvement': -0.000225, 'selected_tail': {'bets': 55, 'profit_units': 9.14, 'hit_rate': 0.4, 'average_market_probability': 0.323017, 'edge_vs_market_probability': 0.076983, 'passed': True}}"
2018-09,ABSTAIN,model_did_not_beat_market_on_prior_validation,7968.0,432.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 5970, 'validation_rows': 1998, 'market': {'matches': 666, 'log_loss': 0.971567, 'brier': 0.578144}, 'model': {'matches': 666, 'log_loss': 0.972659, 'brier': 0.578906}, 'log_loss_improvement': -0.001092, 'brier_improvement': -0.000762, 'selected_tail': {'bets': 70, 'profit_units': 6.76, 'hit_rate': 0.371429, 'average_market_probability': 0.320258, 'edge_vs_market_probability': 0.051171, 'passed': True}}"
2018-10,ABSTAIN,model_did_not_beat_market_on_prior_validation,8253.0,324.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 5976, 'validation_rows': 2277, 'market': {'matches': 759, 'log_loss': 0.964399, 'brier': 0.573483}, 'model': {'matches': 759, 'log_loss': 0.964871, 'brier': 0.573784}, 'log_loss_improvement': -0.000472, 'brier_improvement': -0.000301, 'selected_tail': {'bets': 78, 'profit_units': 11.18, 'hit_rate': 0.384615, 'average_market_probability': 0.315372, 'edge_vs_market_probability': 0.069243, 'passed': True}}"
2018-11,ABSTAIN,model_did_not_beat_market_on_prior_validation,8301.0,297.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 6060, 'validation_rows': 2241, 'market': {'matches': 747, 'log_loss': 0.961263, 'brier': 0.571142}, 'model': {'matches': 747, 'log_loss': 0.961561, 'brier': 0.571366}, 'log_loss_improvement': -0.000298, 'brier_improvement': -0.000224, 'selected_tail': {'bets': 74, 'profit_units': 14.65, 'hit_rate': 0.391892, 'average_market_probability': 0.311764, 'edge_vs_market_probability': 0.080128, 'passed': True}}"
2018-12,ABSTAIN,model_did_not_beat_market_on_prior_validation,8190.0,36.0,,,"{'passed': False, 'reason': 'model_did_not_beat_market_on_prior_validation', 'fit_rows': 6084, 'validation_rows': 2106, 'market': {'matches': 702, 'log_loss': 0.958451, 'brier': 0.568865}, 'model': {'matches': 702, 'log_loss': 0.959227, 'brier': 0.569106}, 'log_loss_improvement': -0.000776, 'brier_improvement': -0.000241, 'selected_tail': {'bets': 70, 'profit_units': 4.35, 'hit_rate': 0.328571, 'average_market_probability': 0.309827, 'edge_vs_market_probability': 0.018744, 'passed': True}}"
2019-01,ABSTAIN,no_candidates,,,,,
2019-02,ABSTAIN,no_candidates,,,,,
2019-03,ABSTAIN,selected_tail_did_not_show_prior_edge,7083.0,174.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 5994, 'validation_rows': 1089, 'market': {'matches': 363, 'log_loss': 0.951969, 'brier': 0.56375}, 'model': {'matches': 363, 'log_loss': 0.949982, 'brier': 0.562214}, 'log_loss_improvement': 0.001987, 'brier_improvement': 0.001536, 'selected_tail': {'bets': 26, 'profit_units': 0.78, 'hit_rate': 0.307692, 'average_market_probability': 0.292336, 'edge_vs_market_probability': 0.015356, 'passed': False}}"
2019-04,ABSTAIN,selected_tail_did_not_show_prior_edge,6900.0,300.0,,,"{'passed': False, 'reason': 'selected_tail_did_not_show_prior_edge', 'fit_rows': 6069, 'validation_rows': 831, 'market': {'matches': 277, 'log_loss': 0.961319, 'brier': 0.569289}, 'model': {'matches': 277, 'log_loss': 0.959683, 'brier': 0.567934}, 'log_loss_improvement': 0.001636, 'brier_improvement': 0.001355, 'selected_tail': {'bets': 3, 'profit_units': -3.0, 'hit_rate': 0.0, 'average_market_probability': 0.261977, 'edge_vs_market_probability': -0.261977, 'passed': False}}"
