window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,84,840.0,27.2,3.24,148.9,3,2,False
2017-07,2018-06,45,450.0,-133.8,-29.73,153.1,1,2,False
2018-01,2018-12,21,210.0,-42.6,-20.29,68.9,1,1,False
2018-07,2019-06,0,0.0,0.0,0.0,0.0,0,0,False
2019-01,2019-12,0,0.0,0.0,0.0,0.0,0,0,False
2019-07,2020-06,0,0.0,0.0,0.0,0.0,0,0,False
2020-01,2020-12,0,0.0,0.0,0.0,0.0,0,0,False
2020-07,2021-06,0,0.0,0.0,0.0,0.0,0,0,False
2021-01,2021-12,0,0.0,0.0,0.0,0.0,0,0,False
2021-07,2022-06,7,70.0,40.2,57.43,40.0,1,0,False
2022-01,2022-12,7,70.0,40.2,57.43,40.0,1,0,False
2022-07,2023-06,0,0.0,0.0,0.0,0.0,0,0,False
2023-01,2023-12,0,0.0,0.0,0.0,0.0,0,0,False
2023-07,2024-06,0,0.0,0.0,0.0,0.0,0,0,False
2024-01,2024-12,0,0.0,0.0,0.0,0.0,0,0,False
2024-07,2025-06,8,80.0,14.6,18.25,20.0,1,0,False
2025-01,2025-12,77,770.0,208.0,27.01,70.0,5,2,True
