validation_start,validation_end,rule_key,odds_source,rule_label,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
2020-07,2021-06,"AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=AUT|away|[2.8,3.5)",116,27.49,23.7,37,21,16,2020-06,12.94,33.9353
2020-07,2021-06,"PS_CLOSE::league|outcome|market_prob_bucket=IRL|home|[0.55,1.00]",PS_CLOSE,"league|outcome|market_prob_bucket=IRL|home|[0.55,1.00]",228,16.79,7.36,33,23,10,2020-03,0.57,33.4377
2021-01,2021-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",101,15.74,15.58,38,26,12,2020-12,3.88,43.74
2021-01,2021-12,"PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.2,2.8)",PS_CLOSE,"league|outcome|odds_bucket=FIN|away|[2.2,2.8)",114,20.81,18.25,26,19,7,2020-11,0.35,42.4369
2021-01,2021-12,"PS_CLOSE::league|outcome|odds_bucket=JPN|away|[4.0,5.0)",PS_CLOSE,"league|outcome|odds_bucket=JPN|away|[4.0,5.0)",150,30.31,20.21,37,24,13,2020-12,5.25,42.4087
2021-07,2022-06,"AVG_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.42,0.55)",AVG_CLOSE,"league|outcome|market_prob_bucket=AUT|away|[0.42,0.55)",122,20.42,16.74,37,22,14,2021-05,0.05,32.9051
2021-07,2022-06,"PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",PS_CLOSE,"league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)",290,40.18,13.86,39,24,15,2021-06,3.3,31.9937
2021-07,2022-06,"PS_CLOSE::league|outcome|market_prob_bucket=FIN|away|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=FIN|away|[0.42,0.55)",102,13.12,12.86,25,15,10,2021-06,2.24,22.9914
2022-01,2022-12,"PS_CLOSE::league|outcome|market_prob_bucket=MEX|home|[0.42,0.55)",PS_CLOSE,"league|outcome|market_prob_bucket=MEX|home|[0.42,0.55)",423,43.44,10.27,41,28,13,2021-12,2.53,40.3722
2022-01,2022-12,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)",146,31.79,21.77,39,23,16,2021-12,0.95,35.9917
2022-01,2022-12,"AVG_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.28,0.34)",AVG_CLOSE,"league|outcome|market_prob_bucket=AUT|away|[0.28,0.34)",100,18.89,18.89,36,21,15,2021-12,1.35,31.0789
2022-07,2023-06,"PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.8,3.5)",PS_CLOSE,"league|outcome|odds_bucket=RUS|home|[2.8,3.5)",150,27.19,18.13,38,24,14,2022-05,4.12,38.3079
2022-07,2023-06,"PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)",145,28.98,19.99,40,23,17,2022-05,2.16,32.1861
2022-07,2023-06,"AVG_CLOSE::league|outcome|market_prob_bucket=CHN|draw|[0.28,0.34)",AVG_CLOSE,"league|outcome|market_prob_bucket=CHN|draw|[0.28,0.34)",147,25.48,17.33,22,13,9,2022-06,7.98,25.5067
2023-01,2023-12,"AVG_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=FIN|away|[2.8,3.5)",104,23.19,22.3,24,16,8,2022-10,4.78,38.5211
2023-01,2023-12,"AVG_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",AVG_CLOSE,"league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",137,22.36,16.32,37,22,14,2022-11,1.18,32.4844
2023-01,2023-12,"PS_CLOSE::league|outcome|market_prob_bucket=USA|home|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=USA|home|[0.28,0.34)",103,11.81,11.47,30,19,11,2022-10,0.04,27.5807
2023-07,2024-06,"PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",118,33.66,28.53,36,25,11,2023-05,2.06,56.8107
2023-07,2024-06,"PS_CLOSE::league|outcome|market_prob_bucket=USA|home|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=USA|home|[0.28,0.34)",110,23.64,21.49,30,22,8,2023-06,2.41,49.7058
2023-07,2024-06,"PS_CLOSE::league|outcome|market_prob_bucket=DNK|away|[0.34,0.42)",PS_CLOSE,"league|outcome|market_prob_bucket=DNK|away|[0.34,0.42)",146,30.96,21.21,35,23,12,2023-06,0.6,43.4175
2024-01,2024-12,"PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)",124,30.63,24.7,36,24,12,2023-12,1.11,48.9486
2024-01,2024-12,"AVG_CLOSE::league|outcome|market_prob_bucket=ARG|home|[0.20,0.28)",AVG_CLOSE,"league|outcome|market_prob_bucket=ARG|home|[0.20,0.28)",167,20.19,12.09,36,24,12,2023-12,2.62,36.2107
2024-01,2024-12,"PS_CLOSE::league|outcome|market_prob_bucket=DNK|draw|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=DNK|draw|[0.28,0.34)",171,51.13,29.9,35,18,17,2023-11,5.19,32.1996
2024-07,2025-06,"PS_CLOSE::league|outcome|market_prob_bucket=POL|home|[0.20,0.28)",PS_CLOSE,"league|outcome|market_prob_bucket=POL|home|[0.20,0.28)",129,34.99,27.12,38,23,15,2024-05,6.37,43.3953
2024-07,2025-06,"PS_CLOSE::league|outcome|odds_bucket=AUT|draw|[4.0,5.0)",PS_CLOSE,"league|outcome|odds_bucket=AUT|draw|[4.0,5.0)",205,49.97,24.38,40,21,19,2024-05,3.59,28.6194
2024-07,2025-06,"AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)",AVG_CLOSE,"league|outcome|odds_bucket=SWE|away|[2.2,2.8)",196,12.04,6.14,32,21,11,2024-06,2.25,26.2043
2025-01,2025-12,"AVG_CLOSE::league|outcome|odds_bucket=ARG|draw|[3.5,4.0)",AVG_CLOSE,"league|outcome|odds_bucket=ARG|draw|[3.5,4.0)",226,66.38,29.37,44,26,18,2024-12,4.18,45.6654
2025-01,2025-12,"PS_CLOSE::league|outcome|market_prob_bucket=USA|home|[0.28,0.34)",PS_CLOSE,"league|outcome|market_prob_bucket=USA|home|[0.28,0.34)",114,19.87,17.43,32,23,9,2024-10,1.59,45.6041
2025-01,2025-12,"PS_CLOSE::league|outcome|odds_bucket=FIN|home|[1.8,2.2)",PS_CLOSE,"league|outcome|odds_bucket=FIN|home|[1.8,2.2)",130,18.36,14.12,28,18,9,2024-10,1.0,32.2643
