validation_start,validation_end,train_start,train_end,candidate_rule_count,selected_rules,max_pairwise_monthly_profit_corr,train_bets,train_profit,train_roi_pct,train_positive_months,train_negative_months,train_window_count,train_active_window_count,train_active_passed_windows,train_active_pass_rate,window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2017-01,2017-12,2013-01,2016-12,49,"['PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)', 'AVG_CLOSE::league|outcome|market_prob_bucket=SWE|away|[0.28,0.34)', 'PS_CLOSE::league|outcome|market_prob_bucket=POL|away|[0.20,0.28)']",0.1794,776,149.27,19.24,33,11,6,6,6,1.0,2017-01,2017-12,181,181.0,-4.01,-2.22,16.52,6,5,False
2017-07,2018-06,2013-07,2017-06,56,"['PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)', 'PS_CLOSE::league|outcome|market_prob_bucket=BRA|home|[0.42,0.55)', 'PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.34,0.42)']",0.133,936,136.64,14.6,35,7,7,7,7,1.0,2017-07,2018-06,244,244.0,-22.08,-9.05,32.94,5,6,False
2018-01,2018-12,2014-01,2017-12,49,"['PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)', 'PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.34,0.42)', 'PS_CLOSE::league|outcome|odds_bucket=JPN|away|[1.8,2.2)']",0.265,552,112.8,20.43,33,7,6,6,6,1.0,2018-01,2018-12,146,146.0,-13.58,-9.3,18.04,2,8,False
2018-07,2019-06,2014-07,2018-06,61,"['PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|market_prob_bucket=ARG|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|odds_bucket=DNK|home|[1.0,1.8)']",0.1809,456,90.13,19.77,34,9,6,6,6,1.0,2018-07,2019-06,114,114.0,-2.06,-1.81,6.0,6,6,False
2019-01,2019-12,2015-01,2018-12,57,"['PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'AVG_CLOSE::league|outcome|market_prob_bucket=ARG|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)']",0.0781,439,69.52,15.84,32,11,6,6,6,1.0,2019-01,2019-12,111,111.0,4.59,4.14,12.29,6,5,False
2019-07,2020-06,2015-07,2019-06,54,"['PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'AVG_CLOSE::league|outcome|odds_bucket=ARG|away|[1.8,2.2)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)']",0.1452,338,78.06,23.09,33,11,7,7,7,1.0,2019-07,2020-06,54,54.0,8.54,15.81,4.4,5,5,False
2020-01,2020-12,2016-01,2019-12,66,"['PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)', 'AVG_CLOSE::league|outcome|odds_bucket=ARG|away|[1.8,2.2)']",0.2262,338,87.03,25.75,34,10,6,6,6,1.0,2020-01,2020-12,72,72.0,-8.04,-11.17,17.09,2,8,False
2020-07,2021-06,2016-07,2020-06,59,"['PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.2,2.8)', 'AVG_CLOSE::league|outcome|odds_bucket=AUT|away|[2.8,3.5)', 'PS_CLOSE::league|outcome|market_prob_bucket=IRL|home|[0.55,1.00]']",0.2505,544,66.89,12.3,28,14,7,7,7,1.0,2020-07,2021-06,121,121.0,-3.88,-3.21,9.85,6,6,False
2021-01,2021-12,2017-01,2020-12,46,"['PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|away|[2.2,2.8)', 'PS_CLOSE::league|outcome|odds_bucket=JPN|away|[4.0,5.0)']",0.1082,365,66.86,18.32,31,11,6,6,6,1.0,2021-01,2021-12,114,114.0,-16.79,-14.73,23.96,3,9,False
2021-07,2022-06,2017-07,2021-06,55,"['AVG_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.42,0.55)', 'PS_CLOSE::league|outcome|market_prob_bucket=JPN|away|[0.34,0.42)', 'PS_CLOSE::league|outcome|market_prob_bucket=FIN|away|[0.42,0.55)']",0.3481,514,73.72,14.34,29,13,7,7,7,1.0,2021-07,2022-06,120,120.0,-5.03,-4.19,16.19,5,6,False
2022-01,2022-12,2018-01,2021-12,62,"['PS_CLOSE::league|outcome|market_prob_bucket=MEX|home|[0.42,0.55)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)', 'AVG_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.28,0.34)']",0.2271,669,94.12,14.07,31,13,7,7,7,1.0,2022-01,2022-12,176,176.0,-16.52,-9.39,33.22,5,5,False
2022-07,2023-06,2018-07,2022-06,58,"['PS_CLOSE::league|outcome|odds_bucket=RUS|home|[2.8,3.5)', 'PS_CLOSE::league|outcome|market_prob_bucket=SWZ|away|[0.28,0.34)', 'AVG_CLOSE::league|outcome|market_prob_bucket=CHN|draw|[0.28,0.34)']",0.197,442,81.65,18.47,31,13,7,7,7,1.0,2022-07,2023-06,156,156.0,14.47,9.28,12.49,6,6,False
2023-01,2023-12,2019-01,2022-12,53,"['AVG_CLOSE::league|outcome|odds_bucket=FIN|away|[2.8,3.5)', 'AVG_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)', 'PS_CLOSE::league|outcome|market_prob_bucket=USA|home|[0.28,0.34)']",0.2385,344,57.36,16.67,31,9,6,6,6,1.0,2023-01,2023-12,90,90.0,19.83,22.03,8.21,7,3,True
2023-07,2024-06,2019-07,2023-06,64,"['PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)', 'PS_CLOSE::league|outcome|market_prob_bucket=USA|home|[0.28,0.34)', 'PS_CLOSE::league|outcome|market_prob_bucket=DNK|away|[0.34,0.42)']",0.2368,374,88.26,23.6,34,8,7,7,7,1.0,2023-07,2024-06,93,93.0,-17.66,-18.99,23.2,2,9,False
2024-01,2024-12,2020-01,2023-12,57,"['PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.28,0.34)', 'AVG_CLOSE::league|outcome|market_prob_bucket=ARG|home|[0.20,0.28)', 'PS_CLOSE::league|outcome|market_prob_bucket=DNK|draw|[0.28,0.34)']",0.1099,462,101.95,22.07,33,10,7,7,7,1.0,2024-01,2024-12,121,121.0,-15.36,-12.69,30.26,4,8,False
2024-07,2025-06,2020-07,2024-06,57,"['PS_CLOSE::league|outcome|market_prob_bucket=POL|home|[0.20,0.28)', 'PS_CLOSE::league|outcome|odds_bucket=AUT|draw|[4.0,5.0)', 'AVG_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",0.1806,530,97.0,18.3,30,13,7,7,7,1.0,2024-07,2025-06,122,122.0,-12.35,-10.12,17.17,5,6,False
2025-01,2025-12,2021-01,2024-12,60,"['AVG_CLOSE::league|outcome|odds_bucket=ARG|draw|[3.5,4.0)', 'PS_CLOSE::league|outcome|market_prob_bucket=USA|home|[0.28,0.34)', 'PS_CLOSE::league|outcome|odds_bucket=FIN|home|[1.8,2.2)']",0.2166,470,104.61,22.26,34,11,7,7,7,1.0,2025-01,2025-12,116,116.0,-9.56,-8.24,18.72,5,6,False
