columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
league|fav_relation,I1|market_favorite,79,18.53,23.46,32,21,11,2026-05,-0.7,22.5801
league|market_shape,E3|heavy_favorite,67,9.57,14.28,26,18,8,2026-02,-1.0,21.5712
league|outcome,E2|away,50,12.47,24.94,27,18,9,2026-04,0.62,20.7434
market_shape|model_delta_bucket,heavy_favorite|medium_model_edge,316,16.03,5.07,38,24,14,2026-04,0.75,20.558
odds_bucket,"[1.8,2.2)",103,10.42,10.12,27,18,9,2026-04,-1.0,19.1128
odds_bucket|fav_relation,"[1.8,2.2)|market_favorite",103,10.42,10.12,27,18,9,2026-04,-1.0,19.1128
odds_bucket|goal_env,"[1.8,2.2)|normal_goal",103,10.42,10.12,27,18,9,2026-04,-1.0,19.1128
odds_bucket|market_shape,"[1.8,2.2)|heavy_favorite",93,8.14,8.75,25,17,8,2026-04,-1.0,18.9628
league|market_shape,I1|heavy_favorite,75,14.88,19.84,32,20,12,2026-05,-1.0,18.1824
league|draw_market_prob_bucket,I1|low_draw_prob,76,13.88,18.26,32,20,12,2026-05,-2.0,18.0089
league|draw_market_prob_bucket,E3|low_draw_prob,76,4.27,5.62,26,17,9,2026-02,-1.0,16.618
league|odds_bucket,"I1|[1.0,1.8)",65,10.2,15.69,29,18,11,2026-05,-1.0,15.7262
odds_bucket|pure_delta_bucket,"[1.8,2.2)|pure_disagrees",94,14.02,14.91,27,17,10,2026-04,-1.0,15.6406
odds_bucket|draw_market_prob_bucket,"[1.8,2.2)|low_draw_prob",98,7.81,7.97,25,16,9,2026-04,-1.0,14.8766
league,E3,92,6.27,6.82,27,17,10,2026-02,-1.0,14.7497
league|goal_env,E3|normal_goal,92,6.27,6.82,27,17,10,2026-02,-1.0,14.7497
league|league_draw_rate_bucket,E3|normal_draw_league,92,6.27,6.82,27,17,10,2026-02,-1.0,14.7497
fav_relation|model_delta_bucket,market_favorite|medium_model_edge,342,11.98,3.5,39,23,16,2026-05,-0.7,14.3853
model_delta_bucket|draw_market_prob_bucket,medium_model_edge|low_draw_prob,339,7.38,2.18,39,23,16,2026-05,-2.0,14.2395
outcome|odds_bucket,"away|[1.8,2.2)",53,9.68,18.26,18,12,6,2026-04,-1.0,14.0091
odds_bucket|league_draw_rate_bucket,"[1.8,2.2)|normal_draw_league",67,7.18,10.72,22,14,8,2025-12,0.8,13.1788
league|pure_delta_bucket,E3|pure_disagrees,85,5.72,6.73,27,16,11,2026-02,-1.0,10.7402
model_delta_bucket|strength_gap,medium_model_edge|large_gap,121,6.01,4.97,35,20,15,2026-04,0.75,10.5464
odds_bucket|model_delta_bucket,"[1.0,1.8)|medium_model_edge",236,10.43,4.42,37,21,16,2026-04,0.75,10.4861
outcome|strength_gap,away|moderate_gap,122,1.42,1.16,33,19,14,2026-05,-4.0,10.128
outcome|fav_relation,away|market_favorite,464,2.82,0.61,41,23,18,2026-05,-5.7,10.0669
strength_gap|league_draw_rate_bucket,moderate_gap|normal_draw_league,269,4.43,1.65,40,22,18,2026-05,-3.0,8.1812
odds_bucket|model_delta_bucket,"[1.8,2.2)|medium_model_edge",69,5.51,7.99,23,13,10,2025-11,1.87,6.8784
market_shape|strength_gap,balanced|moderate_gap,103,26.47,25.7,30,16,14,2026-05,-1.0,6.8269
outcome|market_shape,away|heavy_favorite,419,2.21,0.53,41,22,19,2026-05,-5.0,6.058
league|outcome,I1|away,66,9.7,14.7,30,16,14,2026-05,-0.7,5.6167
outcome|strength_gap,draw|moderate_gap,127,16.8,13.23,30,16,14,2026-03,-1.0,5.4551
league,I2,51,4.51,8.84,26,14,12,2026-05,-2.0,4.9727
league|goal_env,I2|normal_goal,51,4.51,8.84,26,14,12,2026-05,-2.0,4.9727
league|league_draw_rate_bucket,I2|high_draw_league,51,4.51,8.84,26,14,12,2026-05,-2.0,4.9727
league|model_delta_bucket,E3|medium_model_edge,60,1.51,2.52,18,10,8,2025-05,3.05,4.2768
league|model_delta_bucket,I1|strong_model_edge,56,0.14,0.25,26,14,12,2026-05,-1.0,4.0275
outcome|league_draw_rate_bucket,away|normal_draw_league,311,0.59,0.19,40,21,19,2026-05,-1.7,4.0209
odds_bucket|fav_relation,"[2.2,2.8)|market_favorite",56,7.75,13.84,25,13,12,2026-05,-0.7,3.5223
outcome|model_delta_bucket,away|medium_model_edge,157,17.94,11.43,35,18,17,2026-05,-0.7,3.2569
fav_relation|league_draw_rate_bucket,market_favorite|high_draw_league,58,5.42,9.34,27,14,13,2026-05,-2.0,3.0279
market_shape|strength_gap,clear_favorite|even_strength,77,6.47,8.4,30,15,14,2026-05,0.3,2.9243
model_delta_bucket|league_draw_rate_bucket,medium_model_edge|low_draw_league,60,5.03,8.38,31,16,15,2026-05,-1.0,2.9222
model_delta_bucket|draw_market_prob_bucket,medium_model_edge|mid_draw_prob,214,15.15,7.08,35,18,17,2026-05,1.3,2.7787
model_delta_bucket|league_draw_rate_bucket,medium_model_edge|high_draw_league,122,4.11,3.37,31,16,15,2026-03,2.1,2.3706
outcome|strength_gap,home|large_gap,56,0.26,0.46,19,10,9,2025-08,0.7,2.0511
