columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
outcome|market_prob_bucket|favorite_relation,"home|[0.28,0.34)|market_non_favorite",496,56.75,11.44,112,64,47,2025-12,-1.0,35.2586
outcome|odds_bucket|market_prob_bucket,"home|[2.2,2.8)|[0.42,0.55)",326,9.35,2.87,102,58,44,2025-09,-1.76,28.3155
market_prob_bucket,"[0.42,0.55)",2059,33.02,1.6,118,66,52,2025-12,0.36,28.1764
league|market_prob_bucket,"BRA|[0.42,0.55)",2059,33.02,1.6,118,66,52,2025-12,0.36,28.1764
market_prob_bucket|favorite_relation,"[0.42,0.55)|market_favorite",2059,33.02,1.6,118,66,52,2025-12,0.36,28.1764
league|market_prob_bucket|favorite_relation,"BRA|[0.42,0.55)|market_favorite",2059,33.02,1.6,118,66,52,2025-12,0.36,28.1764
outcome|market_prob_bucket,"home|[0.42,0.55)",1676,32.94,1.97,118,65,53,2025-12,-0.51,24.2162
league|outcome|market_prob_bucket,"BRA|home|[0.42,0.55)",1676,32.94,1.97,118,65,53,2025-12,-0.51,24.2162
outcome|market_prob_bucket|favorite_relation,"home|[0.42,0.55)|market_favorite",1676,32.94,1.97,118,65,53,2025-12,-0.51,24.2162
outcome|market_prob_bucket,"home|[0.28,0.34)",505,50.64,10.03,112,61,50,2025-12,-1.0,23.103
league|outcome|market_prob_bucket,"BRA|home|[0.28,0.34)",505,50.64,10.03,112,61,50,2025-12,-1.0,23.103
outcome|odds_bucket|market_prob_bucket,"home|[2.8,3.5)|[0.28,0.34)",505,50.64,10.03,112,61,50,2025-12,-1.0,23.103
outcome|odds_bucket|market_prob_bucket,"home|[1.0,1.8)|[0.42,0.55)",120,6.23,5.19,68,39,29,2025-12,-0.21,20.5711
outcome|market_prob_bucket,"away|[0.55,1.00]",89,1.71,1.92,53,31,22,2025-12,0.68,18.2113
league|outcome|market_prob_bucket,"BRA|away|[0.55,1.00]",89,1.71,1.92,53,31,22,2025-12,0.68,18.2113
outcome|odds_bucket|market_prob_bucket,"away|[1.0,1.8)|[0.55,1.00]",89,1.71,1.92,53,31,22,2025-12,0.68,18.2113
outcome|market_prob_bucket|favorite_relation,"away|[0.55,1.00]|market_favorite",89,1.71,1.92,53,31,22,2025-12,0.68,18.2113
odds_bucket|market_prob_bucket|favorite_relation,"[2.2,2.8)|[0.34,0.42)|market_favorite",1433,2.78,0.19,118,63,55,2025-12,5.97,16.0213
odds_bucket|market_prob_bucket,"[2.2,2.8)|[0.34,0.42)",1499,0.23,0.02,118,63,55,2025-12,5.97,16.0017
league|odds_bucket|market_prob_bucket,"BRA|[2.2,2.8)|[0.34,0.42)",1499,0.23,0.02,118,63,55,2025-12,5.97,16.0017
outcome|market_prob_bucket,"away|[0.42,0.55)",383,0.08,0.02,107,57,50,2025-12,0.87,14.0023
league|outcome|market_prob_bucket,"BRA|away|[0.42,0.55)",383,0.08,0.02,107,57,50,2025-12,0.87,14.0023
