date,month,league,home_team,away_team,outcome,actual_result,odds,odds_bucket,market_probability,market_prob_bucket,favorite_relation,odds_source,won,unit_profit
2012-05-20,2012-05,BRA,Vasco,Gremio,away,home,3.53,"[3.5,4.0)",0.27722915798438097,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Flamengo RJ,Internacional,home,draw,2.13,"[1.8,2.2)",0.4597571356600595,"[0.42,0.55)",market_favorite,PS_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Flamengo RJ,Internacional,draw,draw,3.35,"[2.8,3.5)",0.29232319371818705,"[0.28,0.34)",market_non_favorite,PS_CLOSE,True,2.35
2012-05-26,2012-05,BRA,Flamengo RJ,Internacional,away,draw,3.95,"[3.5,4.0)",0.24791967062175355,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Portuguesa,Vasco,home,away,2.5,"[2.2,2.8)",0.3772708922083165,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Portuguesa,Vasco,draw,away,3.5,"[3.5,4.0)",0.26947920872022607,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Portuguesa,Vasco,away,away,2.67,"[2.2,2.8)",0.35324989907145743,"[0.34,0.42)",market_non_favorite,PS_CLOSE,True,1.67
2012-05-26,2012-05,BRA,Atletico GO,Ponte Preta,home,draw,1.66,"[1.0,1.8)",0.5908178005533671,"[0.55,1.00]",market_favorite,PS_CLOSE,False,-1.0
2012-05-26,2012-05,BRA,Atletico GO,Ponte Preta,draw,draw,4.09,"[4.0,5.0)",0.23979402174048636,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,3.09
2012-05-26,2012-05,BRA,Atletico GO,Ponte Preta,away,draw,5.79,"[5.0,7.0)",0.16938817770614667,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Atletico-MG,Corinthians,home,home,2.04,"[1.8,2.2)",0.4776622005822367,"[0.42,0.55)",market_favorite,PS_CLOSE,True,1.04
2012-05-27,2012-05,BRA,Atletico-MG,Corinthians,draw,home,3.43,"[2.8,3.5)",0.28409063824716113,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Atletico-MG,Corinthians,away,home,4.09,"[4.0,5.0)",0.23824716117060218,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Coritiba,Botafogo RJ,home,away,1.79,"[1.0,1.8)",0.5460974758636733,"[0.42,0.55)",market_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Coritiba,Botafogo RJ,draw,away,3.88,"[3.5,4.0)",0.2519367221123648,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Coritiba,Botafogo RJ,away,away,4.84,"[4.0,5.0)",0.20196580202396186,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,3.84
2012-05-27,2012-05,BRA,Fluminense,Figueirense,home,draw,1.65,"[1.0,1.8)",0.5929540497578648,"[0.55,1.00]",market_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Fluminense,Figueirense,draw,draw,4.01,"[4.0,5.0)",0.24398358655872243,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,3.01
2012-05-27,2012-05,BRA,Fluminense,Figueirense,away,draw,6.0,"[5.0,7.0)",0.16306236368341281,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Gremio,Palmeiras,home,home,1.97,"[1.8,2.2)",0.497218600749726,"[0.42,0.55)",market_favorite,PS_CLOSE,True,0.97
2012-05-27,2012-05,BRA,Gremio,Palmeiras,draw,home,3.59,"[3.5,4.0)",0.27284697589887474,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Gremio,Palmeiras,away,home,4.26,"[4.0,5.0)",0.22993442335139916,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Nautico,Cruzeiro,home,draw,3.15,"[2.8,3.5)",0.3108754936462494,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Nautico,Cruzeiro,draw,draw,3.31,"[2.8,3.5)",0.29584827945186876,"[0.28,0.34)",market_non_favorite,PS_CLOSE,True,2.31
2012-05-27,2012-05,BRA,Nautico,Cruzeiro,away,draw,2.49,"[2.2,2.8)",0.39327622690188174,"[0.34,0.42)",market_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Santos,Sport Recife,home,draw,1.42,"[1.0,1.8)",0.6908563134978228,"[0.55,1.00]",market_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Santos,Sport Recife,draw,draw,4.76,"[4.0,5.0)",0.20609579100145134,"[0.20,0.28)",market_non_favorite,PS_CLOSE,True,3.76
2012-05-27,2012-05,BRA,Santos,Sport Recife,away,draw,9.52,"[7.0,inf)",0.10304789550072567,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Sao Paulo,Bahia,home,home,1.47,"[1.0,1.8)",0.6659861033358581,"[0.55,1.00]",market_favorite,PS_CLOSE,True,0.47
2012-05-27,2012-05,BRA,Sao Paulo,Bahia,draw,home,4.74,"[4.0,5.0)",0.20653999407251292,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-05-27,2012-05,BRA,Sao Paulo,Bahia,away,home,7.68,"[7.0,inf)",0.1274739025916291,"[0.00,0.20)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-06,2012-06,BRA,Atletico GO,Gremio,home,away,2.31,"[2.2,2.8)",0.42379244792334375,"[0.42,0.55)",market_favorite,PS_CLOSE,False,-1.0
2012-06-06,2012-06,BRA,Atletico GO,Gremio,draw,away,3.56,"[3.5,4.0)",0.27498891986037194,"[0.20,0.28)",market_non_favorite,PS_CLOSE,False,-1.0
2012-06-06,2012-06,BRA,Atletico GO,Gremio,away,away,3.25,"[2.8,3.5)",0.3012186322162843,"[0.28,0.34)",market_non_favorite,PS_CLOSE,True,2.25
2012-06-06,2012-06,BRA,Sport Recife,Palmeiras,home,home,2.62,"[2.2,2.8)",0.3736488438207884,"[0.34,0.42)",market_favorite,PS_CLOSE,True,1.62
2012-06-06,2012-06,BRA,Sport Recife,Palmeiras,draw,home,3.39,"[2.8,3.5)",0.28877875245146484,"[0.28,0.34)",market_non_favorite,PS_CLOSE,False,-1.0
