window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2016-01,2016-12,17,170.0,13.0,7.65,28.5,3,2,False
2016-07,2017-06,32,320.0,18.6,5.81,28.5,5,3,False
2017-01,2017-12,38,380.0,-47.0,-12.37,73.9,4,4,False
2017-07,2018-06,28,280.0,-44.3,-15.82,73.9,4,3,False
2018-01,2018-12,26,260.0,31.7,12.19,20.0,5,2,True
2018-07,2019-06,35,350.0,61.2,17.49,20.0,5,3,True
2019-01,2019-12,40,400.0,117.0,29.25,20.0,7,1,True
2019-07,2020-06,31,310.0,70.7,22.81,20.0,5,1,True
2020-01,2020-12,27,270.0,-41.1,-15.22,54.8,3,3,False
2020-07,2021-06,24,240.0,-20.3,-8.46,50.6,4,2,False
2021-01,2021-12,11,110.0,13.6,12.36,20.0,3,2,False
2021-07,2022-06,12,120.0,17.3,14.42,20.0,3,2,False
2022-01,2022-12,21,210.0,-23.3,-11.1,39.3,3,3,False
2022-07,2023-06,28,280.0,-51.4,-18.36,51.4,3,5,False
2023-01,2023-12,31,310.0,-12.4,-4.0,34.7,3,5,False
2023-07,2024-06,34,340.0,-0.9,-0.26,41.5,3,4,False
2024-01,2024-12,20,200.0,-12.5,-6.25,30.0,3,3,False
2024-07,2025-06,13,130.0,-17.4,-13.38,23.3,3,3,False
2025-01,2025-12,18,180.0,-11.4,-6.33,25.3,3,3,False
