rule,odds_source,walk_forward_bets,walk_forward_profit,walk_forward_roi_pct,portfolio_bets,portfolio_staked,portfolio_profit,portfolio_roi_pct,portfolio_max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,passes_screen,fail_reasons
"league|outcome|odds_bucket=SP1|home|[1.0,1.8)",MAX_CLOSE,190,28.01,14.74,190,1900.0,280.1,14.74,58.4,16,4,3,0,True,[]
"league|odds_bucket|market_prob_bucket=SP1|[1.0,1.8)|[0.55,1.00]",MAX_CLOSE,107,14.43,13.49,107,1070.0,144.3,13.49,34.6,7,3,3,0,True,[]
"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",MAX_CLOSE,160,20.18,12.61,160,1600.0,201.8,12.61,68.4,12,4,3,0,True,[]
"league|outcome|odds_bucket=SP1|home|[1.0,1.8)",MAX_OPEN,143,6.73,4.71,143,1430.0,67.3,4.71,63.0,9,6,2,1,True,[]
"league|odds_bucket|market_prob_bucket=SP1|[1.0,1.8)|[0.55,1.00]",AVG_CLOSE,11,2.61,23.73,11,110.0,26.1,23.73,3.6,1,0,1,0,False,['bets<100']
"league|market_prob_bucket=SP1|[0.55,1.00]",AVG_CLOSE,11,2.61,23.73,11,110.0,26.1,23.73,3.6,1,0,1,0,False,['bets<100']
"league|market_prob_bucket|favorite_relation=SP1|[0.55,1.00]|market_favorite",AVG_CLOSE,11,2.61,23.73,11,110.0,26.1,23.73,3.6,1,0,1,0,False,['bets<100']
league|outcome|favorite_relation=I1|away|market_favorite,B365_OPEN,16,3.52,22.0,16,160.0,35.2,22.0,31.3,1,0,1,0,False,['bets<100']
league|outcome|favorite_relation=I1|away|market_favorite,AVG_OPEN,16,3.32,20.75,16,160.0,33.2,20.75,31.5,1,0,1,0,False,['bets<100']
"league|outcome|odds_bucket=SP1|home|[1.0,1.8)",B365_CLOSE,41,7.88,19.22,41,410.0,78.8,19.22,20.0,4,0,1,0,False,['bets<100']
"league|outcome|market_prob_bucket=G1|draw|[0.28,0.34)",MAX_OPEN,89,17.1,19.21,89,890.0,171.0,19.21,116.0,6,3,2,0,False,['bets<100']
"league|outcome|market_prob_bucket=G1|draw|[0.28,0.34)",B365_OPEN,33,5.15,15.61,33,330.0,51.5,15.61,50.0,2,1,2,0,False,['bets<100']
"league|outcome|odds_bucket=SP1|home|[1.0,1.8)",AVG_CLOSE,44,6.4,14.55,44,440.0,64.0,14.55,21.3,3,1,1,0,False,['bets<100']
league|outcome|favorite_relation=I1|away|market_favorite,B365_CLOSE,33,4.53,13.73,33,330.0,45.3,13.73,31.2,2,0,1,0,False,['bets<100']
league|outcome|favorite_relation=I1|away|market_favorite,AVG_CLOSE,33,4.34,13.15,33,330.0,43.4,13.15,31.5,2,0,1,0,False,['bets<100']
"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",AVG_OPEN,79,10.13,12.82,79,790.0,101.3,12.82,29.5,5,3,2,0,False,['bets<100']
"league|outcome|market_prob_bucket=G1|draw|[0.28,0.34)",AVG_CLOSE,33,4.14,12.55,33,330.0,41.4,12.55,50.1,1,2,1,1,False,"['bets<100', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",B365_OPEN,92,9.52,10.35,92,920.0,95.2,10.35,38.3,6,3,2,1,False,['bets<100']
"league|outcome|market_prob_bucket=G1|draw|[0.28,0.34)",AVG_OPEN,43,4.27,9.93,43,430.0,42.7,9.93,49.7,3,1,2,0,False,"['bets<100', 'drawdown>profit']"
"league|outcome|odds_bucket=I1|away|[1.0,1.8)",AVG_OPEN,24,2.3,9.58,24,240.0,23.0,9.58,39.7,3,2,1,0,False,"['bets<100', 'drawdown>profit']"
"league|outcome|odds_bucket=I1|draw|[3.5,4.0)",MAX_OPEN,54,5.03,9.31,54,540.0,50.3,9.31,167.0,2,2,1,0,False,"['bets<100', 'positive_months<=negative_months', 'drawdown>profit']"
"league|market_prob_bucket=SP1|[0.55,1.00]",MAX_CLOSE,83,7.59,9.14,83,830.0,75.9,9.14,40.9,4,3,2,0,False,['bets<100']
"league|market_prob_bucket|favorite_relation=SP1|[0.55,1.00]|market_favorite",MAX_CLOSE,83,7.59,9.14,83,830.0,75.9,9.14,40.9,4,3,2,0,False,['bets<100']
"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",MAX_OPEN,101,8.37,8.29,101,1010.0,83.7,8.29,51.0,5,6,2,1,False,['positive_months<=negative_months']
"league|outcome|odds_bucket=I1|away|[1.0,1.8)",B365_OPEN,26,2.1,8.08,26,260.0,21.0,8.08,39.3,3,2,1,0,False,"['bets<100', 'drawdown>profit']"
"league|outcome|market_prob_bucket=G1|draw|[0.28,0.34)",MAX_CLOSE,117,6.88,5.88,117,1170.0,68.8,5.88,147.2,5,4,2,1,False,['drawdown>profit']
"league|outcome|market_prob_bucket=SP1|home|[0.55,1.00]",B365_CLOSE,28,1.35,4.82,28,280.0,13.5,4.82,27.0,1,2,1,1,False,"['bets<100', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket=SP1|[0.55,1.00]",MAX_OPEN,34,1.64,4.82,34,340.0,16.4,4.82,46.3,1,2,1,1,False,"['bets<100', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|market_prob_bucket|favorite_relation=SP1|[0.55,1.00]|market_favorite",MAX_OPEN,34,1.64,4.82,34,340.0,16.4,4.82,46.3,1,2,1,1,False,"['bets<100', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|market_prob_bucket=F2|home|[0.55,1.00]",B365_CLOSE,11,0.38,3.45,11,110.0,3.8,3.45,14.7,1,0,1,0,False,"['bets<100', 'drawdown>profit']"
"league|outcome|market_prob_bucket=F2|home|[0.55,1.00]",MAX_CLOSE,30,0.96,3.2,30,300.0,9.6,3.2,40.0,2,2,1,1,False,"['bets<100', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
league|outcome|favorite_relation=I1|away|market_favorite,MAX_OPEN,30,0.31,1.03,30,300.0,3.1,1.03,50.6,1,1,1,0,False,"['bets<100', 'roi<3%', 'positive_months<=negative_months', 'drawdown>profit']"
"league|odds_bucket|market_prob_bucket=SP1|[1.0,1.8)|[0.55,1.00]",MAX_OPEN,79,0.77,0.97,79,790.0,7.7,0.97,88.0,3,4,1,1,False,"['bets<100', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
league|outcome|favorite_relation=I1|away|market_favorite,MAX_CLOSE,61,0.38,0.62,61,610.0,3.8,0.62,82.4,2,2,1,0,False,"['bets<100', 'roi<3%', 'positive_months<=negative_months', 'drawdown>profit']"
"league|odds_bucket|market_prob_bucket=SP1|[1.0,1.8)|[0.55,1.00]",B365_OPEN,53,0.28,0.53,53,530.0,2.8,0.53,66.3,2,2,2,1,False,"['bets<100', 'roi<3%', 'positive_months<=negative_months', 'drawdown>profit']"
"league|market_prob_bucket=SP1|[0.55,1.00]",B365_OPEN,53,0.28,0.53,53,530.0,2.8,0.53,66.3,2,2,2,1,False,"['bets<100', 'roi<3%', 'positive_months<=negative_months', 'drawdown>profit']"
"league|market_prob_bucket|favorite_relation=SP1|[0.55,1.00]|market_favorite",B365_OPEN,53,0.28,0.53,53,530.0,2.8,0.53,66.3,2,2,2,1,False,"['bets<100', 'roi<3%', 'positive_months<=negative_months', 'drawdown>profit']"
"league|outcome|market_prob_bucket=SP1|away|[0.42,0.55)",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=I1|away|[0.55,1.00]",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=F2|home|[0.55,1.00]",B365_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=SP1|away|[0.42,0.55)",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=I1|away|[0.55,1.00]",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=F2|home|[0.55,1.00]",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=I1|away|[1.0,1.8)",MAX_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=SP1|away|[0.42,0.55)",MAX_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=I1|away|[0.55,1.00]",MAX_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=F2|home|[0.55,1.00]",MAX_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=SP1|away|[0.42,0.55)",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|market_prob_bucket=I1|away|[0.55,1.00]",B365_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
