month,train_window,status,training_candidates,bets,active_days,staked,profit,roi_pct,available_capacity
2024-08,2024-02-01..2024-07-31,ABSTAIN_INNER_VALIDATION,6,0,0,0.0,0.0,0.0,3100.0
2024-09,2024-03-01..2024-08-31,ABSTAIN_INNER_VALIDATION,405,0,0,0.0,0.0,0.0,3000.0
2024-10,2024-04-01..2024-09-30,ABSTAIN_INNER_VALIDATION,888,0,0,0.0,0.0,0.0,3100.0
2024-11,2024-05-01..2024-10-31,ABSTAIN_INNER_VALIDATION,1369,0,0,0.0,0.0,0.0,3000.0
2025-01,2024-07-01..2024-12-31,ABSTAIN_INNER_VALIDATION,2372,0,0,0.0,0.0,0.0,3100.0
2025-02,2024-08-01..2025-01-31,ABSTAIN_INNER_VALIDATION,2865,0,0,0.0,0.0,0.0,2800.0
2025-03,2024-09-01..2025-02-28,ABSTAIN_INNER_VALIDATION,2985,0,0,0.0,0.0,0.0,3100.0
2025-04,2024-10-01..2025-03-31,ABSTAIN_INNER_VALIDATION,3001,0,0,0.0,0.0,0.0,3000.0
2025-05,2024-11-01..2025-04-30,ABSTAIN_INNER_VALIDATION,3044,0,0,0.0,0.0,0.0,3100.0
2025-08,2025-02-01..2025-07-31,ABSTAIN_INNER_VALIDATION,1907,0,0,0.0,0.0,0.0,3100.0
2025-09,2025-03-01..2025-08-31,ABSTAIN_INNER_VALIDATION,1877,0,0,0.0,0.0,0.0,3000.0
2025-10,2025-04-01..2025-09-30,ABSTAIN_INNER_VALIDATION,1855,0,0,0.0,0.0,0.0,3100.0
2025-11,2025-05-01..2025-10-31,ABSTAIN_INNER_VALIDATION,1813,0,0,0.0,0.0,0.0,3000.0
2026-01,2025-07-01..2025-12-31,ABSTAIN_INNER_VALIDATION,2458,0,0,0.0,0.0,0.0,3100.0
2026-02,2025-08-01..2026-01-31,ABSTAIN_INNER_VALIDATION,2994,0,0,0.0,0.0,0.0,2800.0
2026-03,2025-09-01..2026-02-28,ABSTAIN_INNER_VALIDATION,3032,0,0,0.0,0.0,0.0,3100.0
