test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,predicted_closing_edge_pct,lower_closing_edge_pct,stake,estimated_probability_from_lower_clv,estimated_probability_from_unshrunk_training_market,estimated_probability_from_training_market,market_calibration_weight,estimated_probability_from_training_market_logistic,estimated_probability_from_validated_market_residual,outcome_probability_weight,staking_probability_profile,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2022-08,data\historical_csv\football-data\2223\I2.csv:11,data\historical_csv\football-data\2223\I2.csv,11,2022-08-14,I2,Venezia,Genoa,away,0.42508089653346876,0.41710859091189534,2.6660000000000004,2.7,11.20115033711131,0.005972305621573442,5,0.0,WH,2.0-3.0,sportsbook,0.3750937734433608,1.1332656701582278,0.007972305621573417,0.01404980950750209,0.980579221756517,0.18069376859769756,0.41682549470635133,0.2,1.275318829707417,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,11.410534940138664,9.182037969212253,0.55,0.4095350261410811,0.42932156282199474,0.4271201885959197,0.8887438331641692,,,0.0,lower_clv,True,0.4862549116664027,2.056534496634667,29.635559450262996,True,away,True,0.92
2022-08,data\historical_csv\football-data\2223\F2.csv:31,data\historical_csv\football-data\2223\F2.csv,31,2022-08-15,F2,Quevilly Rouen,St Etienne,home,0.2596195669162846,0.25581545078927537,4.1752,4.24,6.808067013538266,0.0018041161270092444,4,0.0,PS,4.0-5.0,sportsbook,0.23950948457558918,1.0839636157888717,0.0038041161270092605,0.006949076097915952,1.4291622613470665,0.0674023195257992,0.3710384873440234,0.25,1.5520214600498239,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,6.557477109803016,3.9284802783980166,0.12,0.24891856744203392,0.24489483407814924,0.24534249922858448,0.8887438331641692,,,0.0,lower_clv,True,0.26283061702512733,3.804731774854058,9.737039220331178,True,draw,False,-0.12
2022-08,data\historical_csv\football-data\2223\I2.csv:29,data\historical_csv\football-data\2223\I2.csv,29,2022-08-28,I2,Pisa,Genoa,away,0.4247787610619469,0.4172544014904518,2.519,2.55,5.106383735444808,0.0055243595714951355,5,0.0,WH,2.0-3.0,sportsbook,0.39698292973402144,1.0700176991150443,0.0075243595714951095,0.013005263157894797,0.9238619973704731,0.18043699584932257,0.39243695463524525,0.2,1.2306470821754623,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,6.331468233057233,4.102971262130822,0.27,0.4132710252565733,0.428979925909694,0.4272322138378229,0.8887438331641692,,,0.0,lower_clv,True,0.49443352075669394,2.0225165932713742,24.54780387861122,True,away,True,0.41
2022-09,data\historical_csv\football-data\2223\E3.csv:102,data\historical_csv\football-data\2223\E3.csv,102,2022-09-17,E3,Gillingham,Mansfield,home,0.2699798435701823,0.2624979311775837,3.94,4.0,3.4241848839679623,0.005481912392598622,4,0.0,B365,3.0-4.0,sportsbook,0.25380710659898476,1.0637205836665182,0.0074819123925986,0.020304895062188515,1.3711807233098425,0.0728891159341801,0.37019115718564066,0.25,1.522842639593902,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,5.869975136427247,3.2856668525861905,0.11,0.2621463625700157,0.25371534687720654,0.25382636894321664,0.9868317092441401,,,0.0,lower_clv,True,0.2807573830207578,3.5617941342830686,10.618408910178578,True,away,False,-0.11
2022-09,data\historical_csv\football-data\2223\SP2.csv:71,data\historical_csv\football-data\2223\SP2.csv,71,2022-09-24,SP2,Malaga,Villarreal B,home,0.42487665615409226,0.41201404080543763,2.5876,2.62,6.612753198815047,0.01086261534865462,5,0.0,WH,2.0-3.0,sportsbook,0.38645849435770596,1.0994108354643293,0.012862615348654627,0.025566514872765844,0.9507308051876934,0.18052017294468276,0.4039433254108349,0.2,1.2521255217189609,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,9.890422965446332,7.635369536149842,0.48,0.41596602850575765,0.4312674214413218,0.43106592825017664,0.9868317092441401,,,0.0,lower_clv,True,0.46147012614537825,2.166987510877285,19.410009841378084,True,draw,False,-0.48
2022-09,data\historical_csv\football-data\2223\SP2.csv:73,data\historical_csv\football-data\2223\SP2.csv,73,2022-09-25,SP2,Burgos,Levante,away,0.41692650334075726,0.41022318694664706,2.568,2.6,5.34531440789896,0.0047033163941102235,5,0.0,WH,2.0-3.0,sportsbook,0.3894080996884735,1.0706672605790646,0.006703316394110204,0.01128092447091608,0.9431273858277147,0.17382770918795049,0.39321480317805835,0.2,1.2461059190031154,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,6.659223937874223,4.4041705085777325,0.28,0.40655829637296625,0.42201724570722976,0.4218136777676161,0.9868317092441401,,,0.0,lower_clv,True,0.4044511746432225,2.4724863288680705,3.863061648379551,True,draw,False,-0.28
2022-10,data\historical_csv\football-data\2223\T1.csv:92,data\historical_csv\football-data\2223\T1.csv,92,2022-10-21,T1,Antalyaspor,Istanbulspor,home,0.5424024404823852,0.5382719030360479,2.0780000000000003,2.1,11.852901450890773,0.002130537446337237,5,0.0,VC,2.0-3.0,sportsbook,0.4812319538017324,1.1271122713223964,0.00413053744633729,0.003927964344043963,0.7314058926770358,0.29420040744124737,0.39671634117122173,0.2,1.0587102983637964,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,11.5283209199754,6.970814521319455,0.65,0.5147777407185729,0.5577489311200354,0.5571702724827952,0.9865338001615944,,,0.0,lower_clv,True,0.5438661267836887,1.8386877776591681,13.01538114565053,True,home,True,0.7
2023-02,data\historical_csv\football-data\2223\I2.csv:242,data\historical_csv\football-data\2223\I2.csv,242,2023-02-17,I2,Pisa,Venezia,away,0.28398556730028673,0.27718653313532016,3.646,3.7,1.0622099811377295,0.004799034164966591,5,0.0,WH,3.0-4.0,sportsbook,0.27427317608337903,1.0354113783768455,0.0067990341649665775,0.016898866412785287,1.2936306762564713,0.08064780243486569,0.3673724414737476,0.2,1.4810751508502529,away:3.0-4.0,away:sportsbook,sportsbook:3.0-4.0,2.88443410722443,2.88443410722443,0.11,0.2821844051212958,0.2733986413734395,0.2749275010359221,0.8259844327300893,,,0.0,lower_clv,True,0.272209767960142,3.6736374579564086,-0.752318601732227,False,draw,False,-0.11
2023-02,data\historical_csv\football-data\2223\B1.csv:234,data\historical_csv\football-data\2223\B1.csv,234,2023-02-19,B1,Kortrijk,Anderlecht,home,0.2605710148794662,0.2555716900790206,3.94,4.0,0.6952458911340997,0.0029993248004456293,4,0.0,B365,3.0-4.0,sportsbook,0.25380710659898476,1.0266497986250969,0.004999324800445626,0.011510584942968595,1.3711807233098425,0.067897253795315,0.3572899526560062,0.25,1.522842639593902,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,2.8650880145157913,2.8650880145157913,0.1,0.26107890359014163,0.2472390345767504,0.2496473872340569,0.8259844327300893,,,0.0,lower_clv,True,0.24809640580648315,4.030691201467895,-2.2500161122456452,False,draw,False,-0.1
2023-02,data\historical_csv\football-data\2223\F2.csv:240,data\historical_csv\football-data\2223\F2.csv,240,2023-02-20,F2,Nimes,St Etienne,home,0.27429361793390744,0.26748173024201205,3.842,3.9,2.766480758981027,0.004811887691895374,4,0.0,PS,3.0-4.0,sportsbook,0.2602811035918792,1.0538360801020723,0.006811887691895391,0.01754283503983977,1.345993064346365,0.07523698883927239,0.3691973073335111,0.25,1.5096304008328953,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,4.036879771563771,4.036879771563771,0.14,0.2707883388119827,0.2625346708763436,0.2639709375842213,0.8259844327300893,,,0.0,lower_clv,True,0.2611271146696167,3.829552519910543,0.3250374560667346,True,away,False,-0.14
