validation_start,validation_end,rule_key,odds_source,rule_label,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
2022-01,2022-12,"AVG_CLOSE::league|outcome|market_prob_bucket=USA|away|[0.42,0.55)",AVG_CLOSE,"league|outcome|market_prob_bucket=USA|away|[0.42,0.55)",113,10.05,8.89,29,18,11,2021-12,1.05,22.9827
2023-01,2023-12,"AVG_CLOSE::league|outcome|odds_bucket=USA|away|[1.8,2.2)",AVG_CLOSE,"league|outcome|odds_bucket=USA|away|[1.8,2.2)",89,12.53,14.08,30,17,12,2022-10,2.09,24.2194
2025-01,2025-12,"AVG_CLOSE::league|outcome|odds_bucket=USA|home|[2.8,3.5)",AVG_CLOSE,"league|outcome|odds_bucket=USA|home|[2.8,3.5)",124,14.69,11.85,33,19,14,2024-11,2.4,21.9652
