columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
odds_bucket,"[2.8,3.5)",543,11.83,2.18,22,15,7,2026-06,0.74,16.2397
league|odds_bucket,"WORLD_CUP|[2.8,3.5)",543,11.83,2.18,22,15,7,2026-06,0.74,16.2397
odds_bucket|favorite_relation,"[2.8,3.5)|market_non_favorite",543,11.83,2.18,22,15,7,2026-06,0.74,16.2397
league|odds_bucket|favorite_relation,"WORLD_CUP|[2.8,3.5)|market_non_favorite",543,11.83,2.18,22,15,7,2026-06,0.74,16.2397
odds_bucket|market_prob_bucket,"[2.2,2.8)|[0.42,0.55)",20,4.5,22.5,10,8,2,2026-03,1.23,14.475
league|odds_bucket|market_prob_bucket,"WORLD_CUP|[2.2,2.8)|[0.42,0.55)",20,4.5,22.5,10,8,2,2026-03,1.23,14.475
odds_bucket|market_prob_bucket|favorite_relation,"[2.2,2.8)|[0.42,0.55)|market_favorite",20,4.5,22.5,10,8,2,2026-03,1.23,14.475
odds_bucket|market_prob_bucket|favorite_relation,"[2.2,2.8)|[0.34,0.42)|market_non_favorite",30,7.69,25.63,12,8,4,2026-06,-0.36,10.8197
market_prob_bucket|favorite_relation,"[0.34,0.42)|market_non_favorite",31,6.69,21.58,12,8,4,2026-06,-0.36,10.3739
league|market_prob_bucket|favorite_relation,"WORLD_CUP|[0.34,0.42)|market_non_favorite",31,6.69,21.58,12,8,4,2026-06,-0.36,10.3739
outcome|market_prob_bucket|favorite_relation,"away|[0.28,0.34)|market_non_favorite",79,11.73,14.85,20,12,8,2026-06,-5.0,9.6333
outcome|odds_bucket,"draw|[2.8,3.5)",387,5.21,1.35,22,13,9,2026-06,4.3,8.1481
league|outcome|odds_bucket,"WORLD_CUP|draw|[2.8,3.5)",387,5.21,1.35,22,13,9,2026-06,4.3,8.1481
outcome|odds_bucket|favorite_relation,"draw|[2.8,3.5)|market_non_favorite",387,5.21,1.35,22,13,9,2026-06,4.3,8.1481
outcome|market_prob_bucket,"away|[0.28,0.34)",81,9.73,12.01,21,12,9,2026-06,-5.0,7.3214
league|outcome|market_prob_bucket,"WORLD_CUP|away|[0.28,0.34)",81,9.73,12.01,21,12,9,2026-06,-5.0,7.3214
outcome|odds_bucket|market_prob_bucket,"draw|[2.8,3.5)|[0.20,0.28)",85,23.79,27.99,16,9,7,2026-06,7.66,7.0787
outcome|odds_bucket|market_prob_bucket,"away|[2.8,3.5)|[0.28,0.34)",68,8.84,13.0,20,11,9,2026-06,-5.0,5.43
outcome|odds_bucket|market_prob_bucket,"home|[2.8,3.5)|[0.28,0.34)",50,5.39,10.78,18,10,8,2026-06,3.44,5.1858
outcome|odds_bucket|market_prob_bucket,"home|[1.0,1.8)|[0.42,0.55)",21,1.66,7.9,10,6,4,2026-06,0.79,4.8695
outcome|odds_bucket,"away|[2.8,3.5)",85,5.33,6.27,20,11,9,2026-06,-7.0,4.6898
league|outcome|odds_bucket,"WORLD_CUP|away|[2.8,3.5)",85,5.33,6.27,20,11,9,2026-06,-7.0,4.6898
outcome|odds_bucket|favorite_relation,"away|[2.8,3.5)|market_non_favorite",85,5.33,6.27,20,11,9,2026-06,-7.0,4.6898
outcome|odds_bucket|favorite_relation,"draw|[2.2,2.8)|market_non_favorite",34,6.86,20.18,11,6,5,2026-06,1.64,4.2194
outcome|odds_bucket,"draw|[2.2,2.8)",41,7.6,18.54,11,6,5,2026-06,2.98,4.039
league|outcome|odds_bucket,"WORLD_CUP|draw|[2.2,2.8)",41,7.6,18.54,11,6,5,2026-06,2.98,4.039
