date,bets,staked,profit,equity,drawdown,risk_status,stake_multiplier,effective_budget,current_drawdown_fraction,rolling_max_drawdown_fraction
2025-09-01,0,0.0,0.0,1000.0,0.0,NORMAL,1.0,100.0,0.0,0.0
2025-09-05,0,0.0,0.0,1000.0,0.0,NORMAL,1.0,100.0,0.0,0.0
2025-09-06,3,30.0,-6.2,993.8,6.2,NORMAL,1.0,100.0,0.0,0.0
2025-09-07,0,0.0,0.0,993.8,6.2,NORMAL,1.0,100.0,0.0062,0.0062
2025-09-08,0,0.0,0.0,993.8,6.2,NORMAL,1.0,100.0,0.0062,0.0062
2025-09-12,0,0.0,0.0,993.8,6.2,NORMAL,1.0,100.0,0.0062,0.0062
2025-09-13,8,80.0,-7.0,986.8,13.2,NORMAL,1.0,100.0,0.0062,0.0062
2025-09-14,2,15.0,1.12,987.92,12.08,CAUTION,0.75,75.0,0.0132,0.0132
2025-09-15,1,10.0,12.3,1000.22,0.0,NORMAL,1.0,100.0,0.0121,0.0132
2025-09-16,0,0.0,0.0,1000.22,0.0,NORMAL,1.0,100.0,0.0,0.0132
2025-09-17,0,0.0,0.0,1000.22,0.0,NORMAL,1.0,100.0,0.0,0.0132
2025-09-19,2,20.0,20.8,1021.02,0.0,NORMAL,1.0,100.0,0.0,0.0132
2025-09-20,2,20.0,-20.0,1001.02,20.0,NORMAL,1.0,100.0,0.0,0.0129
2025-09-21,4,40.0,6.0,1007.02,14.0,NORMAL,1.0,100.0,0.0196,0.0196
2025-09-22,0,0.0,0.0,1007.02,14.0,NORMAL,1.0,100.0,0.0137,0.0196
2025-09-23,1,10.0,13.0,1020.02,1.0,NORMAL,1.0,100.0,0.0137,0.0196
2025-09-24,0,0.0,0.0,1020.02,1.0,NORMAL,1.0,100.0,0.001,0.0196
2025-09-25,0,0.0,0.0,1020.02,1.0,NORMAL,1.0,100.0,0.001,0.0196
2025-09-26,1,10.0,5.0,1025.02,0.0,NORMAL,1.0,100.0,0.001,0.0196
2025-09-27,6,60.0,6.0,1031.02,0.0,NORMAL,1.0,100.0,0.0,0.0195
2025-09-28,5,50.0,-6.5,1024.52,6.5,NORMAL,1.0,100.0,0.0,0.0194
2025-09-29,0,0.0,0.0,1024.52,6.5,NORMAL,1.0,100.0,0.0063,0.0194
2025-09-30,4,40.0,-40.0,984.52,46.5,NORMAL,1.0,100.0,0.0063,0.0194
2025-10-01,1,7.5,-7.5,977.02,54.0,CAUTION,0.75,75.0,0.0451,0.0451
2025-10-02,1,7.5,-7.5,969.52,61.5,CAUTION,0.75,75.0,0.0524,0.0524
2025-10-03,0,0.0,0.0,969.52,61.5,DEFENSIVE,0.5,50.0,0.0596,0.0596
2025-10-04,9,45.0,-23.0,946.52,84.5,DEFENSIVE,0.5,50.0,0.0596,0.0596
2025-10-05,3,15.0,6.4,952.92,78.1,DEFENSIVE,0.5,50.0,0.082,0.082
2025-10-06,0,0.0,0.0,952.92,78.1,RECOVERY,0.5,50.0,0.0758,0.082
2025-10-10,0,0.0,0.0,952.92,78.1,RECOVERY,0.5,50.0,0.0758,0.082
2025-10-11,3,15.0,5.5,958.42,72.6,RECOVERY,0.5,50.0,0.0758,0.082
2025-10-12,0,0.0,0.0,958.42,72.6,RECOVERY,0.5,50.0,0.0704,0.082
2025-10-13,0,0.0,0.0,958.42,72.6,RECOVERY,0.5,50.0,0.0704,0.082
2025-10-16,0,0.0,0.0,958.42,72.6,RECOVERY,0.5,50.0,0.0704,0.082
2025-10-17,1,5.0,4.2,962.62,68.4,RECOVERY,0.5,50.0,0.0704,0.082
2025-10-18,6,30.0,-2.65,959.97,71.05,RECOVERY,0.5,50.0,0.0663,0.082
2025-10-19,2,10.0,-0.25,959.72,71.3,RECOVERY,0.5,50.0,0.0689,0.082
2025-10-20,0,0.0,0.0,959.72,71.3,CAUTION,0.75,75.0,0.0692,0.082
2025-10-21,2,15.0,14.69,974.41,56.61,CAUTION,0.75,75.0,0.0692,0.082
2025-10-22,3,15.0,7.05,981.46,49.56,RECOVERY,0.5,50.0,0.0549,0.082
2025-10-23,0,0.0,0.0,981.46,49.56,NORMAL,1.0,100.0,0.0481,0.082
2025-10-24,0,0.0,0.0,981.46,49.56,NORMAL,1.0,100.0,0.0481,0.082
2025-10-25,6,60.0,2.9,984.36,46.66,NORMAL,1.0,100.0,0.0481,0.082
2025-10-26,3,30.0,8.8,993.16,37.86,NORMAL,1.0,100.0,0.0453,0.082
2025-10-27,0,0.0,0.0,993.16,37.86,NORMAL,1.0,100.0,0.0367,0.082
2025-10-28,1,10.0,-10.0,983.16,47.86,NORMAL,1.0,100.0,0.0367,0.082
2025-10-29,1,10.0,-10.0,973.16,57.86,NORMAL,1.0,100.0,0.0464,0.082
2025-10-30,0,0.0,0.0,973.16,57.86,CAUTION,0.75,75.0,0.0561,0.082
2025-10-31,3,22.5,8.39,981.55,49.47,CAUTION,0.75,75.0,0.0561,0.082
2025-11-01,3,30.0,-12.3,969.25,61.77,NORMAL,1.0,100.0,0.048,0.082
2025-11-02,3,15.0,-2.85,966.4,64.62,RECOVERY,0.5,50.0,0.0599,0.082
2025-11-03,1,7.5,10.35,976.75,54.27,CAUTION,0.75,75.0,0.0627,0.082
2025-11-04,2,10.0,2.15,978.9,52.12,RECOVERY,0.5,50.0,0.0526,0.082
2025-11-05,0,0.0,0.0,978.9,52.12,RECOVERY,0.5,50.0,0.0506,0.082
2025-11-06,0,0.0,0.0,978.9,52.12,RECOVERY,0.5,50.0,0.0506,0.082
2025-11-07,1,5.0,5.25,984.15,46.87,RECOVERY,0.5,50.0,0.0506,0.082
2025-11-08,8,80.0,9.2,993.35,37.67,NORMAL,1.0,100.0,0.0455,0.082
2025-11-09,9,90.0,28.5,1021.85,9.17,NORMAL,1.0,100.0,0.0365,0.082
2025-11-10,0,0.0,0.0,1021.85,9.17,NORMAL,1.0,100.0,0.0089,0.082
2025-11-14,0,0.0,0.0,1021.85,9.17,NORMAL,1.0,100.0,0.0089,0.082
2025-11-15,5,50.0,11.9,1033.75,0.0,NORMAL,1.0,100.0,0.0089,0.082
2025-11-16,0,0.0,0.0,1033.75,0.0,NORMAL,1.0,100.0,0.0,0.0817
2025-11-17,0,0.0,0.0,1033.75,0.0,NORMAL,1.0,100.0,0.0,0.0817
2025-11-20,0,0.0,0.0,1033.75,0.0,NORMAL,1.0,100.0,0.0,0.0817
2025-11-21,1,10.0,12.3,1046.05,0.0,NORMAL,1.0,100.0,0.0,0.0817
2025-11-22,7,70.0,46.9,1092.95,0.0,NORMAL,1.0,100.0,0.0,0.0808
2025-11-23,1,10.0,6.5,1099.45,0.0,NORMAL,1.0,100.0,0.0,0.0773
2025-11-24,2,20.0,0.8,1100.25,0.0,NORMAL,1.0,100.0,0.0,0.0769
2025-11-25,1,10.0,10.8,1111.05,0.0,NORMAL,1.0,100.0,0.0,0.0768
2025-11-26,0,0.0,0.0,1111.05,0.0,NORMAL,1.0,100.0,0.0,0.0761
2025-11-27,0,0.0,0.0,1111.05,0.0,NORMAL,1.0,100.0,0.0,0.0761
2025-11-28,0,0.0,0.0,1111.05,0.0,NORMAL,1.0,100.0,0.0,0.0761
2025-11-29,8,80.0,-39.5,1071.55,39.5,NORMAL,1.0,100.0,0.0,0.0761
2025-11-30,5,50.0,-14.2,1057.35,53.7,NORMAL,1.0,100.0,0.0356,0.0702
2025-12-01,2,15.0,-15.0,1042.35,68.7,CAUTION,0.75,75.0,0.0483,0.0483
2025-12-02,0,0.0,0.0,1042.35,68.7,CAUTION,0.75,75.0,0.0618,0.0618
2025-12-03,0,0.0,0.0,1042.35,68.7,CAUTION,0.75,75.0,0.0618,0.0618
2025-12-04,0,0.0,0.0,1042.35,68.7,CAUTION,0.75,75.0,0.0618,0.0618
2025-12-05,1,7.5,3.98,1046.33,64.72,CAUTION,0.75,75.0,0.0618,0.0618
2025-12-06,5,25.0,19.75,1066.08,44.97,RECOVERY,0.5,50.0,0.0583,0.0618
2025-12-07,3,30.0,16.3,1082.38,28.67,NORMAL,1.0,100.0,0.0405,0.0618
2025-12-08,1,10.0,-10.0,1072.38,38.67,NORMAL,1.0,100.0,0.0258,0.0618
2025-12-09,8,80.0,-36.0,1036.38,74.67,NORMAL,1.0,100.0,0.0348,0.0618
2025-12-10,4,30.0,0.75,1037.13,73.92,CAUTION,0.75,75.0,0.0672,0.0672
2025-12-12,1,5.0,6.75,1043.88,67.17,RECOVERY,0.5,50.0,0.0665,0.0672
2025-12-13,10,50.0,-7.55,1036.33,74.72,RECOVERY,0.5,50.0,0.0605,0.0672
2025-12-14,3,15.0,23.0,1059.33,51.72,RECOVERY,0.5,50.0,0.0673,0.0673
2025-12-15,1,10.0,13.8,1073.13,37.92,NORMAL,1.0,100.0,0.0466,0.0673
2025-12-17,0,0.0,0.0,1073.13,37.92,NORMAL,1.0,100.0,0.0341,0.0673
2025-12-18,0,0.0,0.0,1073.13,37.92,NORMAL,1.0,100.0,0.0341,0.0673
2025-12-19,0,0.0,0.0,1073.13,37.92,NORMAL,1.0,100.0,0.0341,0.0673
2025-12-20,10,100.0,47.0,1120.13,0.0,NORMAL,1.0,100.0,0.0341,0.0673
2025-12-21,2,20.0,-20.0,1100.13,20.0,NORMAL,1.0,100.0,0.0,0.0667
2025-12-22,1,10.0,6.7,1106.83,13.3,NORMAL,1.0,100.0,0.0179,0.0667
2025-12-23,0,0.0,0.0,1106.83,13.3,NORMAL,1.0,100.0,0.0119,0.0667
2025-12-26,10,100.0,-0.6,1106.23,13.9,NORMAL,1.0,100.0,0.0119,0.0667
2025-12-27,4,40.0,21.3,1127.53,0.0,NORMAL,1.0,100.0,0.0124,0.0667
2025-12-28,2,20.0,12.8,1140.33,0.0,NORMAL,1.0,100.0,0.0,0.0663
2025-12-29,7,70.0,-12.7,1127.63,12.7,NORMAL,1.0,100.0,0.0,0.0655
2025-12-30,3,30.0,-10.9,1116.73,23.6,NORMAL,1.0,100.0,0.0111,0.0655
2026-01-01,9,67.5,-20.49,1096.24,44.09,CAUTION,0.75,75.0,0.0207,0.0655
2026-01-02,0,0.0,0.0,1096.24,44.09,CAUTION,0.75,75.0,0.0387,0.0655
2026-01-03,3,22.5,13.73,1109.97,30.36,CAUTION,0.75,75.0,0.0387,0.0655
