test_month,candidate_id,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,direct_predicted_clv_pct,direct_lower_clv_pct,direct_staking_probability,staking_probability_profile,decision_frozen_before_closing_and_result,movement_predicted_clv_pct,movement_lower_clv_pct,movement_staking_probability,predicted_closing_edge_pct,model_disagreement_pct,lower_closing_edge_pct,staking_probability,stake_multiplier,stake,stake_policy,actual_outcome,closing_edge_pct,positive_clv,closing_probability,closing_fair_odds,won,profit
2021-12,data\historical_csv\football-data\2122\B1.csv:146,data\historical_csv\football-data\2122\B1.csv,146,2021-12-03,B1,St Truiden,St. Gilloise,home,0.2491322587215617,0.2396076089949381,4.43,4.5,6.146170784757588,0.0075246497266235,5,0.0,WH,4.0-5.0,sportsbook,0.2257336343115124,1.1036559061365183,0.0095246497266235,0.0302034339721269,1.4883995840570443,0.0620668823357071,0.3708083502563644,0.2,1.5801354401805856,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,11.23948626565217,9.302779646943051,0.2458811309896992,validation_platt,True,12.5276619339594,10.259788389383129,0.2480778687625754,11.883574099805784,1.2881756683072307,9.302779646943051,0.2458811309896992,1.0,1.3,model_agreement_half_kelly,away,-6.604669092081794,False,0.210824674735707,4.743277803006764,False,-1.3
2021-12,data\historical_csv\football-data\2122\D2.csv:139,data\historical_csv\football-data\2122\D2.csv,139,2021-12-04,D2,Hansa Rostock,Ingolstadt,home,0.6345145420320519,0.6093168669209921,1.8134,1.83,10.493520647452703,0.0231976751110598,5,0.0,B365,1.5-2.0,sportsbook,0.5514503143266791,1.150628670520923,0.0251976751110598,0.03655972176267,0.5952035362298188,0.4026087040501446,0.3776652992067213,0.2,0.9154075217822744,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,7.801394727482835,5.864688108773716,0.560940139391856,validation_platt,True,11.68294099407201,10.754597453274116,0.5784050771154969,9.742167860777423,3.881546266589176,5.864688108773716,0.560940139391856,1.0,1.06,model_agreement_half_kelly,draw,9.98131770374988,True,0.6064923221779523,1.6488254895114527,False,-1.06
2021-12,data\historical_csv\football-data\2122\G1.csv:79,data\historical_csv\football-data\2122\G1.csv,79,2021-12-04,G1,Atromitos,Apollon,away,0.2311982022479178,0.2196491613084999,4.92,5.0,8.067387363781986,0.0095490409394178,5,0.0,IW,4.0-5.0,sportsbook,0.2032520325203252,1.1374951550597558,0.0115490409394178,0.0413024013447054,1.5933085305042167,0.0534526087226691,0.3683700678788467,0.2,1.6260162601626105,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,6.12302328317392,4.186316664464801,0.2130173305315118,validation_platt,True,5.284068847787782,2.765346987897188,0.2112975763508024,5.70354606548085,0.838954435386138,2.765346987897188,0.2112975763508024,1.0,0.5,model_agreement_half_kelly,home,12.071706013407436,True,0.2277880203524541,4.390046493457865,False,-0.5
2021-12,data\historical_csv\football-data\2122\B1.csv:153,data\historical_csv\football-data\2122\B1.csv,153,2021-12-05,B1,Standard,Charleroi,draw,0.2705801500737049,0.2539979153803977,4.038,4.1,2.564358230604613,0.0145822346933071,5,0.0,BW,4.0-5.0,sportsbook,0.2476473501733531,1.0926026459976204,0.0165822346933071,0.0538924776608151,1.3957495198906458,0.0732136176139086,0.3776621145573124,0.2,1.535413571074784,draw:4.0-5.0,draw:sportsbook,sportsbook:4.0-5.0,6.943728357759463,5.007021739050344,0.2583408050675325,validation_platt,True,6.58834047893635,4.521145586611519,0.2571676305344564,6.766034418347907,0.3553878788231133,4.521145586611519,0.2571676305344564,1.0,0.63,model_agreement_half_kelly,away,12.32058169908623,True,0.2781589442770832,3.595066851432493,False,-0.63
2021-12,data\historical_csv\football-data\2122\D2.csv:147,data\historical_csv\football-data\2122\D2.csv,147,2021-12-10,D2,Schalke 04,Nurnberg,away,0.3021902208825318,0.2878940552661994,3.842,3.9,10.60889603327382,0.0122961656163324,5,0.0,BW,3.0-4.0,sportsbook,0.2602811035918792,1.1610148286306874,0.0142961656163324,0.0406901506621295,1.345993064346365,0.0913189295970333,0.4067459414211839,0.2,1.5096304008328951,away:3.0-4.0,away:sportsbook,sportsbook:3.0-4.0,8.578955557571254,6.642248938862135,0.2747052620538999,validation_platt,True,8.325945330819495,6.359089764620385,0.2735572885846907,8.452450444195375,0.25301022675175844,6.359089764620385,0.2735572885846907,1.0,0.9,model_agreement_half_kelly,home,4.67176791284869,True,0.2724408326726931,3.670521742977445,False,-0.9
2022-02,data\historical_csv\football-data\2122\SP2.csv:297,data\historical_csv\football-data\2122\SP2.csv,297,2022-02-13,SP2,Las Palmas,Burgos,home,0.557522243825372,0.5379732735591451,3.205,3.25,72.42043417570602,0.0175489702662268,5,0.0,WH,3.0-4.0,sportsbook,0.31201248049922,1.7868587914603171,0.0195489702662268,0.0314767176746467,1.1647120903726331,0.3108310523600775,0.64935289803509,0.2,1.4040561622464809,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,62.00494056283728,62.00494056283728,0.4733878727059992,validation_platt,True,67.98482511116848,67.98482511116848,0.4894110618520371,64.99488283700288,5.979884548331199,62.00494056283728,0.4733878727059992,1.0,11.73,model_agreement_half_kelly,away,95.67995570333196,True,0.6105458836297409,1.63787853920974,False,-11.73
2022-02,data\historical_csv\football-data\2122\B1.csv:240,data\historical_csv\football-data\2122\B1.csv,240,2022-02-13,B1,St. Gilloise,St Truiden,home,0.6812181510308626,0.6642446755720056,1.6076,1.62,6.783974044955632,0.0149734754588569,5,0.0,WH,1.5-2.0,sportsbook,0.6220452848967404,1.0951262995972149,0.0169734754588569,0.0219804411203637,0.4747423835929091,0.4640581692939071,0.323403128767146,0.2,0.771336153271962,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,9.807071202060085,9.807071202060085,0.6392577219431747,validation_platt,True,10.019840178188776,10.019840178188776,0.6391720991409295,9.91345569012443,0.21276897612869128,9.807071202060085,0.6391720991409295,1.0,2.27,model_agreement_half_kelly,away,4.335118732199472,True,0.6490116865650626,1.5408043039911443,False,-2.27
2022-02,data\historical_csv\football-data\2122\SP2.csv:299,data\historical_csv\football-data\2122\SP2.csv,299,2022-02-18,SP2,Cartagena,Valladolid,away,0.471618301895688,0.4550706829437315,2.4210000000000003,2.45,10.17261234067741,0.0145476189519564,5,0.0,WH,2.0-3.0,sportsbook,0.413052457662123,1.1417879088894607,0.0165476189519565,0.0308461713497584,0.8841806779559216,0.2224238226829722,0.4169957899065499,0.2,1.1978521272201448,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,9.620667734239362,9.620667734239362,0.4258485404306517,validation_platt,True,11.071094721276232,11.071094721276232,0.4305061261454727,10.345881227757797,1.4504269870368702,9.620667734239362,0.4258485404306517,1.0,1.09,model_agreement_half_kelly,away,4.103390313713096,True,0.4300016122003845,2.325572676071715,True,1.55
2022-02,data\historical_csv\football-data\2122\SP2.csv:303,data\historical_csv\football-data\2122\SP2.csv,303,2022-02-19,SP2,Sociedad B,Malaga,home,0.4319217041276469,0.4234469909037365,2.764,2.8,17.040748285792784,0.0064747132239103,5,0.0,WH,2.0-3.0,sportsbook,0.361794500723589,1.193831590208816,0.0084747132239103,0.0149904789734689,1.016678905905423,0.1865563584965305,0.439125685589302,0.2,1.302460202604916,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,15.98543081544257,15.98543081544257,0.3961463528724043,validation_platt,True,17.66325354878211,17.66325354878211,0.4009663263820123,16.82434218211234,1.6778227333395392,15.98543081544257,0.3961463528724043,1.0,2.69,model_agreement_half_kelly,home,19.841861166643305,True,0.4335812632657138,2.306372725767822,True,4.75
2022-02,data\historical_csv\football-data\2122\I2.csv:256,data\historical_csv\football-data\2122\I2.csv,256,2022-02-26,I2,Vicenza,Pordenone,home,0.4843215734089643,0.4764615677530101,2.274,2.3,8.347360507034484,0.0058600056559543,5,0.0,WH,2.0-3.0,sportsbook,0.4397537379067722,1.101347257931985,0.0078600056559542,0.0120994107586573,0.8215403953283443,0.2345673864693348,0.3978897368844463,0.2,1.1433597185575906,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,9.260216570761177,9.260216570761177,0.4507668733124289,validation_platt,True,9.9557595707358,9.9557595707358,0.452717808675222,9.607988070748489,0.6955429999746237,9.260216570761177,0.4507668733124289,1.0,0.98,model_agreement_half_kelly,home,2.665668745951111,True,0.4514761158573048,2.2149565943286,True,1.25
